table_id,row_id,oecd_education_system,average_score_in_2012,average_score_in_2015,average_score_in_2018
4101,r001,Estonia,"['541', '*']","['534', '*']","['530', '*']"
4101,r002,Japan,"['547', '*']","['538', '*']","['529', '*']"
4101,r003,Finland,"['545', '*']","['531', '*']","['522', '*']"
4101,r004,South Korea,"['538', '*']","['516', '*']","['519', '*']"
4101,r005,Canada,"['525', '*']","['528', '*']","['518', '*']"
4101,r006,Poland,"['526', '*']","['501', '&nbsp;']","['511', '*']"
4101,r007,New Zealand,"['516', '*']","['513', '*']","['508', '&nbsp;']"
4101,r008,Slovenia,"['514', '*']","['513', '*']","['507', '&nbsp;']"
4101,r009,United Kingdom,"['514', '*']","['509', '*']","['505', '&nbsp;']"
4101,r010,Netherlands,"['522', '*']","['509', '*']","['503', '&nbsp;']"
4101,r011,Germany,"['524', '*']","['509', '*']","['503', '&nbsp;']"
4101,r012,Australia,"['521', '*']","['510', '*']","['503', '&nbsp;']"
4101,r013,United States,"['497', '&nbsp;']","['496', '&nbsp;']","['502', '&nbsp;']"
4101,r014,Sweden,"['485', '*']","['493', '&nbsp;']","['499', '&nbsp;']"
4101,r015,Belgium,"['505', '&nbsp;']","['502', '&nbsp;']","['499', '&nbsp;']"
4101,r016,Czechia,"['508', '*']","['493', '&nbsp;']","['497', '&nbsp;']"
4101,r017,Ireland,"['522', '*']","['503', '&nbsp;']","['496', '&nbsp;']"
4101,r018,Switzerland,"['515', '*']","['506', '*']","['495', '&nbsp;']"
4101,r019,France,"['499', '&nbsp;']","['495', '&nbsp;']","['493', '*']"
4101,r020,Denmark,"['498', '&nbsp;']","['502', '&nbsp;']","['493', '*']"
4101,r021,Portugal,"['489', '&nbsp;']","['501', '&nbsp;']","['492', '*']"
4101,r022,Norway,"['495', '&nbsp;']","['498', '&nbsp;']","['490', '*']"
4101,r023,Austria,"['506', '&nbsp;']","['495', '&nbsp;']","['490', '*']"
4101,r024,Latvia,"['502', '&nbsp;']","['490', '&nbsp;']","['487', '*']"
4101,r025,Spain,"['496', '&nbsp;']","['493', '&nbsp;']","['483', '*']"
4101,r026,Lithuania,"['496', '&nbsp;']","['475', '*']","['482', '*']"
4101,r027,Hungary,"['494', '&nbsp;']","['477', '*']","['481', '*']"
4101,r028,Luxembourg,"['491', '&nbsp;']","['483', '*']","['477', '*']"
4101,r029,Iceland,"['478', '*']","['473', '*']","['475', '*']"
4101,r030,Turkey,"['463', '*']","['425', '*']","['468', '*']"
4101,r031,Italy,"['494', '&nbsp;']","['481', '*']","['468', '*']"
4101,r032,Slovakia,"['471', '*']","['461', '*']","['464', '*']"
4101,r033,Israel,"['470', '*']","['467', '*']","['462', '*']"
4101,r034,Greece,"['467', '*']","['455', '*']","['452', '*']"
4101,r035,Chile,"['445', '*']","['447', '*']","['444', '*']"
4101,r036,Mexico,"['415', '*']","['416', '*']","['419', '*']"
4101,r037,Colombia,"['399', '*']","['416', '*']","['413', '*']"
