table_id,row_id,_b_survey_population_and_source_of_funds_b_full_path,_b_survey_population_and_source_of_funds_b_level_1,_b_survey_population_and_source_of_funds_b_level_2,_b_survey_population_and_source_of_funds_b_level_3,_b_survey_population_and_source_of_funds_b_level_4,_b_survey_population_and_source_of_funds_b_hierarchy_depth,field_all_r_d_expenditures,field_imputed_amount,field_imputed_amount_as_of_total
3208,r001,Standard form institutions,Standard form institutions,,,,1,,,
3208,r002,Standard form institutions -> All sources,Standard form institutions,All sources,,,2,83496,69,0.1
3208,r003,Standard form institutions -> All sources -> Federal government,Standard form institutions,All sources,Federal government,,3,44455,33,0.1
3208,r004,Standard form institutions -> All sources -> State and local government,Standard form institutions,All sources,State and local government,,3,4495,5,0.1
3208,r005,Standard form institutions -> All sources -> Institution funds,Standard form institutions,All sources,Institution funds,,3,21110,21,0.1
3208,r006,Standard form institutions -> All sources -> Institution funds -> Institutionally financed research,Standard form institutions,All sources,Institution funds,Institutionally financed research,4,14011,17,0.1
3208,r007,Standard form institutions -> All sources -> Institution funds -> Cost sharing,Standard form institutions,All sources,Institution funds,Cost sharing,4,1573,1,0.0
3208,r008,Standard form institutions -> All sources -> Institution funds -> Unrecovered indirect costs,Standard form institutions,All sources,Institution funds,Unrecovered indirect costs,4,5526,3,0.1
3208,r009,Standard form institutions -> All sources -> Business,Standard form institutions,All sources,Business,,3,5054,4,0.1
3208,r010,Standard form institutions -> All sources -> Nonprofit organizations,Standard form institutions,All sources,Nonprofit organizations,,3,5684,5,0.1
3208,r011,Standard form institutions -> All sources -> All other sources,Standard form institutions,All sources,All other sources,,3,2698,1,0.0
3208,r012,Short form institutions,Short form institutions,,,,1,,,
3208,r013,Short form institutions -> All sources,Short form institutions,All sources,,,2,157,8,5.1
3208,r014,Short form institutions -> All sources -> Federal government,Short form institutions,All sources,Federal government,,3,78,4,4.8
3208,r015,Short form institutions -> All sources -> State and local government,Short form institutions,All sources,State and local government,,3,10,0,2.0
3208,r016,Short form institutions -> All sources -> Institution funds,Short form institutions,All sources,Institution funds,,3,44,3,6.5
3208,r017,Short form institutions -> All sources -> Institution funds -> Institutionally financed research,Short form institutions,All sources,Institution funds,Institutionally financed research,4,38,3,7.0
3208,r018,Short form institutions -> All sources -> Institution funds -> Cost sharing,Short form institutions,All sources,Institution funds,Cost sharing,4,2,0,4.7
3208,r019,Short form institutions -> All sources -> Institution funds -> Unrecovered indirect costs,Short form institutions,All sources,Institution funds,Unrecovered indirect costs,4,4,0,3.3
3208,r020,Short form institutions -> All sources -> Business,Short form institutions,All sources,Business,,3,5,0,4.0
3208,r021,Short form institutions -> All sources -> Nonprofit organizations,Short form institutions,All sources,Nonprofit organizations,,3,14,1,9.3
3208,r022,Short form institutions -> All sources -> All other sources,Short form institutions,All sources,All other sources,,3,6,0,4.0
