table_id,row_id,_b_characteristic_b_full_path,_b_characteristic_b_level_1,_b_characteristic_b_level_2,_b_characteristic_b_level_3,_b_characteristic_b_level_4,_b_characteristic_b_hierarchy_depth,field_postdoctoral_appointees_number,field_postdoctoral_appointees_percent,field_doctorate_holding_nonfaculty_researchers_number,field_doctorate_holding_nonfaculty_researchers_percent
6040,r001,Institutions,Institutions,,,,1,133,18.7,105,14.7
6040,r002,Schools,Schools,,,,1,160,19.9,121,15.0
6040,r003,Units,Units,,,,1,1743,8.2,1268,6.0
6040,r004,All individuals,All individuals,,,,1,16287,100.0,6500,100.0
6040,r005,All individuals -> Male,All individuals,Male,,,2,8071,49.6,3126,48.1
6040,r006,All individuals -> Female,All individuals,Female,,,2,8216,50.4,3374,51.9
6040,r007,All individuals -> U.S. citizens and permanent residents<sup>a</sup>,All individuals,U.S. citizens and permanent residents<sup>a</sup>,,,2,7654,47.0,na,na
6040,r008,All individuals -> U.S. citizens and permanent residents<sup>a</sup> -> Hispanic or Latino,All individuals,U.S. citizens and permanent residents<sup>a</sup>,Hispanic or Latino,,3,554,3.4,na,na
6040,r009,All individuals -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino,All individuals,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,,3,,,,
6040,r010,All individuals -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> American Indian or Alaska Native,All individuals,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,American Indian or Alaska Native,4,13,0.1,na,na
6040,r011,All individuals -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> Asian,All individuals,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,Asian,4,1580,9.7,na,na
6040,r012,All individuals -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> Black or African American,All individuals,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,Black or African American,4,382,2.3,na,na
6040,r013,All individuals -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> Native Hawaiian or Other Pacific Islander,All individuals,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,Native Hawaiian or Other Pacific Islander,4,21,0.1,na,na
6040,r014,All individuals -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> White,All individuals,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,White,4,4114,25.3,na,na
6040,r015,All individuals -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> More than one race,All individuals,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,More than one race,4,131,0.8,na,na
6040,r016,All individuals -> U.S. citizens and permanent residents<sup>a</sup> -> Unknown ethnicity and race,All individuals,U.S. citizens and permanent residents<sup>a</sup>,Unknown ethnicity and race,,3,859,5.3,na,na
6040,r017,All individuals -> Temporary visa holders,All individuals,Temporary visa holders,,,2,8633,53.0,na,na
6040,r018,Primary source of support,Primary source of support,,,,1,,,,
6040,r019,Primary source of support -> Federal,Primary source of support,Federal,,,2,7936,48.7,na,na
6040,r020,Primary source of support -> Nonfederal<sup>b</sup>,Primary source of support,Nonfederal<sup>b</sup>,,,2,6544,40.2,na,na
6040,r021,Primary source of support -> Personal resources,Primary source of support,Personal resources,,,2,287,1.8,na,na
6040,r022,Primary source of support -> Unknown or not stated,Primary source of support,Unknown or not stated,,,2,1520,9.3,na,na
6040,r023,Primary mechanism of support,Primary mechanism of support,,,,1,,,,
6040,r024,Primary mechanism of support -> Fellowships,Primary mechanism of support,Fellowships,,,2,2040,12.5,na,na
6040,r025,Primary mechanism of support -> Research grants,Primary mechanism of support,Research grants,,,2,7935,48.7,na,na
6040,r026,Primary mechanism of support -> Traineeships,Primary mechanism of support,Traineeships,,,2,1585,9.7,na,na
6040,r027,Primary mechanism of support -> Other types of support,Primary mechanism of support,Other types of support,,,2,4727,29.0,na,na
6040,r028,Degree type<sup>c</sup>,Degree type<sup>c</sup>,,,,1,,,,
6040,r029,Degree type<sup>c</sup> -> Doctoral degree,Degree type<sup>c</sup>,Doctoral degree,,,2,10261,63.0,3642,56.0
6040,r030,Degree type<sup>c</sup> -> Professional degree,Degree type<sup>c</sup>,Professional degree,,,2,3025,18.6,837,12.9
6040,r031,Degree type<sup>c</sup> -> Dual degree,Degree type<sup>c</sup>,Dual degree,,,2,802,4.9,216,3.3
6040,r032,Degree type<sup>c</sup> -> Doctoral degree type unknown,Degree type<sup>c</sup>,Doctoral degree type unknown,,,2,2199,13.5,1805,27.8
6040,r033,Degree origin,Degree origin,,,,1,,,,
6040,r034,Degree origin -> United States,Degree origin,United States,,,2,5862,36.0,na,na
6040,r035,Degree origin -> Foreign country,Degree origin,Foreign country,,,2,5760,35.4,na,na
6040,r036,Degree origin -> Unknown,Degree origin,Unknown,,,2,4665,28.6,na,na
