table_id,row_id,field_and_institution_full_path,field_and_institution_level_1,field_and_institution_level_2,field_and_institution_level_3,field_and_institution_hierarchy_depth,field_rank,field_doctorate_recipients
944,r001,Life sciences<sup>a</sup>,Life sciences<sup>a</sup>,,,1,-,12592
944,r002,Life sciences<sup>a</sup> -> From top 20 institutions,Life sciences<sup>a</sup>,From top 20 institutions,,2,-,3606
944,r003,Life sciences<sup>a</sup> -> From top 20 institutions -> Johns Hopkins U.,Life sciences<sup>a</sup>,From top 20 institutions,Johns Hopkins U.,3,1,244
944,r004,Life sciences<sup>a</sup> -> From top 20 institutions -> U. Wisconsin-Madison,Life sciences<sup>a</sup>,From top 20 institutions,U. Wisconsin-Madison,3,2,241
944,r005,Life sciences<sup>a</sup> -> From top 20 institutions -> U. Florida,Life sciences<sup>a</sup>,From top 20 institutions,U. Florida,3,3,227
944,r006,Life sciences<sup>a</sup> -> From top 20 institutions -> Harvard U.,Life sciences<sup>a</sup>,From top 20 institutions,Harvard U.,3,4,211
944,r007,"Life sciences<sup>a</sup> -> From top 20 institutions -> U. North Carolina, Chapel Hill",Life sciences<sup>a</sup>,From top 20 institutions,"U. North Carolina, Chapel Hill",3,5,205
944,r008,"Life sciences<sup>a</sup> -> From top 20 institutions -> U. California, Davis",Life sciences<sup>a</sup>,From top 20 institutions,"U. California, Davis",3,6,203
944,r009,"Life sciences<sup>a</sup> -> From top 20 institutions -> Ohio State U., Columbus",Life sciences<sup>a</sup>,From top 20 institutions,"Ohio State U., Columbus",3,7,196
944,r010,Life sciences<sup>a</sup> -> From top 20 institutions -> Walden U.,Life sciences<sup>a</sup>,From top 20 institutions,Walden U.,3,8,186
944,r011,"Life sciences<sup>a</sup> -> From top 20 institutions -> U. California, Los Angeles",Life sciences<sup>a</sup>,From top 20 institutions,"U. California, Los Angeles",3,9,179
944,r012,"Life sciences<sup>a</sup> -> From top 20 institutions -> U. Minnesota, Twin Cities",Life sciences<sup>a</sup>,From top 20 institutions,"U. Minnesota, Twin Cities",3,9,179
944,r013,"Life sciences<sup>a</sup> -> From top 20 institutions -> Texas A&M U., College Station and Health Science Center",Life sciences<sup>a</sup>,From top 20 institutions,"Texas A&M U., College Station and Health Science Center",3,11,173
944,r014,"Life sciences<sup>a</sup> -> From top 20 institutions -> U. Michigan, Ann Arbor",Life sciences<sup>a</sup>,From top 20 institutions,"U. Michigan, Ann Arbor",3,12,167
944,r015,"Life sciences<sup>a</sup> -> From top 20 institutions -> U. California, Berkeley",Life sciences<sup>a</sup>,From top 20 institutions,"U. California, Berkeley",3,13,162
944,r016,"Life sciences<sup>a</sup> -> From top 20 institutions -> U. Washington, Seattle",Life sciences<sup>a</sup>,From top 20 institutions,"U. Washington, Seattle",3,14,160
944,r017,Life sciences<sup>a</sup> -> From top 20 institutions -> U. Georgia,Life sciences<sup>a</sup>,From top 20 institutions,U. Georgia,3,15,154
944,r018,"Life sciences<sup>a</sup> -> From top 20 institutions -> Pennsylvania State U., University Park and Hershey Medical Center",Life sciences<sup>a</sup>,From top 20 institutions,"Pennsylvania State U., University Park and Hershey Medical Center",3,16,149
944,r019,"Life sciences<sup>a</sup> -> From top 20 institutions -> U. Illinois, Urbana-Champaign",Life sciences<sup>a</sup>,From top 20 institutions,"U. Illinois, Urbana-Champaign",3,17,146
944,r020,Life sciences<sup>a</sup> -> From top 20 institutions -> U. Pennsylvania,Life sciences<sup>a</sup>,From top 20 institutions,U. Pennsylvania,3,17,146
944,r021,"Life sciences<sup>a</sup> -> From top 20 institutions -> Purdue U., West Lafayette",Life sciences<sup>a</sup>,From top 20 institutions,"Purdue U., West Lafayette",3,19,145
944,r022,Life sciences<sup>a</sup> -> From top 20 institutions -> Cornell U.,Life sciences<sup>a</sup>,From top 20 institutions,Cornell U.,3,20,133
944,r023,Physical sciences and earth sciences,Physical sciences and earth sciences,,,1,-,6081
944,r024,Physical sciences and earth sciences -> From top 20 institutions,Physical sciences and earth sciences,From top 20 institutions,,2,-,1868
944,r025,Physical sciences and earth sciences -> From top 20 institutions -> Stanford U.,Physical sciences and earth sciences,From top 20 institutions,Stanford U.,3,1,139
944,r026,"Physical sciences and earth sciences -> From top 20 institutions -> U. California, Berkeley",Physical sciences and earth sciences,From top 20 institutions,"U. California, Berkeley",3,2,129
944,r027,Physical sciences and earth sciences -> From top 20 institutions -> Massachusetts Institute of Technology,Physical sciences and earth sciences,From top 20 institutions,Massachusetts Institute of Technology,3,3,111
944,r028,Physical sciences and earth sciences -> From top 20 institutions -> Harvard U.,Physical sciences and earth sciences,From top 20 institutions,Harvard U.,3,4,107
944,r029,"Physical sciences and earth sciences -> From top 20 institutions -> U. Illinois, Urbana-Champaign",Physical sciences and earth sciences,From top 20 institutions,"U. Illinois, Urbana-Champaign",3,5,99
944,r030,"Physical sciences and earth sciences -> From top 20 institutions -> U. Texas, Austin",Physical sciences and earth sciences,From top 20 institutions,"U. Texas, Austin",3,6,98
944,r031,"Physical sciences and earth sciences -> From top 20 institutions -> Purdue U., West Lafayette",Physical sciences and earth sciences,From top 20 institutions,"Purdue U., West Lafayette",3,7,97
944,r032,"Physical sciences and earth sciences -> From top 20 institutions -> U. Michigan, Ann Arbor",Physical sciences and earth sciences,From top 20 institutions,"U. Michigan, Ann Arbor",3,7,97
944,r033,Physical sciences and earth sciences -> From top 20 institutions -> U. Wisconsin-Madison,Physical sciences and earth sciences,From top 20 institutions,U. Wisconsin-Madison,3,9,95
944,r034,"Physical sciences and earth sciences -> From top 20 institutions -> Texas A&M U., College Station and Health Science Center",Physical sciences and earth sciences,From top 20 institutions,"Texas A&M U., College Station and Health Science Center",3,10,88
944,r035,"Physical sciences and earth sciences -> From top 20 institutions -> Pennsylvania State U., University Park and Hershey Medical Center",Physical sciences and earth sciences,From top 20 institutions,"Pennsylvania State U., University Park and Hershey Medical Center",3,11,86
944,r036,Physical sciences and earth sciences -> From top 20 institutions -> California Institute of Technology,Physical sciences and earth sciences,From top 20 institutions,California Institute of Technology,3,12,85
944,r037,"Physical sciences and earth sciences -> From top 20 institutions -> U. California, San Diego",Physical sciences and earth sciences,From top 20 institutions,"U. California, San Diego",3,12,85
944,r038,Physical sciences and earth sciences -> From top 20 institutions -> U. Colorado Boulder,Physical sciences and earth sciences,From top 20 institutions,U. Colorado Boulder,3,14,82
944,r039,"Physical sciences and earth sciences -> From top 20 institutions -> Ohio State U., Columbus",Physical sciences and earth sciences,From top 20 institutions,"Ohio State U., Columbus",3,15,81
944,r040,"Physical sciences and earth sciences -> From top 20 institutions -> U. Maryland, College Park",Physical sciences and earth sciences,From top 20 institutions,"U. Maryland, College Park",3,15,81
944,r041,"Physical sciences and earth sciences -> From top 20 institutions -> U. Washington, Seattle",Physical sciences and earth sciences,From top 20 institutions,"U. Washington, Seattle",3,17,80
944,r042,Physical sciences and earth sciences -> From top 20 institutions -> U. Arizona,Physical sciences and earth sciences,From top 20 institutions,U. Arizona,3,18,77
944,r043,Physical sciences and earth sciences -> From top 20 institutions -> Princeton U.,Physical sciences and earth sciences,From top 20 institutions,Princeton U.,3,19,76
944,r044,Physical sciences and earth sciences -> From top 20 institutions -> U. Florida,Physical sciences and earth sciences,From top 20 institutions,U. Florida,3,20,75
944,r045,Mathematics and computer sciences,Mathematics and computer sciences,,,1,-,3843
944,r046,Mathematics and computer sciences -> From top 21 institutions,Mathematics and computer sciences,From top 21 institutions,,2,-,1117
944,r047,Mathematics and computer sciences -> From top 21 institutions -> Stanford U.,Mathematics and computer sciences,From top 21 institutions,Stanford U.,3,1,84
944,r048,"Mathematics and computer sciences -> From top 21 institutions -> U. Illinois, Urbana-Champaign",Mathematics and computer sciences,From top 21 institutions,"U. Illinois, Urbana-Champaign",3,2,74
944,r049,"Mathematics and computer sciences -> From top 21 institutions -> U. California, Los Angeles",Mathematics and computer sciences,From top 21 institutions,"U. California, Los Angeles",3,3,67
944,r050,Mathematics and computer sciences -> From top 21 institutions -> North Carolina State U.,Mathematics and computer sciences,From top 21 institutions,North Carolina State U.,3,4,61
944,r051,"Mathematics and computer sciences -> From top 21 institutions -> U. California, Berkeley",Mathematics and computer sciences,From top 21 institutions,"U. California, Berkeley",3,4,61
944,r052,Mathematics and computer sciences -> From top 21 institutions -> Carnegie Mellon U.,Mathematics and computer sciences,From top 21 institutions,Carnegie Mellon U.,3,6,58
