table_id,row_id,_b_institution_b_full_path,_b_institution_b_level_1,_b_institution_b_level_2,_b_institution_b_hierarchy_depth,field_rank,field_2020,field_2021,field_2022,field_2023_all_geosciences_atmospheric_sciences_and_ocean_sciences,field_2023_atmospheric_science_and_meteorology,field_2023_geological_and_earth_sciences,field_2023_ocean_sciences_and_marine_sciences,field_2023_geosciences_atmospheric_sciences_and_ocean_sciences_nec
12687,r001,All institutions,All institutions,,1,-,"['3,281,649', '']","['3,295,235', '']","['3,652,936', '']","['4,032,534', '']","['723,727', '']","['1,488,300', '']","['1,365,092', '']","['455,415', '']"
12687,r002,"All institutions -> U. California, San Diego",All institutions,"U. California, San Diego",2,1,"['201,331', '']","['185,870', '']","['187,175', '']","['245,278', '']","['0', '']","['54,139', '']","['191,139', '']","['0', '']"
12687,r003,All institutions -> Woods Hole Oceanographic Institution,All institutions,Woods Hole Oceanographic Institution,2,2,"['143,240', '']","['160,059', '']","['166,020', 'i']","['194,513', '']","['36,812', 'i']","['89,488', 'i']","['53,776', 'i']","['14,437', 'i']"
12687,r004,"All institutions -> U. Washington, Seattle",All institutions,"U. Washington, Seattle",2,3,"['135,307', '']","['128,033', '']","['152,187', '']","['162,612', '']","['63,322', '']","['12,991', '']","['75,026', '']","['11,273', '']"
12687,r005,All institutions -> U. Colorado Boulder,All institutions,U. Colorado Boulder,2,4,"['119,824', '']","['118,876', '']","['129,830', '']","['140,081', '']","['26,474', '']","['19,149', '']","['2,931', '']","['91,527', '']"
12687,r006,"All institutions -> Texas A&M U., College Station and Health Science Center",All institutions,"Texas A&M U., College Station and Health Science Center",2,5,"['107,894', '']","['106,932', '']","['122,622', '']","['125,114', '']","['7,010', '']","['11,463', '']","['101,588', '']","['5,053', '']"
12687,r007,"All institutions -> U. Alaska, Fairbanks",All institutions,"U. Alaska, Fairbanks",2,6,"['72,609', '']","['95,711', '']","['121,905', '']","['111,890', '']","['13,684', '']","['64,913', '']","['32,857', '']","['436', '']"
12687,r008,All institutions -> U. New Hampshire,All institutions,U. New Hampshire,2,7,"['51,661', '']","['55,523', '']","['86,032', '']","['99,189', '']","['32,874', '']","['8,503', '']","['57,812', '']","['0', '']"
12687,r009,"All institutions -> U. Hawaii, Manoa",All institutions,"U. Hawaii, Manoa",2,8,"['71,468', '']","['73,176', '']","['78,404', '']","['88,512', '']","['3,031', '']","['19,070', '']","['61,690', '']","['4,721', '']"
12687,r010,All institutions -> Columbia U. in the City of New York,All institutions,Columbia U. in the City of New York,2,9,"['78,288', '']","['77,515', '']","['79,949', '']","['88,243', '']","['12,850', '']","['35,378', '']","['40,015', '']","['0', '']"
12687,r011,All institutions -> U. Maryland<sup>a</sup>,All institutions,U. Maryland<sup>a</sup>,2,10,"['58,099', '']","['61,660', '']","['78,455', '']","['87,557', '']","['8,322', '']","['62,124', '']","['2,202', '']","['14,909', '']"
