table_id,row_id,occupation_full_path,occupation_level_1,occupation_level_2,occupation_level_3,occupation_hierarchy_depth,field_asian_number,field_asian_percent,field_black_or_african_american_number,field_black_or_african_american_percent,field_hispanic_or_latino_number,field_hispanic_or_latino_percent,field_white_number,field_white_percent,field_other_race_or_ethnicity_number,field_other_race_or_ethnicity_percent
4402,r001,Female S&E highest degree holders,Female S&E highest degree holders,,,1,922000,100,506000,100,670000,100,3845000,100,188000,100
4402,r002,Female S&E highest degree holders ->  Computer and mathematical scientists ,Female S&E highest degree holders, Computer and mathematical scientists ,,2,266000,29,35000,7,36000,5,275000,7,13000,7
4402,r003,Female S&E highest degree holders ->  Computer and mathematical scientists  ->  Computer and information scientists ,Female S&E highest degree holders, Computer and mathematical scientists , Computer and information scientists ,3,237000,26,34000,7,28000,4,217000,6,12000,6
4402,r004,Female S&E highest degree holders ->  Computer and mathematical scientists  ->  Mathematical scientists ,Female S&E highest degree holders, Computer and mathematical scientists , Mathematical scientists ,3,20000,2,1000,0,6000,1,34000,1,1000,1
4402,r005,Female S&E highest degree holders ->  Computer and mathematical scientists  ->  Postsecondary teachers&#8212;computer and mathematical sciences ,Female S&E highest degree holders, Computer and mathematical scientists , Postsecondary teachers&#8212;computer and mathematical sciences ,3,8000,1,1000,0,2000,0,23000,1,s,s
4402,r006,"Female S&E highest degree holders ->  Biological, agricultural, and other life scientists",Female S&E highest degree holders," Biological, agricultural, and other life scientists",,2,57000,6,8000,2,29000,4,170000,4,6000,3
4402,r007,"Female S&E highest degree holders ->  Biological, agricultural, and other life scientists ->  Agricultural and food scientists ",Female S&E highest degree holders," Biological, agricultural, and other life scientists", Agricultural and food scientists ,3,2000,0,s,s,s,s,10000,0,s,s
4402,r008,"Female S&E highest degree holders ->  Biological, agricultural, and other life scientists ->  Biological and medical scientists ",Female S&E highest degree holders," Biological, agricultural, and other life scientists", Biological and medical scientists ,3,46000,5,6000,1,19000,3,119000,3,5000,3
4402,r009,"Female S&E highest degree holders ->  Biological, agricultural, and other life scientists ->  Environmental life scientists ",Female S&E highest degree holders," Biological, agricultural, and other life scientists", Environmental life scientists ,3,s,s,s,s,s,s,7000,0,s,s
4402,r010,"Female S&E highest degree holders ->  Biological, agricultural, and other life scientists ->  Postsecondary teachers&#8212;life and related sciences ",Female S&E highest degree holders," Biological, agricultural, and other life scientists", Postsecondary teachers&#8212;life and related sciences ,3,9000,1,1000,0,4000,1,34000,1,s,s
