table_id,row_id,region_country_or_economy_full_path,region_country_or_economy_level_1,region_country_or_economy_level_2,region_country_or_economy_level_3,region_country_or_economy_level_4,region_country_or_economy_hierarchy_depth,field_2003,field_2004,field_2005,field_2006,field_2007,field_2008,field_2009,field_2010,field_2011,field_2012,field_2013,field_2014,field_2015,field_2016,field_2017,field_2018,field_2019,field_2020,field_2021,field_2022
10067,r001,World,World,,,,1,,,,,,,,,,,,,,,,,,,,
10067,r002,World -> Total articles,World,Total articles,,,2,10011,8375,12953,17062,22843,33975,42832,36494,33125,31763,34259,35011,36533,48125,57823,72165,92038,95162,113981,123402
10067,r003,World -> Total articles -> With multiple institutions,World,Total articles,With multiple institutions,,3,4352,3879,5894,8048,10975,15793,20014,17051,15837,15744,17345,18054,19228,24656,29518,36736,47515,48967,60437,69479
10067,r004,World -> Total articles -> With domestic institutions only,World,Total articles,With domestic institutions only,,3,8532,7038,11045,14466,19394,29491,37777,31728,28171,26706,28303,28467,29279,39427,47799,59778,76583,78603,95086,102024
10067,r005,World -> Total articles -> With international institutions,World,Total articles,With international institutions,,3,1434,1316,1842,2460,3135,4189,4907,4632,4855,4988,5862,6503,7202,8633,9967,12281,15034,15888,18137,20365
10067,r006,World -> Canada,World,Canada,,,2,,,,,,,,,,,,,,,,,,,,
10067,r007,World -> Canada -> Total articles,World,Canada,Total articles,,3,417,336,681,738,878,1058,1183,1025,995,917,1093,1100,1117,1360,1482,1764,2255,2253,2470,2772
10067,r008,World -> Canada -> Total articles -> With multiple institutions,World,Canada,Total articles,With multiple institutions,4,229,201,323,411,457,613,661,586,552,523,659,653,727,899,973,1153,1454,1532,1767,2026
10067,r009,World -> Canada -> Total articles -> With domestic institutions only,World,Canada,Total articles,With domestic institutions only,4,247,187,470,462,555,622,687,600,603,529,622,615,557,618,707,863,1141,1027,1120,1161
10067,r010,World -> Canada -> Total articles -> With international institutions,World,Canada,Total articles,With international institutions,4,165,148,207,273,316,419,490,423,391,387,471,485,559,741,775,901,1105,1212,1326,1589
10067,r011,World -> Mexico,World,Mexico,,,2,,,,,,,,,,,,,,,,,,,,
10067,r012,World -> Mexico -> Total articles,World,Mexico,Total articles,,3,75,56,139,151,173,283,306,450,315,314,394,425,380,400,535,559,654,636,549,503
10067,r013,World -> Mexico -> Total articles -> With multiple institutions,World,Mexico,Total articles,With multiple institutions,4,45,32,89,84,110,173,194,253,177,183,219,247,214,263,351,372,421,433,377,375
10067,r014,World -> Mexico -> Total articles -> With domestic institutions only,World,Mexico,Total articles,With domestic institutions only,4,45,37,93,110,106,209,191,334,235,234,292,295,280,260,382,368,423,422,345,300
10067,r015,World -> Mexico -> Total articles -> With international institutions,World,Mexico,Total articles,With international institutions,4,30,18,46,40,66,72,114,115,79,79,101,129,100,140,151,189,228,213,203,203
10067,r016,World -> United States,World,United States,,,2,,,,,,,,,,,,,,,,,,,,
10067,r017,World -> United States -> Total articles,World,United States,Total articles,,3,2553,2048,3272,3139,4199,5155,5787,4831,5230,4676,5363,5553,6444,7382,8464,9699,11690,11952,13522,12642
10067,r018,World -> United States -> Total articles -> With multiple institutions,World,United States,Total articles,With multiple institutions,4,1333,1127,1668,1753,2265,2879,3174,2658,3038,2862,3270,3427,3995,4578,5226,6126,7530,7614,8883,8726
10067,r019,World -> United States -> Total articles -> With domestic institutions only,World,United States,Total articles,With domestic institutions only,4,1945,1543,2512,2281,3121,3758,4293,3402,3660,3118,3547,3651,4252,4736,5563,6118,7362,7481,8470,7519
10067,r020,World -> United States -> Total articles -> With international institutions,World,United States,Total articles,With international institutions,4,602,498,747,832,1030,1365,1459,1411,1554,1549,1799,1891,2175,2634,2888,3566,4216,4283,4893,4964
10067,r021,"World -> Bahamas, The",World,"Bahamas, The",,,2,,,,,,,,,,,,,,,,,,,,
10067,r022,"World -> Bahamas, The -> Total articles",World,"Bahamas, The",Total articles,,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0
10067,r023,"World -> Bahamas, The -> Total articles -> With multiple institutions",World,"Bahamas, The",Total articles,With multiple institutions,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0
10067,r024,"World -> Bahamas, The -> Total articles -> With domestic institutions only",World,"Bahamas, The",Total articles,With domestic institutions only,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10067,r025,"World -> Bahamas, The -> Total articles -> With international institutions",World,"Bahamas, The",Total articles,With international institutions,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0
10067,r026,World -> Barbados,World,Barbados,,,2,,,,,,,,,,,,,,,,,,,,
10067,r027,World -> Barbados -> Total articles,World,Barbados,Total articles,,3,1,0,0,0,0,1,0,0,1,0,1,0,1,0,0,1,1,0,1,2
10067,r028,World -> Barbados -> Total articles -> With multiple institutions,World,Barbados,Total articles,With multiple institutions,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
10067,r029,World -> Barbados -> Total articles -> With domestic institutions only,World,Barbados,Total articles,With domestic institutions only,4,1,0,0,0,0,1,0,0,1,0,1,0,1,0,0,1,1,0,1,0
10067,r030,World -> Barbados -> Total articles -> With international institutions,World,Barbados,Total articles,With international institutions,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
10067,r031,World -> Belize,World,Belize,,,2,,,,,,,,,,,,,,,,,,,,
10067,r032,World -> Belize -> Total articles,World,Belize,Total articles,,3,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0
10067,r033,World -> Belize -> Total articles -> With multiple institutions,World,Belize,Total articles,With multiple institutions,4,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0
10067,r034,World -> Belize -> Total articles -> With domestic institutions only,World,Belize,Total articles,With domestic institutions only,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
10067,r035,World -> Belize -> Total articles -> With international institutions,World,Belize,Total articles,With international institutions,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
10067,r036,World -> Costa Rica,World,Costa Rica,,,2,,,,,,,,,,,,,,,,,,,,
10067,r037,World -> Costa Rica -> Total articles,World,Costa Rica,Total articles,,3,0,0,3,5,2,4,4,7,4,8,9,16,22,14,15,64,49,30,39,19
10067,r038,World -> Costa Rica -> Total articles -> With multiple institutions,World,Costa Rica,Total articles,With multiple institutions,4,0,0,3,1,2,0,4,4,3,5,4,9,15,8,9,35,24,19,18,14
10067,r039,World -> Costa Rica -> Total articles -> With domestic institutions only,World,Costa Rica,Total articles,With domestic institutions only,4,0,0,0,4,0,4,0,4,1,3,6,10,14,8,10,55,34,21,28,9
10067,r040,World -> Costa Rica -> Total articles -> With international institutions,World,Costa Rica,Total articles,With international institutions,4,0,0,3,1,2,0,4,3,3,5,3,6,8,6,5,9,15,8,11,10
10067,r041,World -> Cuba,World,Cuba,,,2,,,,,,,,,,,,,,,,,,,,
10067,r042,World -> Cuba -> Total articles,World,Cuba,Total articles,,3,4,3,7,11,9,10,8,37,27,24,24,49,21,32,22,42,52,27,34,29
10067,r043,World -> Cuba -> Total articles -> With multiple institutions,World,Cuba,Total articles,With multiple institutions,4,2,3,6,5,5,9,8,31,22,21,19,40,19,28,21,37,45,26,33,29
10067,r044,World -> Cuba -> Total articles -> With domestic institutions only,World,Cuba,Total articles,With domestic institutions only,4,2,1,3,6,5,1,0,12,5,3,6,10,2,5,2,6,11,2,5,1
10067,r045,World -> Cuba -> Total articles -> With international institutions,World,Cuba,Total articles,With international institutions,4,2,2,4,5,4,9,8,25,22,21,18,39,19,27,20,36,40,25,29,28
10067,r046,World -> Dominican Republic,World,Dominican Republic,,,2,,,,,,,,,,,,,,,,,,,,
10067,r047,World -> Dominican Republic -> Total articles,World,Dominican Republic,Total articles,,3,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,2,1,4,0
10067,r048,World -> Dominican Republic -> Total articles -> With multiple institutions,World,Dominican Republic,Total articles,With multiple institutions,4,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,2,0,3,0
