table_id,row_id,industry_and_company_size_full_path,industry_and_company_size_level_1,industry_and_company_size_level_2,industry_and_company_size_level_3,industry_and_company_size_level_4,industry_and_company_size_level_5,industry_and_company_size_hierarchy_depth,field_naics_code,field_2008,field_2009,field_2010,field_2011,field_2012,field_2013,field_2014,field_2015,field_2016,field_2017
2093,r011,All industries -> Manufacturing industries -> Chemicals -> Basic chemicals,All industries,Manufacturing industries,Chemicals,Basic chemicals,,4,3251,"['1,198', '&nbsp;']","['797', '&nbsp;']","['861', '&nbsp;']","['D', '&nbsp;']","['695', '&nbsp;']","['716', '&nbsp;']","['784', '&nbsp;']","['636', '&nbsp;']","['537', '  ']","['560', '  ']"
2093,r012,"All industries -> Manufacturing industries -> Chemicals -> Resin, synthetic rubber, and artificial synthetic fibers and filaments",All industries,Manufacturing industries,Chemicals,"Resin, synthetic rubber, and artificial synthetic fibers and filaments",,4,3252,"['224', '&nbsp;']","['260', '&nbsp;']","['255', '&nbsp;']","['319', '&nbsp;']","['D', '&nbsp;']","['597', '&nbsp;']","['688', '&nbsp;']","['579', '&nbsp;']","['333', '  ']","['321', '  ']"
2093,r013,"All industries -> Manufacturing industries -> Chemicals -> Pesticide, fertilizer, and other agricultural chemicals",All industries,Manufacturing industries,Chemicals,"Pesticide, fertilizer, and other agricultural chemicals",,4,3253,"['371', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['275', 'i']","['299', 'i']","['D', '&nbsp;']","['0 - 5,157', '  ']","['384 - 401', '  ']"
2093,r014,All industries -> Manufacturing industries -> Chemicals -> Pharmaceuticals and medicines,All industries,Manufacturing industries,Chemicals,Pharmaceuticals and medicines,,4,3254,"['10,862', '&nbsp;']","['7,041', '&nbsp;']","['11,068', '&nbsp;']","['12,557', '&nbsp;']","['11,069', '&nbsp;']","['9,690', '&nbsp;']","['10,249', '&nbsp;']","['D', '&nbsp;']","['5,688 - 10,846', '  ']","['11,976', '  ']"
2093,r015,"All industries -> Manufacturing industries -> Chemicals -> Soap, cleaning compound, and toilet preparation",All industries,Manufacturing industries,Chemicals,"Soap, cleaning compound, and toilet preparation",,4,3256,"['965', '&nbsp;']","['873', '&nbsp;']","['884', '&nbsp;']","['910', '&nbsp;']","['870', '&nbsp;']","['924', '&nbsp;']","['952', '&nbsp;']","['D', '&nbsp;']","['789', '  ']","['778', '  ']"
2093,r016,"All industries -> Manufacturing industries -> Chemicals -> Paint, coating, adhesive, and other chemicals",All industries,Manufacturing industries,Chemicals,"Paint, coating, adhesive, and other chemicals",,4,"3255, 3259","['370', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['195', '&nbsp;']","['210', '&nbsp;']","['263', '&nbsp;']","['321', 'i']","['D', '&nbsp;']","['307', '  ']","['415 - 432', '  ']"
2093,r017,All industries -> Manufacturing industries -> Plastics and rubber products,All industries,Manufacturing industries,Plastics and rubber products,,,3,326,"['341', '&nbsp;']","['595', '&nbsp;']","['386', '&nbsp;']","['362', '&nbsp;']","['861', '&nbsp;']","['929', '&nbsp;']","['905', '&nbsp;']","['358', '&nbsp;']","['831', '  ']","['902', '  ']"
2093,r018,All industries -> Manufacturing industries -> Nonmetallic mineral products,All industries,Manufacturing industries,Nonmetallic mineral products,,,3,327,"['106', '&nbsp;']","['54', '&nbsp;']","['282', 'i']","['253', '&nbsp;']","['261', '&nbsp;']","['249', 'i']","['155', 'i']","['228', '&nbsp;']","['185', '  ']","['181', '  ']"
2093,r019,All industries -> Manufacturing industries -> Primary metals,All industries,Manufacturing industries,Primary metals,,,3,331,"['114', '&nbsp;']","['130', '&nbsp;']","['121', '&nbsp;']","['108', '&nbsp;']","['77', '&nbsp;']","['82', '&nbsp;']","['94', '&nbsp;']","['86', '&nbsp;']","['69', '  ']","['130', '  ']"
2093,r020,All industries -> Manufacturing industries -> Fabricated metal products,All industries,Manufacturing industries,Fabricated metal products,,,3,332,"['188', '&nbsp;']","['117', '&nbsp;']","['91', '&nbsp;']","['135', '&nbsp;']","['122', '&nbsp;']","['109', '&nbsp;']","['222', '&nbsp;']","['194', '&nbsp;']","['179', '  ']","['166', '  ']"
2093,r021,All industries -> Manufacturing industries -> Machinery,All industries,Manufacturing industries,Machinery,,,3,333,"['1,929', '&nbsp;']","['1,930', '&nbsp;']","['2,143', '&nbsp;']","['3,587', '&nbsp;']","['3,710', '&nbsp;']","['2,833', '&nbsp;']","['2,984', '&nbsp;']","['3,288', '&nbsp;']","['3,239', '  ']","['3,266', '  ']"
2093,r022,All industries -> Manufacturing industries -> Machinery -> Agricultural implement,All industries,Manufacturing industries,Machinery,Agricultural implement,,4,33311,"['399', '&nbsp;']","['391', '&nbsp;']","['D', '&nbsp;']","['293', '&nbsp;']","['596', '&nbsp;']","['646', '&nbsp;']","['D', '&nbsp;']","['621', '&nbsp;']","['625', '  ']","['567', 'i ']"
2093,r023,All industries -> Manufacturing industries -> Machinery -> Semiconductor machinery,All industries,Manufacturing industries,Machinery,Semiconductor machinery,,4,333242,"['366', '&nbsp;']","['285', '&nbsp;']","['296', '&nbsp;']","['376', '&nbsp;']","['66', '&nbsp;']","['451', '&nbsp;']","['493', '&nbsp;']","['599', '&nbsp;']","['727', '  ']","['786', '  ']"
2093,r024,"All industries -> Manufacturing industries -> Machinery -> Engine, turbine, and power transmission equipment",All industries,Manufacturing industries,Machinery,"Engine, turbine, and power transmission equipment",,4,3336,"['92', '&nbsp;']","['83', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['347', '&nbsp;']","['537', '&nbsp;']","['405', '&nbsp;']","['424', '  ']","['317 - 460', '  ']"
2093,r025,All industries -> Manufacturing industries -> Machinery -> Other machinery,All industries,Manufacturing industries,Machinery,Other machinery,,4,other 333,"['1,072', '&nbsp;']","['1,170', '&nbsp;']","['1,254', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['1,389', '&nbsp;']","['D', '&nbsp;']","['1,664', '&nbsp;']","['1,464', '  ']","['1,453 - 1,597', '  ']"
2093,r026,All industries -> Manufacturing industries -> Computer and electronic products,All industries,Manufacturing industries,Computer and electronic products,,,3,334,"['15,774', '&nbsp;']","['12,917', '&nbsp;']","['13,722', '&nbsp;']","['16,708', '&nbsp;']","['21,117', '&nbsp;']","['21,485', '&nbsp;']","['20,943', '&nbsp;']","['20,678', '&nbsp;']","['20,868', '  ']","['22,648', '  ']"
2093,r027,All industries -> Manufacturing industries -> Computer and electronic products -> Communications equipment,All industries,Manufacturing industries,Computer and electronic products,Communications equipment,,4,3342,"['2,951', '&nbsp;']","['2,862', '&nbsp;']","['3,194', '&nbsp;']","['2,863', '&nbsp;']","['4,525', '&nbsp;']","['4,730', '&nbsp;']","['3,702', '&nbsp;']","['3,625', '&nbsp;']","['2,967', '  ']","['3,132', '  ']"
2093,r028,All industries -> Manufacturing industries -> Computer and electronic products -> Semiconductor and other electronic components,All industries,Manufacturing industries,Computer and electronic products,Semiconductor and other electronic components,,4,3344,"['7,075', '&nbsp;']","['6,058', '&nbsp;']","['6,343', '&nbsp;']","['7,909', '&nbsp;']","['10,082', '&nbsp;']","['10,434', '&nbsp;']","['10,360', '&nbsp;']","['9,896', '&nbsp;']","['10,377', '  ']","['10,898', '  ']"
2093,r029,"All industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments",All industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments",,4,3345,"['2,308', '&nbsp;']","['2,180', '&nbsp;']","['2,158', '&nbsp;']","['2,390', '&nbsp;']","['2,722', '&nbsp;']","['2,927', '&nbsp;']","['3,122', '&nbsp;']","['2,819', '&nbsp;']","['3,227', '  ']","['3,842', '  ']"
2093,r030,"All industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments -> Electromedical, electrotherapeutic, and irradiation apparatus",All industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments","Electromedical, electrotherapeutic, and irradiation apparatus",5,"334510, 334517","['838', '&nbsp;']","['522', '&nbsp;']","['360', '&nbsp;']","['557', '&nbsp;']","['586', '&nbsp;']","['202', '&nbsp;']","['1,073', '&nbsp;']","['923', '&nbsp;']","['922', '  ']","['1,078', '  ']"
2093,r031,"All industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments -> Search, detection, navigation, guidance, aeronautical, and nautical system and instrument",All industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments","Search, detection, navigation, guidance, aeronautical, and nautical system and instrument",5,334511,"['D', '&nbsp;']","['508', '&nbsp;']","['475', '&nbsp;']","['575', '&nbsp;']","['578', '&nbsp;']","['647', '&nbsp;']","['625', '&nbsp;']","['673', '&nbsp;']","['840', '  ']","['960', '  ']"
2093,r032,"All industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments -> Other measuring and controlling device",All industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments",Other measuring and controlling device,5,other 3345,"['D', '&nbsp;']","['1,149', '&nbsp;']","['1,324', '&nbsp;']","['1,258', '&nbsp;']","['1,557', '&nbsp;']","['2,077', '&nbsp;']","['1,423', '&nbsp;']","['1,222', '&nbsp;']","['1,465', '  ']","['1,804', '  ']"
2093,r033,All industries -> Manufacturing industries -> Computer and electronic products -> Other computer and electronic products,All industries,Manufacturing industries,Computer and electronic products,Other computer and electronic products,,4,other 334,"['3,440', '&nbsp;']","['1,817', '&nbsp;']","['2,027', '&nbsp;']","['3,546', '&nbsp;']","['3,788', '&nbsp;']","['3,395', '&nbsp;']","['3,759', '&nbsp;']","['4,338', '&nbsp;']","['4,297', '  ']","['4,776', '  ']"
2093,r034,"All industries -> Manufacturing industries -> Electrical equipment, appliances, and components",All industries,Manufacturing industries,"Electrical equipment, appliances, and components",,,3,335,"['1,162', '&nbsp;']","['1,158', '&nbsp;']","['1,447', '&nbsp;']","['1,695', '&nbsp;']","['1,062', '&nbsp;']","['1,605', '&nbsp;']","['1,382', '&nbsp;']","['1,351', '&nbsp;']","['1,436', '  ']","['1,867', '  ']"
2093,r035,All industries -> Manufacturing industries -> Transportation equipment,All industries,Manufacturing industries,Transportation equipment,,,3,336,"['10,267', '&nbsp;']","['7,974', '&nbsp;']","['8,422', '&nbsp;']","['7,936', '&nbsp;']","['8,075', '&nbsp;']","['7,899', '&nbsp;']","['9,621', '&nbsp;']","['8,412', '&nbsp;']","['8,592', '  ']","['8,822', '  ']"
2093,r036,"All industries -> Manufacturing industries -> Transportation equipment -> Automobiles, bodies, trailers, and parts",All industries,Manufacturing industries,Transportation equipment,"Automobiles, bodies, trailers, and parts",,4,3361–63,"['8,448', '&nbsp;']","['6,023', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['6,877', '&nbsp;']","['D', '&nbsp;']","['6,622', '&nbsp;']","['6,672', '  ']","['6,597', '  ']"
2093,r037,All industries -> Manufacturing industries -> Transportation equipment -> Aerospace products and parts,All industries,Manufacturing industries,Transportation equipment,Aerospace products and parts,,4,3364,"['1,816', '&nbsp;']","['1,846', '&nbsp;']","['1,770', '&nbsp;']","['772', '&nbsp;']","['D', '&nbsp;']","['901', '&nbsp;']","['D', '&nbsp;']","['1,672', '&nbsp;']","['1,817', '  ']","['2,053', '  ']"
2093,r038,"All industries -> Manufacturing industries -> Transportation equipment -> Aerospace products and parts -> Aircraft, aircraft engine, and aircraft parts",All industries,Manufacturing industries,Transportation equipment,Aerospace products and parts,"Aircraft, aircraft engine, and aircraft parts",5,336411–13,"['1,742', '&nbsp;']","['1,760', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['1,670', '&nbsp;']","['1,813', '  ']","['2,050', '  ']"
2093,r039,"All industries -> Manufacturing industries -> Transportation equipment -> Aerospace products and parts -> Guided missile, space vehicle, and related parts",All industries,Manufacturing industries,Transportation equipment,Aerospace products and parts,"Guided missile, space vehicle, and related parts",5,"336414–15, 336419","['74', '&nbsp;']","['85', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['5', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['2', '&nbsp;']","['4', '  ']","['3', '  ']"
2093,r040,"All industries -> Manufacturing industries -> Transportation equipment -> Military armored vehicle, tank, and tank component",All industries,Manufacturing industries,Transportation equipment,"Military armored vehicle, tank, and tank component",,4,336992,"['0', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['1', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['D', '&nbsp;']","['0', '&nbsp;']","['0', '  ']","['0', '  ']"
2093,r041,All industries -> Manufacturing industries -> Transportation equipment -> Other transportation,All industries,Manufacturing industries,Transportation equipment,Other transportation,,4,other 336,"['3', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['121', '&nbsp;']","['D', '&nbsp;']","['118', '&nbsp;']","['104', '  ']","['173', '  ']"
2093,r042,All industries -> Manufacturing industries -> Furniture and related products,All industries,Manufacturing industries,Furniture and related products,,,3,337,"['27', '&nbsp;']","['38', '&nbsp;']","['33', '&nbsp;']","['28', '&nbsp;']","['23', '&nbsp;']","['28', '&nbsp;']","['45', '&nbsp;']","['25', '&nbsp;']","['22', '  ']","['40', '  ']"
2093,r043,All industries -> Manufacturing industries -> Miscellaneous manufacturing,All industries,Manufacturing industries,Miscellaneous manufacturing,,,3,339,"['D', '&nbsp;']","['4,044', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['3,608', '&nbsp;']","['2,194', '&nbsp;']","['2,207', '&nbsp;']","['3,057', '  ']","['2,787', '  ']"
2093,r044,All industries -> Manufacturing industries -> Miscellaneous manufacturing -> Medical equipment and supplies,All industries,Manufacturing industries,Miscellaneous manufacturing,Medical equipment and supplies,,4,3391,"['766', '&nbsp;']","['3,813', '&nbsp;']","['1,003', '&nbsp;']","['D', '&nbsp;']","['1,978', '&nbsp;']","['3,197', '&nbsp;']","['1,782', '&nbsp;']","['1,813', '&nbsp;']","['2,739', '  ']","['2,490', '  ']"
2093,r045,All industries -> Manufacturing industries -> Miscellaneous manufacturing -> Other miscellaneous manufacturing,All industries,Manufacturing industries,Miscellaneous manufacturing,Other miscellaneous manufacturing,,4,3399,"['D', '&nbsp;']","['231', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['411', '&nbsp;']","['412', '&nbsp;']","['394', 'i']","['317', 'i ']","['297', '  ']"
2093,r046,All industries -> Nonmanufacturing industries,All industries,Nonmanufacturing industries,,,,2,"21–23, 42–81","['14,903', '&nbsp;']","['13,648', '&nbsp;']","['14,698', '&nbsp;']","['17,792', '&nbsp;']","['19,037', '&nbsp;']","['19,853', '&nbsp;']","['21,849', '&nbsp;']","['21,778', '&nbsp;']","['25,956', '  ']","['30,258', '  ']"
2093,r047,"All industries -> Nonmanufacturing industries -> Mining, extraction, and support activities",All industries,Nonmanufacturing industries,"Mining, extraction, and support activities",,,3,21,"['D', '&nbsp;']","['D', '&nbsp;']","['239', '&nbsp;']","['232', '&nbsp;']","['D', '&nbsp;']","['452', '&nbsp;']","['D', '&nbsp;']","['336', '&nbsp;']","['308', '  ']","['329 - 337', 'i ']"
2093,r048,All industries -> Nonmanufacturing industries -> Utilities,All industries,Nonmanufacturing industries,Utilities,,,3,22,"['6', '&nbsp;']","['13', '&nbsp;']","['17', '&nbsp;']","['38', '&nbsp;']","['21', '&nbsp;']","['23', '&nbsp;']","['1', '&nbsp;']","['3', '&nbsp;']","['1', '  ']","['9', '  ']"
2093,r049,All industries -> Nonmanufacturing industries -> Wholesale trade,All industries,Nonmanufacturing industries,Wholesale trade,,,3,42,"['509', '&nbsp;']","['D', '&nbsp;']","['53', '&nbsp;']","['141', 'i']","['112', 'i']","['7', '&nbsp;']","['D', '&nbsp;']","['25', 'i']","['21', 'i ']","['37', 'i ']"
2093,r050,All industries -> Nonmanufacturing industries -> Electronic shopping and electronic auctions,All industries,Nonmanufacturing industries,Electronic shopping and electronic auctions,,,3,454111–12,"['NA', '&nbsp;']","['NA', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['490', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['0 - 5,132', 'i ']","['2,555 - 2,779', '  ']"
2093,r051,All industries -> Nonmanufacturing industries -> Transportation and warehousing,All industries,Nonmanufacturing industries,Transportation and warehousing,,,3,48–49,"['2', '&nbsp;']","['1', '&nbsp;']","['29', '&nbsp;']","['28', 'i']","['8', 'i']","['D', '&nbsp;']","['13', '&nbsp;']","['13', '&nbsp;']","['7', '  ']","['7', '  ']"
2093,r052,All industries -> Nonmanufacturing industries -> Information,All industries,Nonmanufacturing industries,Information,,,3,51,"['7,657', '&nbsp;']","['7,243', '&nbsp;']","['8,011', '&nbsp;']","['9,644', '&nbsp;']","['9,915', '&nbsp;']","['11,767', '&nbsp;']","['13,736', '&nbsp;']","['12,508', '&nbsp;']","['13,454', '  ']","['14,646', '  ']"
2093,r053,All industries -> Nonmanufacturing industries -> Information -> Publishing,All industries,Nonmanufacturing industries,Information,Publishing,,4,511,"['6,301', '&nbsp;']","['6,332', '&nbsp;']","['6,926', '&nbsp;']","['7,899', '&nbsp;']","['7,880', '&nbsp;']","['9,456', '&nbsp;']","['10,185', '&nbsp;']","['8,842', '&nbsp;']","['8,698', '  ']","['8,831', '  ']"
2093,r054,"All industries -> Nonmanufacturing industries -> Information -> Publishing -> Newspaper, periodical, book, and directory publishers",All industries,Nonmanufacturing industries,Information,Publishing,"Newspaper, periodical, book, and directory publishers",5,5111,"['27', '&nbsp;']","['47', '&nbsp;']","['55', '&nbsp;']","['29', '&nbsp;']","['2', 'i']","['6', 'i']","['4', 'i']","['9', '&nbsp;']","['4', '  ']","['7', '  ']"
2093,r055,All industries -> Nonmanufacturing industries -> Information -> Publishing -> Software publishers,All industries,Nonmanufacturing industries,Information,Publishing,Software publishers,5,5112,"['6,274', '&nbsp;']","['6,285', '&nbsp;']","['6,871', '&nbsp;']","['7,870', '&nbsp;']","['7,878', '&nbsp;']","['9,450', '&nbsp;']","['10,181', '&nbsp;']","['8,833', '&nbsp;']","['8,693', '  ']","['8,824', '  ']"
2093,r056,All industries -> Nonmanufacturing industries -> Information -> Telecommunications,All industries,Nonmanufacturing industries,Information,Telecommunications,,4,517,"['175', '&nbsp;']","['86', '&nbsp;']","['131', '&nbsp;']","['98', '&nbsp;']","['59', '&nbsp;']","['63', '&nbsp;']","['61', '&nbsp;']","['41', '&nbsp;']","['49', '  ']","['94', '  ']"
2093,r057,"All industries -> Nonmanufacturing industries -> Information -> Data processing, hosting, and related services",All industries,Nonmanufacturing industries,Information,"Data processing, hosting, and related services",,4,518,"['1,089', 'i']","['266', '&nbsp;']","['142', 'i']","['339', '&nbsp;']","['661', '&nbsp;']","['631', '&nbsp;']","['1,294', '&nbsp;']","['1,245', '&nbsp;']","['0 - 4,710', '  ']","['2,272', '  ']"
2093,r058,All industries -> Nonmanufacturing industries -> Information -> Other information,All industries,Nonmanufacturing industries,Information,Other information,,4,other 51,"['93', '&nbsp;']","['559', '&nbsp;']","['812', '&nbsp;']","['1,308', '&nbsp;']","['1,316', '&nbsp;']","['1,616', '&nbsp;']","['2,196', '&nbsp;']","['2,378', '&nbsp;']","['0 - 4,710', '  ']","['3,450', '  ']"
2093,r059,All industries -> Nonmanufacturing industries -> Finance and insurance,All industries,Nonmanufacturing industries,Finance and insurance,,,3,52,"['74', '&nbsp;']","['518', '&nbsp;']","['467', '&nbsp;']","['496', '&nbsp;']","['628', '&nbsp;']","['587', '&nbsp;']","['625', '&nbsp;']","['950', '&nbsp;']","['1,136', '  ']","['965', '  ']"
2093,r060,All industries -> Nonmanufacturing industries -> Real estate and rental and leasing,All industries,Nonmanufacturing industries,Real estate and rental and leasing,,,3,53,"['65', '&nbsp;']","['28', '&nbsp;']","['37', '&nbsp;']","['D', '&nbsp;']","['38', '&nbsp;']","['11', '&nbsp;']","['6', '&nbsp;']","['13', '&nbsp;']","['2', '  ']","['191', 'i ']"
2093,r061,All industries -> Nonmanufacturing industries -> Real estate and rental and leasing -> Lessors of nonfinancial intangible assets (except copyrighted works),All industries,Nonmanufacturing industries,Real estate and rental and leasing,Lessors of nonfinancial intangible assets (except copyrighted works),,4,533,"['NA', '&nbsp;']","['NA', '&nbsp;']","['NA', '&nbsp;']","['41', '&nbsp;']","['37', '&nbsp;']","['D', '&nbsp;']","['3', '&nbsp;']","['D', '&nbsp;']","['*', '  ']","['173', 'i ']"
2093,r062,All industries -> Nonmanufacturing industries -> Real estate and rental and leasing -> Other real estate and rental and leasing,All industries,Nonmanufacturing industries,Real estate and rental and leasing,Other real estate and rental and leasing,,4,other 53,"['NA', '&nbsp;']","['NA', '&nbsp;']","['NA', '&nbsp;']","['D', '&nbsp;']","['*', 'i']","['D', '&nbsp;']","['3', '&nbsp;']","['D', '&nbsp;']","['2', '  ']","['18', 'i ']"
2093,r063,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",,,3,54,"['6,150', '&nbsp;']","['5,328', '&nbsp;']","['5,309', '&nbsp;']","['6,424', '&nbsp;']","['6,723', '&nbsp;']","['6,418', '&nbsp;']","['6,534', '&nbsp;']","['7,653', '&nbsp;']","['5,744 - 10,877', '  ']","['11,064', '  ']"
2093,r064,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Architectural, engineering, and related services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services","Architectural, engineering, and related services",,4,5413,"['200', '&nbsp;']","['126', '&nbsp;']","['148', 'i']","['D', '&nbsp;']","['57', '&nbsp;']","['41', '&nbsp;']","['65', '&nbsp;']","['58', '&nbsp;']","['57', 'i ']","['53', '  ']"
2093,r065,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Computer systems design and related services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Computer systems design and related services,,4,5415,"['2,164', '&nbsp;']","['1,959', '&nbsp;']","['2,099', '&nbsp;']","['2,243', 'i']","['2,398', 'i']","['1,293', '&nbsp;']","['1,525', 'i']","['2,893', '&nbsp;']","['0 - 5,132', '  ']","['3,498', '  ']"
2093,r066,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Scientific research and development services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Scientific research and development services,,4,5417,"['3,544', '&nbsp;']","['2,905', '&nbsp;']","['2,696', '&nbsp;']","['3,581', '&nbsp;']","['3,810', '&nbsp;']","['4,259', '&nbsp;']","['4,546', '&nbsp;']","['4,380', '&nbsp;']","['5,416', '  ']","['7,124', '  ']"
2093,r067,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Scientific research and development services -> Biotechnology research and development",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Scientific research and development services,Biotechnology research and development,5,541711,"['NA', '&nbsp;']","['683', '&nbsp;']","['729', '&nbsp;']","['942', '&nbsp;']","['977', '&nbsp;']","['1,398', '&nbsp;']","['1,438', '&nbsp;']","['1,520', '&nbsp;']","['1,616', '  ']","['1,996', '  ']"
2093,r068,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Scientific research and development services -> Physical, engineering, and life sciences (except biotechnology) research and development",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Scientific research and development services,"Physical, engineering, and life sciences (except biotechnology) research and development",5,541712,"['NA', '&nbsp;']","['2,213', '&nbsp;']","['1,962', '&nbsp;']","['2,638', '&nbsp;']","['2,830', '&nbsp;']","['2,859', '&nbsp;']","['3,103', '&nbsp;']","['2,858', '&nbsp;']","['3,796', '  ']","['5,125', '  ']"
