table_id,row_id,_b_field_b_full_path,_b_field_b_level_1,_b_field_b_level_2,_b_field_b_hierarchy_depth,field_institutions_with_research_space_number_a,field_institutions_with_research_space_shared_with_other_fields_number,field_institutions_with_research_space_shared_with_other_fields_percent,field_institutions_with_research_space_also_used_for_nonresearch_purposes_number,field_institutions_with_research_space_also_used_for_nonresearch_purposes_percent
7846,r001,All research space,All research space,,1,564,325,58,363,64
7846,r002,All research space -> Agricultural sciences,All research space,Agricultural sciences,2,209,76,36,106,51
7846,r003,All research space -> Biological and biomedical sciences,All research space,Biological and biomedical sciences,2,552,234,42,288,52
7846,r004,All research space -> Computer and information sciences,All research space,Computer and information sciences,2,437,129,30,237,54
7846,r005,All research space -> Engineering,All research space,Engineering,2,396,159,40,227,57
7846,r006,"All research space -> Geosciences, atmospheric sciences, and ocean sciences",All research space,"Geosciences, atmospheric sciences, and ocean sciences",2,370,104,28,193,52
7846,r007,All research space -> Health sciences,All research space,Health sciences,2,429,147,34,231,54
7846,r008,All research space -> Mathematics and statistics,All research space,Mathematics and statistics,2,372,81,22,205,55
7846,r009,All research space -> Natural resources and conservation,All research space,Natural resources and conservation,2,281,102,36,143,51
7846,r010,All research space -> Physical sciences,All research space,Physical sciences,2,484,172,36,267,55
7846,r011,All research space -> Psychology,All research space,Psychology,2,446,88,20,221,50
7846,r012,All research space -> Social sciences,All research space,Social sciences,2,414,101,24,220,53
7846,r013,All research space -> Other,All research space,Other,2,158,76,48,79,50
