table_id,row_id,country,a_lot,some,not_much,nothing_at_all,don_t_know_or_refused
6676,r001,"Weighted percentage among all top 16 R&D countries (n = 18,688)",0.3,0.7,0.7,0.5,0.3
6676,r002,"United States (n = 1,006)",1.5,2.0,1.6,1.0,0.2
6676,r003,"Denmark (n = 1,000)",1.4,1.7,1.4,0.8,0.0
6676,r004,"Norway (n = 1,000)",1.4,1.9,1.7,0.6,0.1
6676,r005,"Belgium (n = 1,004)",1.3,1.8,1.5,1.0,0.2
6676,r006,"Germany (n = 1,000)",1.3,1.9,1.6,0.8,0.3
6676,r007,"France (n = 1,000)",1.4,2.0,1.7,1.0,0.0
6676,r008,"Netherlands (n = 1,001)",1.2,1.9,1.8,1.2,0.2
6676,r009,"Israel (n = 1,010)",1.2,1.7,1.8,1.1,0.4
6676,r010,"Sweden (n = 1,000)",1.1,1.9,1.7,0.9,0.3
6676,r011,"Austria (n = 1,000)",1.1,1.8,1.8,0.9,0.0
6676,r012,"Switzerland (n = 1,000)",1.1,2.0,1.8,0.8,0.4
6676,r013,"Finland (n = 1,000)",1.3,2.0,1.8,0.8,0.0
6676,r014,"South Korea (n = 1,014)",0.8,1.8,1.8,1.0,0.2
6676,r015,"Taiwan (n = 1,000)",0.6,1.8,1.9,1.4,0.5
6676,r016,"Japan (n = 1,004)",0.6,1.7,1.9,1.5,0.2
6676,r017,"China (n = 3,649)",0.3,0.8,1.0,0.7,0.4
