table_id,row_id,field_of_study_and_sex_full_path,field_of_study_and_sex_level_1,field_of_study_and_sex_level_2,field_of_study_and_sex_level_3,field_of_study_and_sex_hierarchy_depth,field_1987_number,field_1987_percent,field_1992_number,field_1992_percent,field_1997_number,field_1997_percent,field_2002_number,field_2002_percent,field_2007_number,field_2007_percent,field_2012_number,field_2012_percent,field_2017_number,field_2017_percent
952,r001,All fields<sup>a</sup>,All fields<sup>a</sup>,,,1,32365,100.0,38667,100.0,42184,100.0,39946,100.0,48106,100.0,50889,100.0,54641,100.0
952,r002,All fields<sup>a</sup> -> Male,All fields<sup>a</sup>,Male,,2,20934,64.7,24232,62.7,24942,59.1,21806,54.6,26202,54.5,27362,53.8,29146,53.3
952,r003,All fields<sup>a</sup> -> Female,All fields<sup>a</sup>,Female,,2,11431,35.3,14435,37.3,17242,40.9,18140,45.4,21904,45.5,23527,46.2,25495,46.7
952,r004,All fields<sup>a</sup> -> Life sciences<sup>b</sup>,All fields<sup>a</sup>,Life sciences<sup>b</sup>,,2,5783,100.0,7141,100.0,8365,100.0,8465,100.0,10694,100.0,11949,100.0,12587,100.0
952,r005,All fields<sup>a</sup> -> Life sciences<sup>b</sup> -> Male,All fields<sup>a</sup>,Life sciences<sup>b</sup>,Male,3,3747,64.8,4322,60.5,4613,55.1,4443,52.5,5197,48.6,5335,44.6,5629,44.7
952,r006,All fields<sup>a</sup> -> Life sciences<sup>b</sup> -> Female,All fields<sup>a</sup>,Life sciences<sup>b</sup>,Female,3,2036,35.2,2819,39.5,3752,44.9,4022,47.5,5497,51.4,6614,55.4,6958,55.3
952,r007,All fields<sup>a</sup> -> Physical sciences and earth sciences,All fields<sup>a</sup>,Physical sciences and earth sciences,,2,3811,100.0,4486,100.0,4522,100.0,3871,100.0,4955,100.0,5414,100.0,6079,100.0
952,r008,All fields<sup>a</sup> -> Physical sciences and earth sciences -> Male,All fields<sup>a</sup>,Physical sciences and earth sciences,Male,3,3177,83.4,3545,79.0,3489,77.2,2812,72.6,3447,69.6,3684,68.0,4068,66.9
952,r009,All fields<sup>a</sup> -> Physical sciences and earth sciences -> Female,All fields<sup>a</sup>,Physical sciences and earth sciences,Female,3,634,16.6,941,21.0,1033,22.8,1059,27.4,1508,30.4,1730,32.0,2011,33.1
952,r010,All fields<sup>a</sup> -> Mathematics and computer sciences,All fields<sup>a</sup>,Mathematics and computer sciences,,2,1189,100.0,1913,100.0,2007,100.0,1723,100.0,3041,100.0,3493,100.0,3842,100.0
952,r011,All fields<sup>a</sup> -> Mathematics and computer sciences -> Male,All fields<sup>a</sup>,Mathematics and computer sciences,Male,3,999,84.0,1588,83.0,1594,79.4,1290,74.9,2307,75.9,2638,75.5,2866,74.6
