table_id,row_id,_b_institution_b_full_path,_b_institution_b_level_1,_b_institution_b_level_2,_b_institution_b_hierarchy_depth,field_rank,field_usda_r_d_expenditures,field_computer_and_information_sciences,field_geosciences_atmospheric_sciences_and_ocean_sciences,field_life_sciences,field_mathematics_and_statistics,field_physical_sciences,field_psychology,field_social_sciences,field_sciences_nec,field_engineering,field_all_non_s_e_fields
3176,r001,All institutions,All institutions,,1,-,"['1,221,317', '']","['6,362', '']","['39,695', '']","['986,905', '']","['5,184', '']","['6,326', '']","['10,962', '']","['31,662', '']","['7,483', '']","['76,497', '']","['50,241', '']"
3176,r002,All institutions -> North Carolina State U.,All institutions,North Carolina State U.,2,1,"['42,846', '']","['0', '']","['841', '']","['36,832', '']","['77', '']","['23', '']","['110', '']","['1,234', '']","['210', '']","['3,496', '']","['23', '']"
3176,r003,"All institutions -> Colorado State U., Fort Collins",All institutions,"Colorado State U., Fort Collins",2,2,"['41,555', '']","['0', '']","['8,399', '']","['28,094', '']","['356', '']","['49', '']","['0', '']","['1,398', '']","['53', '']","['1,132', '']","['2,074', '']"
3176,r004,All institutions -> U. Florida,All institutions,U. Florida,2,3,"['40,427', '']","['0', '']","['628', '']","['34,607', '']","['184', '']","['146', '']","['0', '']","['633', '']","['0', '']","['2,358', '']","['1,871', '']"
3176,r005,All institutions -> Cornell U.,All institutions,Cornell U.,2,4,"['37,785', '']","['27', '']","['17', '']","['35,263', '']","['0', '']","['0', '']","['141', '']","['379', '']","['0', '']","['914', '']","['1,044', '']"
3176,r006,"All institutions -> Texas A&M U., College Station and Health Science Center",All institutions,"Texas A&M U., College Station and Health Science Center",2,5,"['37,402', '']","['148', '']","['1,722', '']","['32,713', '']","['150', '']","['34', '']","['0', '']","['1,257', '']","['0', '']","['306', '']","['1,072', '']"
3176,r007,All institutions -> Washington State U.,All institutions,Washington State U.,2,6,"['36,317', '']","['0', '']","['110', '']","['30,513', '']","['50', '']","['0', '']","['0', '']","['896', '']","['18', '']","['3,125', '']","['1,605', '']"
3176,r008,"All institutions -> U. California, Davis",All institutions,"U. California, Davis",2,7,"['36,057', '']","['41', '']","['1,151', '']","['32,098', '']","['111', '']","['0', '']","['0', '']","['600', '']","['0', '']","['2,056', '']","['0', '']"
3176,r009,All institutions -> Michigan State U.,All institutions,Michigan State U.,2,8,"['34,267', '']","['0', '']","['1,039', '']","['30,304', '']","['6', '']","['0', '']","['0', '']","['540', '']","['29', '']","['1,743', '']","['606', '']"
3176,r010,All institutions -> Ohio State U.,All institutions,Ohio State U.,2,9,"['33,905', '']","['0', '']","['9', '']","['19,424', '']","['0', '']","['27', '']","['0', '']","['116', '']","['56', '']","['2,163', '']","['12,110', '']"
3176,r011,"All institutions -> Pennsylvania State U., University Park and Hershey Medical Center",All institutions,"Pennsylvania State U., University Park and Hershey Medical Center",2,10,"['32,342', '']","['12', '']","['651', '']","['24,871', '']","['2', '']","['169', '']","['6,066', '']","['272', '']","['0', '']","['276', '']","['23', '']"
