table_id,row_id,_b_institution_b_full_path,_b_institution_b_level_1,_b_institution_b_level_2,_b_institution_b_hierarchy_depth,field_rank,field_total_2020,field_total_2021,field_total_2022,field_total_2023,field_federally_financed_2020,field_federally_financed_2021,field_federally_financed_2022,field_federally_financed_2023
12693,r001,All institutions,All institutions,,1,-,"['27,991,953', '']","['29,857,379', '']","['31,874,515', '']","['35,724,571', '']","['14,705,970', '']","['16,130,296', '']","['17,505,745', '']","['19,390,822', '']"
12693,r002,"All institutions -> U. California, San Francisco",All institutions,"U. California, San Francisco",2,1,"['1,579,053', '']","['1,637,342', '']","['1,731,822', '']","['1,975,332', '']","['634,237', '']","['645,077', '']","['736,836', '']","['814,799', '']"
12693,r003,"All institutions -> U. California, Los Angeles",All institutions,"U. California, Los Angeles",2,2,"['955,580', '']","['1,019,775', '']","['1,073,244', '']","['1,183,024', '']","['437,643', '']","['502,185', '']","['594,487', '']","['614,927', '']"
12693,r004,"All institutions -> U. California, San Diego",All institutions,"U. California, San Diego",2,3,"['765,869', '']","['762,778', '']","['854,614', '']","['975,237', '']","['377,281', '']","['419,886', '']","['531,157', '']","['593,438', '']"
12693,r005,All institutions -> Duke U.,All institutions,Duke U.,2,4,"['717,323', '']","['721,730', '']","['857,681', '']","['922,346', '']","['353,311', '']","['383,958', '']","['493,708', '']","['520,614', '']"
12693,r006,"All institutions -> U. North Carolina, Chapel Hill",All institutions,"U. North Carolina, Chapel Hill",2,5,"['700,352', '']","['733,607', '']","['798,512', '']","['910,610', '']","['398,199', '']","['426,102', '']","['453,720', '']","['495,807', '']"
12693,r007,All institutions -> Yale U.,All institutions,Yale U.,2,6,"['726,089', '']","['779,001', '']","['809,589', '']","['899,612', '']","['367,588', '']","['415,334', '']","['445,289', '']","['478,074', '']"
12693,r008,All institutions -> Johns Hopkins U.<sup>a</sup>,All institutions,Johns Hopkins U.<sup>a</sup>,2,7,"['736,373', 'i']","['719,743', 'i']","['820,566', 'i']","['884,787', 'i']","['492,957', '']","['495,734', '']","['571,270', '']","['618,592', '']"
12693,r009,"All institutions -> U. Pittsburgh, Pittsburgh",All institutions,"U. Pittsburgh, Pittsburgh",2,8,"['659,733', '']","['678,383', '']","['728,994', '']","['840,307', '']","['400,747', '']","['421,306', '']","['462,914', '']","['537,455', '']"
12693,r010,All institutions -> Stanford U.,All institutions,Stanford U.,2,9,"['572,268', '']","['622,630', '']","['695,772', '']","['795,985', '']","['323,047', '']","['359,980', '']","['392,879', '']","['449,167', '']"
12693,r011,All institutions -> U. Texas M. D. Anderson Cancer Center,All institutions,U. Texas M. D. Anderson Cancer Center,2,10,"['654,098', '']","['714,145', '']","['755,886', '']","['784,555', '']","['90,726', '']","['114,464', '']","['120,193', '']","['137,820', '']"
12693,r012,"All institutions -> U. Washington, Seattle",All institutions,"U. Washington, Seattle",2,11,"['660,692', '']","['685,723', '']","['679,546', '']","['772,288', '']","['489,241', '']","['488,597', '']","['472,149', '']","['543,005', '']"
12693,r013,All institutions -> Ohio State U.,All institutions,Ohio State U.,2,12,"['422,365', '']","['700,303', '']","['666,812', '']","['744,235', '']","['225,112', '']","['245,788', '']","['280,228', '']","['330,184', '']"
