table_id,row_id,industry_and_company_size_full_path,industry_and_company_size_level_1,industry_and_company_size_level_2,industry_and_company_size_level_3,industry_and_company_size_level_4,industry_and_company_size_level_5,industry_and_company_size_hierarchy_depth,field_naics_code,field_worldwide_employees_total,field_worldwide_employees_r_d,field_worldwide_employees_percentage_of_r_d_employees,field_domestic_employees_total,field_domestic_employees_r_d,field_domestic_employees_percentage_of_r_d_employees,field_foreign_employees_total,field_foreign_employees_r_d,field_foreign_employees_percentage_of_r_d_employees
12317,r001,All industries,All industries,,,,,1,"21–23, 31–33, 42–81","['36,453', '  ']","['3,186', '  ']","['8.7', '  ']","['24,092', '  ']","['2,110', '  ']","['8.8', '  ']","['12,361', '  ']","['1,076', '  ']","['8.7', '  ']"
12317,r002,All industries -> Manufacturing industries,All industries,Manufacturing industries,,,,2,31–33,"['18,462', '  ']","['1,527', '  ']","['8.3', '  ']","['10,251', '  ']","['1,008', '  ']","['9.8', '  ']","['8,211', '  ']","['518', '  ']","['6.3', '  ']"
12317,r003,All industries -> Manufacturing industries -> Food,All industries,Manufacturing industries,Food,,,3,311,"['2,138', '  ']","['46', '  ']","['2.2', '  ']","['1,393', '  ']","['30', '  ']","['2.2', '  ']","['745', '  ']","['16', '  ']","['2.1', '  ']"
12317,r004,All industries -> Manufacturing industries -> Beverage and tobacco products,All industries,Manufacturing industries,Beverage and tobacco products,,,3,312,"['726', '  ']","['7', '  ']","['0.9', '  ']","['388', '  ']","['5', '  ']","['1.2', '  ']","['338', '  ']","['2', '  ']","['0.7', '  ']"
12317,r005,"All industries -> Manufacturing industries -> Textile, apparel, and leather products",All industries,Manufacturing industries,"Textile, apparel, and leather products",,,3,313–16,"['343', '  ']","['6', '  ']","['1.9', '  ']","['189', '  ']","['5', '  ']","['2.6', '  ']","['154', '  ']","['2', '  ']","['1.0', '  ']"
12317,r006,All industries -> Manufacturing industries -> Wood products,All industries,Manufacturing industries,Wood products,,,3,321,"['121', '  ']","['4', '  ']","['3.0', '  ']","['110', '  ']","['4', '  ']","['3.3', '  ']","['11', '  ']","['*', '  ']","['0.4', '  ']"
12317,r007,All industries -> Manufacturing industries -> Paper,All industries,Manufacturing industries,Paper,,,3,322,"['262', '  ']","['8', '  ']","['3.2', '  ']","['183', '  ']","['7', '  ']","['3.7', '  ']","['79', '  ']","['1', '  ']","['1.9', '  ']"
12317,r008,All industries -> Manufacturing industries -> Printing and related support activities,All industries,Manufacturing industries,Printing and related support activities,,,3,323,"['120', '  ']","['2', '  ']","['1.6', '  ']","['96', '  ']","['2', '  ']","['1.9', '  ']","['23', '  ']","['*', '  ']","['0.2', '  ']"
12317,r009,All industries -> Manufacturing industries -> Petroleum and coal products,All industries,Manufacturing industries,Petroleum and coal products,,,3,324,"['146', '  ']","['6', '  ']","['4.0', '  ']","['94', '  ']","['4', '  ']","['4.2', '  ']","['51', '  ']","['2', '  ']","['3.8', '  ']"
12317,r010,All industries -> Manufacturing industries -> Chemicals,All industries,Manufacturing industries,Chemicals,,,3,325,"['2,534', '  ']","['302', '  ']","['11.9', '  ']","['1,446', '  ']","['217', '  ']","['15.0', '  ']","['1,088', '  ']","['85', '  ']","['7.8', '  ']"
12317,r011,All industries -> Manufacturing industries -> Chemicals -> Basic chemicals,All industries,Manufacturing industries,Chemicals,Basic chemicals,,4,3251,"['383', '  ']","['21', '  ']","['5.5', '  ']","['235', '  ']","['13', '  ']","['5.6', '  ']","['148', '  ']","['8', '  ']","['5.3', '  ']"
12317,r012,"All industries -> Manufacturing industries -> Chemicals -> Resin, synthetic rubber, and artificial synthetic fibers and filaments",All industries,Manufacturing industries,Chemicals,"Resin, synthetic rubber, and artificial synthetic fibers and filaments",,4,3252,"['190', '  ']","['11', '  ']","['5.8', '  ']","['101', '  ']","['7', '  ']","['6.9', '  ']","['88', '  ']","['4', '  ']","['4.6', '  ']"
12317,r013,"All industries -> Manufacturing industries -> Chemicals -> Pesticide, fertilizer, and other agricultural chemicals",All industries,Manufacturing industries,Chemicals,"Pesticide, fertilizer, and other agricultural chemicals",,4,3253,"['84', '  ']","['5', '  ']","['6.0', '  ']","['64', '  ']","['4', '  ']","['6.9', '  ']","['20', '  ']","['1', '  ']","['3.2', '  ']"
12317,r014,All industries -> Manufacturing industries -> Chemicals -> Pharmaceuticals and medicines,All industries,Manufacturing industries,Chemicals,Pharmaceuticals and medicines,,4,3254,"['1,139', '  ']","['233', '  ']","['20.5', '  ']","['664', '  ']","['172', '  ']","['25.9', '  ']","['475', '  ']","['61', '  ']","['12.9', '  ']"
12317,r015,"All industries -> Manufacturing industries -> Chemicals -> Soap, cleaning compound, and toilet preparations",All industries,Manufacturing industries,Chemicals,"Soap, cleaning compound, and toilet preparations",,4,3256,"['442', '  ']","['19', '  ']","['4.4', '  ']","['220', '  ']","['12', '  ']","['5.6', '  ']","['222', '  ']","['7', '  ']","['3.2', '  ']"
12317,r016,"All industries -> Manufacturing industries -> Chemicals -> Paint, coating, adhesive, and other chemicals",All industries,Manufacturing industries,Chemicals,"Paint, coating, adhesive, and other chemicals",,4,"3255, 3259","['296', '  ']","['12', '  ']","['4.1', '  ']","['161', '  ']","['9', '  ']","['5.5', '  ']","['135', '  ']","['3', '  ']","['2.5', '  ']"
12317,r017,All industries -> Manufacturing industries -> Plastics and rubber products,All industries,Manufacturing industries,Plastics and rubber products,,,3,326,"['715', '  ']","['30', '  ']","['4.2', '  ']","['490', '  ']","['22', '  ']","['4.5', '  ']","['225', '  ']","['8', '  ']","['3.5', '  ']"
12317,r018,All industries -> Manufacturing industries -> Nonmetallic mineral products,All industries,Manufacturing industries,Nonmetallic mineral products,,,3,327,"['239', '  ']","['7', '  ']","['3.1', '  ']","['141', '  ']","['6', '  ']","['4.3', '  ']","['98', '  ']","['1', '  ']","['1.2', '  ']"
12317,r019,All industries -> Manufacturing industries -> Primary metals,All industries,Manufacturing industries,Primary metals,,,3,331,"['225', '  ']","['8', '  ']","['3.6', '  ']","['175', '  ']","['8', '  ']","['4.3', '  ']","['50', '  ']","['1', '  ']","['1.1', '  ']"
12317,r020,All industries -> Manufacturing industries -> Fabricated metal products,All industries,Manufacturing industries,Fabricated metal products,,,3,332,"['532', '  ']","['40', '  ']","['7.5', '  ']","['408', '  ']","['38', '  ']","['9.3', '  ']","['124', '  ']","['2', '  ']","['1.4', '  ']"
12317,r021,All industries -> Manufacturing industries -> Machinery,All industries,Manufacturing industries,Machinery,,,3,333,"['1,942', '  ']","['167', '  ']","['8.6', '  ']","['941', '  ']","['105', '  ']","['11.1', '  ']","['1,001', '  ']","['62', '  ']","['6.2', '  ']"
12317,r022,All industries -> Manufacturing industries -> Machinery -> Agricultural implement,All industries,Manufacturing industries,Machinery,Agricultural implement,,4,33311,"['189', '  ']","['18', '  ']","['9.6', '  ']","['102', '  ']","['10', '  ']","['10.1', '  ']","['87', '  ']","['8', '  ']","['9.0', '  ']"
12317,r023,All industries -> Manufacturing industries -> Machinery -> Semiconductor machinery,All industries,Manufacturing industries,Machinery,Semiconductor machinery,,4,333242,"['124', '  ']","['28', '  ']","['22.9', '  ']","['41', '  ']","['14', '  ']","['34.6', '  ']","['83', '  ']","['14', '  ']","['17.2', '  ']"
12317,r024,"All industries -> Manufacturing industries -> Machinery -> Engine, turbine, and power transmission equipment",All industries,Manufacturing industries,Machinery,"Engine, turbine, and power transmission equipment",,4,3336,"['341', '  ']","['26', '  ']","['7.6', '  ']","['139', '  ']","['15', '  ']","['11.1', '  ']","['202', '  ']","['10', '  ']","['5.1', '  ']"
12317,r025,All industries -> Manufacturing industries -> Machinery -> Other machinery,All industries,Manufacturing industries,Machinery,Other machinery,,4,other 333,"['1,287', '  ']","['95', '  ']","['7.4', '  ']","['659', '  ']","['65', '  ']","['9.9', '  ']","['628', '  ']","['30', '  ']","['4.7', '  ']"
12317,r026,All industries -> Manufacturing industries -> Computer and electronic products,All industries,Manufacturing industries,Computer and electronic products,,,3,334,"['2,685', '  ']","['460', '  ']","['17.1', '  ']","['1,033', '  ']","['245', '  ']","['23.7', '  ']","['1,652', '  ']","['215', '  ']","['13.0', '  ']"
12317,r027,All industries -> Manufacturing industries -> Computer and electronic products -> Communications equipment,All industries,Manufacturing industries,Computer and electronic products,Communications equipment,,4,3342,"['255', '  ']","['69', '  ']","['26.9', '  ']","['131', '  ']","['36', '  ']","['27.6', '  ']","['123', '  ']","['32', '  ']","['26.2', '  ']"
12317,r028,All industries -> Manufacturing industries -> Computer and electronic products -> Semiconductor and other electronic components,All industries,Manufacturing industries,Computer and electronic products,Semiconductor and other electronic components,,4,3344,"['1,174', '  ']","['204', '  ']","['17.4', '  ']","['311', '  ']","['93', '  ']","['29.9', '  ']","['862', '  ']","['111', '  ']","['12.9', '  ']"
12317,r029,"All industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments",All industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments",,4,3345,"['587', '  ']","['77', '  ']","['13.1', '  ']","['319', '  ']","['53', '  ']","['16.5', '  ']","['268', '  ']","['24', '  ']","['9.0', '  ']"
12317,r030,"All industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments -> Electromedical, electrotherapeutic, and irradiation apparatus",All industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments","Electromedical, electrotherapeutic, and irradiation apparatus",5,"334510, 334517","['129', '  ']","['20', '  ']","['15.6', '  ']","['103', '  ']","['16', '  ']","['16.1', '  ']","['26', '  ']","['4', '  ']","['13.7', '  ']"
12317,r031,"All industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments -> Search, detection, navigation, guidance, aeronautical, and nautical system and instruments",All industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments","Search, detection, navigation, guidance, aeronautical, and nautical system and instruments",5,334511,"['87', '  ']","['20', '  ']","['22.4', '  ']","['66', '  ']","['16', '  ']","['24.0', '  ']","['21', '  ']","['4', '  ']","['17.4', '  ']"
12317,r032,"All industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments -> Other measuring and controlling devices",All industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments",Other measuring and controlling devices,5,other 3345,"['371', '  ']","['37', '  ']","['10.1', '  ']","['150', '  ']","['20', '  ']","['13.5', '  ']","['221', '  ']","['17', '  ']","['7.7', '  ']"
12317,r033,All industries -> Manufacturing industries -> Computer and electronic products -> Other computer and electronic products,All industries,Manufacturing industries,Computer and electronic products,Other computer and electronic products,,4,other 334,"['670', '  ']","['110', '  ']","['16.4', '  ']","['272', '  ']","['63', '  ']","['23.3', '  ']","['398', '  ']","['47', '  ']","['11.7', '  ']"
12317,r034,"All industries -> Manufacturing industries -> Electrical equipment, appliances, and components",All industries,Manufacturing industries,"Electrical equipment, appliances, and components",,,3,335,"['759', '  ']","['42', '  ']","['5.5', '  ']","['373', '  ']","['27', '  ']","['7.3', '  ']","['386', '  ']","['14', '  ']","['3.7', '  ']"
12317,r035,All industries -> Manufacturing industries -> Transportation equipment,All industries,Manufacturing industries,Transportation equipment,,,3,336,"['3,283', '  ']","['265', '  ']","['8.1', '  ']","['1,856', '  ']","['195', '  ']","['10.5', '  ']","['1,427', '  ']","['70', '  ']","['4.9', '  ']"
12317,r036,"All industries -> Manufacturing industries -> Transportation equipment -> Motor vehicles, bodies, trailers, and parts",All industries,Manufacturing industries,Transportation equipment,"Motor vehicles, bodies, trailers, and parts",,4,3361–63,"['1,988', '  ']","['164', '  ']","['8.3', '  ']","['896', '  ']","['110', '  ']","['12.3', '  ']","['1,092', '  ']","['54', '  ']","['4.9', '  ']"
12317,r037,All industries -> Manufacturing industries -> Transportation equipment -> Aerospace products and parts,All industries,Manufacturing industries,Transportation equipment,Aerospace products and parts,,4,3364,"['1,035', '  ']","['86', '  ']","['8.3', '  ']","['766', '  ']","['71', '  ']","['9.3', '  ']","['269', '  ']","['14', '  ']","['5.3', '  ']"
12317,r038,"All industries -> Manufacturing industries -> Transportation equipment -> Aerospace products and parts -> Aircraft, aircraft engine, and aircraft parts",All industries,Manufacturing industries,Transportation equipment,Aerospace products and parts,"Aircraft, aircraft engine, and aircraft parts",5,336411–13,"['697', '  ']","['58', '  ']","['8.4', '  ']","['561', '  ']","['50', '  ']","['8.9', '  ']","['136', '  ']","['8', '  ']","['6.0', '  ']"
12317,r039,"All industries -> Manufacturing industries -> Transportation equipment -> Aerospace products and parts -> Guided missile, space vehicle, and related parts",All industries,Manufacturing industries,Transportation equipment,Aerospace products and parts,"Guided missile, space vehicle, and related parts",5,"336414–15, 336419","['338', '  ']","['27', '  ']","['8.1', '  ']","['206', '  ']","['21', '  ']","['10.3', '  ']","['133', 'i ']","['6', 'i ']","['4.6', '  ']"
12317,r040,"All industries -> Manufacturing industries -> Transportation equipment -> Military armored vehicle, tank, and tank components",All industries,Manufacturing industries,Transportation equipment,"Military armored vehicle, tank, and tank components",,4,336992,"['3', '  ']","['*', '  ']","['11.2', '  ']","['3', '  ']","['*', '  ']","['11.2', '  ']","['0', '  ']","['0', '  ']","['NA', '  ']"
12317,r041,All industries -> Manufacturing industries -> Transportation equipment -> Other transportation,All industries,Manufacturing industries,Transportation equipment,Other transportation,,4,other 336,"['257', '  ']","['15', '  ']","['5.8', '  ']","['191', '  ']","['12', '  ']","['6.5', '  ']","['66', '  ']","['2', '  ']","['3.7', '  ']"
12317,r042,All industries -> Manufacturing industries -> Furniture and related products,All industries,Manufacturing industries,Furniture and related products,,,3,337,"['157', '  ']","['5', '  ']","['2.9', '  ']","['124', '  ']","['4', '  ']","['3.4', '  ']","['33', '  ']","['*', '  ']","['1.1', '  ']"
12317,r043,All industries -> Manufacturing industries -> Miscellaneous,All industries,Manufacturing industries,Miscellaneous,,,3,339,"['1,536', '  ']","['122', '  ']","['7.9', '  ']","['811', '  ']","['85', '  ']","['10.5', '  ']","['726', '  ']","['37', '  ']","['5.1', '  ']"
12317,r044,All industries -> Manufacturing industries -> Miscellaneous -> Medical equipment and supplies,All industries,Manufacturing industries,Miscellaneous,Medical equipment and supplies,,4,3391,"['1,173', '  ']","['102', '  ']","['8.7', '  ']","['573', '  ']","['69', '  ']","['12.1', '  ']","['600', '  ']","['33', '  ']","['5.5', '  ']"
12317,r045,All industries -> Manufacturing industries -> Miscellaneous -> Other miscellaneous manufacturing,All industries,Manufacturing industries,Miscellaneous,Other miscellaneous manufacturing,,4,3399,"['363', '  ']","['19', '  ']","['5.4', '  ']","['238', '  ']","['16', '  ']","['6.6', '  ']","['126', '  ']","['4', '  ']","['3.0', '  ']"
12317,r046,All industries -> Nonmanufacturing industries,All industries,Nonmanufacturing industries,,,,2,"21–23, 42–81","['17,991', '  ']","['1,660', '  ']","['9.2', '  ']","['13,840', '  ']","['1,102', '  ']","['8.0', '  ']","['4,150', '  ']","['558', '  ']","['13.4', '  ']"
12317,r047,"All industries -> Nonmanufacturing industries -> Mining, quarrying, oil and gas extraction, and support activities",All industries,Nonmanufacturing industries,"Mining, quarrying, oil and gas extraction, and support activities",,,3,21,"['242', 'i ']","['10', 'i ']","['4.1', '  ']","['187', 'i ']","['9', 'i ']","['4.9', '  ']","['55', '  ']","['1', '  ']","['1.2', '  ']"
12317,r048,All industries -> Nonmanufacturing industries -> Utilities,All industries,Nonmanufacturing industries,Utilities,,,3,22,"['344', '  ']","['5', '  ']","['1.6', '  ']","['335', '  ']","['5', '  ']","['1.6', '  ']","['9', '  ']","['*', '  ']","['2.1', '  ']"
12317,r049,All industries -> Nonmanufacturing industries -> Wholesale trade,All industries,Nonmanufacturing industries,Wholesale trade,,,3,42,"['641', 'i ']","['22', 'i ']","['3.4', '  ']","['524', 'i ']","['21', 'i ']","['4.0', '  ']","['117', 'i ']","['1', '  ']","['0.7', '  ']"
12317,r050,All industries -> Nonmanufacturing industries -> Electronic shopping and electronic auctions,All industries,Nonmanufacturing industries,Electronic shopping and electronic auctions,,,3,454111–12,"['D', '  ']","['D', '&nbsp;']","['D', '  ']","['D', '  ']","['77', 'i ']","['D', '  ']","['D', '  ']","['D', '&nbsp;']","['D', '  ']"
12317,r051,All industries -> Nonmanufacturing industries -> Transportation and warehousing,All industries,Nonmanufacturing industries,Transportation and warehousing,,,3,48–49,"['1,462', '  ']","['19', 'i ']","['1.3', '  ']","['1,183', '  ']","['18', 'i ']","['1.5', '  ']","['279', '  ']","['1', '  ']","['0.3', '  ']"
12317,r052,All industries -> Nonmanufacturing industries -> Information,All industries,Nonmanufacturing industries,Information,,,3,51,"['3,531', '  ']","['781', '  ']","['22.1', '  ']","['2,394', '  ']","['489', '  ']","['20.4', '  ']","['1,138', '  ']","['292', '  ']","['25.6', '  ']"
12317,r053,All industries -> Nonmanufacturing industries -> Information -> Publishing,All industries,Nonmanufacturing industries,Information,Publishing,,4,511,"['826', '  ']","['258', '  ']","['31.3', '  ']","['480', '  ']","['145', '  ']","['30.2', '  ']","['346', '  ']","['114', '  ']","['32.8', '  ']"
12317,r054,"All industries -> Nonmanufacturing industries -> Information -> Publishing -> Newspaper, periodical, book, and directory publishers",All industries,Nonmanufacturing industries,Information,Publishing,"Newspaper, periodical, book, and directory publishers",5,5111,"['5', '  ']","['1', '  ']","['12.0', '  ']","['5', '  ']","['1', '  ']","['12.6', '  ']","['*', '  ']","['0', '  ']","['0.0', '  ']"
12317,r055,All industries -> Nonmanufacturing industries -> Information -> Publishing -> Software publishers,All industries,Nonmanufacturing industries,Information,Publishing,Software publishers,5,5112,"['821', '  ']","['258', '  ']","['31.4', '  ']","['475', '  ']","['144', '  ']","['30.3', '  ']","['346', '  ']","['114', '  ']","['32.9', '  ']"
12317,r056,All industries -> Nonmanufacturing industries -> Information -> Telecommunications,All industries,Nonmanufacturing industries,Information,Telecommunications,,4,517,"['573', '  ']","['13', '  ']","['2.2', '  ']","['518', '  ']","['11', '  ']","['2.0', '  ']","['55', '  ']","['2', '  ']","['3.5', '  ']"
12317,r057,"All industries -> Nonmanufacturing industries -> Information -> Data processing, hosting, and related services",All industries,Nonmanufacturing industries,Information,"Data processing, hosting, and related services",,4,518,"['1,460', '  ']","['302', '  ']","['20.7', '  ']","['925', '  ']","['177', '  ']","['19.2', '  ']","['535', '  ']","['125', '  ']","['23.4', '  ']"
12317,r058,All industries -> Nonmanufacturing industries -> Information -> Other information,All industries,Nonmanufacturing industries,Information,Other information,,4,other 51,"['673', '  ']","['208', '  ']","['30.9', '  ']","['471', '  ']","['157', '  ']","['33.3', '  ']","['202', '  ']","['51', '  ']","['25.3', '  ']"
12317,r059,All industries -> Nonmanufacturing industries -> Finance and insurance,All industries,Nonmanufacturing industries,Finance and insurance,,,3,52,"['1,792', '  ']","['88', 'i ']","['4.9', '  ']","['1,310', '  ']","['52', '  ']","['4.0', '  ']","['483', '  ']","['35', '  ']","['7.3', '  ']"
12317,r060,All industries -> Nonmanufacturing industries -> Real estate and rental and leasing,All industries,Nonmanufacturing industries,Real estate and rental and leasing,,,3,53,"['213', '  ']","['6', '  ']","['3.0', '  ']","['189', '  ']","['6', '  ']","['3.1', '  ']","['24', '  ']","['*', '  ']","['2.0', '  ']"
12317,r061,All industries -> Nonmanufacturing industries -> Real estate and rental and leasing -> Lessors of nonfinancial intangible assets (except copyrighted works),All industries,Nonmanufacturing industries,Real estate and rental and leasing,Lessors of nonfinancial intangible assets (except copyrighted works),,4,533,"['1', 'i ']","['*', 'i ']","['5.9', '  ']","['1', 'i ']","['*', 'i ']","['4.0', '  ']","['*', 'i ']","['*', 'i ']","['19.9', '  ']"
12317,r062,All industries -> Nonmanufacturing industries -> Real estate and rental and leasing -> Other real estate and rental and leasing,All industries,Nonmanufacturing industries,Real estate and rental and leasing,Other real estate and rental and leasing,,4,other 53,"['212', '  ']","['6', '  ']","['3.0', '  ']","['188', '  ']","['6', '  ']","['3.1', '  ']","['24', '  ']","['*', '  ']","['1.9', '  ']"
12317,r063,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",,,3,54,"['2,696', '  ']","['549', '  ']","['20.4', '  ']","['1,646', '  ']","['376', '  ']","['22.9', '  ']","['1,049', '  ']","['173', '  ']","['16.5', '  ']"
12317,r064,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Architectural, engineering, and related services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services","Architectural, engineering, and related services",,4,5413,"['418', '  ']","['70', '  ']","['16.7', '  ']","['328', '  ']","['69', '  ']","['21.0', '  ']","['90', '  ']","['1', '  ']","['0.9', '  ']"
