table_id,row_id,_b_state_institutional_control_and_institution_b_full_path,_b_state_institutional_control_and_institution_b_level_1,_b_state_institutional_control_and_institution_b_level_2,_b_state_institutional_control_and_institution_b_level_3,_b_state_institutional_control_and_institution_b_level_4,_b_state_institutional_control_and_institution_b_hierarchy_depth,field_total_all_r_d_expenditures_received,field_total_from_higher_education_pass_through_entities,field_total_from_businesses,field_total_from_nonprofit_organizations,field_total_from_other_pass_through_entities,field_federally_financed_all_r_d_expenditures_received,field_federally_financed_from_higher_education_pass_through_entities,field_federally_financed_from_businesses,field_federally_financed_from_nonprofit_organizations,field_federally_financed_from_other_pass_through_entities
8020,r001,United States,United States,,,,1,"['8,751,401', '']","['4,157,506', '']","['1,430,740', '']","['1,689,859', '']","['1,473,296', '']","['7,528,216', '']","['3,760,454', '']","['1,167,340', '']","['1,352,685', '']","['1,247,737', '']"
8020,r002,United States -> Alabama,United States,Alabama,,,2,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
8020,r003,United States -> Alabama -> Public,United States,Alabama,Public,,3,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
8020,r004,United States -> Alabama -> Public -> Alabama A&M U.,United States,Alabama,Public,Alabama A&M U.,4,"['813', 'i']","['813', 'i']","['0', 'i']","['0', 'i']","['0', 'i']","['813', 'i']","['813', 'i']","['0', 'i']","['0', 'i']","['0', 'i']"
8020,r005,United States -> Alabama -> Public -> Alabama State U.,United States,Alabama,Public,Alabama State U.,4,"['414', '']","['414', '']","['0', '']","['0', '']","['0', '']","['414', '']","['414', '']","['0', '']","['0', '']","['0', '']"
8020,r006,"United States -> Alabama -> Public -> Auburn U., Auburn",United States,Alabama,Public,"Auburn U., Auburn",4,"['41,233', 'i']","['8,905', 'i']","['11,238', 'i']","['604', 'i']","['20,486', 'i']","['38,814', '']","['8,016', '']","['10,855', '']","['209', '']","['19,734', '']"
8020,r007,United States -> Alabama -> Public -> Jacksonville State U.,United States,Alabama,Public,Jacksonville State U.,4,"['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
8020,r008,United States -> Alabama -> Public -> Troy U.,United States,Alabama,Public,Troy U.,4,"['289', '']","['110', '']","['0', '']","['0', '']","['179', '']","['289', '']","['110', '']","['0', '']","['0', '']","['179', '']"
8020,r009,"United States -> Alabama -> Public -> U. Alabama, Birmingham",United States,Alabama,Public,"U. Alabama, Birmingham",4,"['82,435', '']","['37,840', '']","['37,014', '']","['5,581', '']","['2,000', '']","['82,435', '']","['37,840', '']","['37,014', '']","['5,581', '']","['2,000', '']"
8020,r010,"United States -> Alabama -> Public -> U. Alabama, Huntsville",United States,Alabama,Public,"U. Alabama, Huntsville",4,"['49,738', '']","['4,877', '']","['39,765', '']","['1,382', '']","['3,714', '']","['47,594', '']","['4,727', '']","['39,077', '']","['767', '']","['3,023', '']"
8020,r011,"United States -> Alabama -> Public -> U. Alabama, Tuscaloosa",United States,Alabama,Public,"U. Alabama, Tuscaloosa",4,"['24,356', '']","['10,178', '']","['4,453', '']","['2,352', '']","['7,373', '']","['24,356', '']","['10,178', '']","['4,453', '']","['2,352', '']","['7,373', '']"
8020,r012,United States -> Alabama -> Public -> U. South Alabama,United States,Alabama,Public,U. South Alabama,4,"['6,235', '']","['3,379', '']","['1,958', '']","['328', '']","['570', '']","['4,486', '']","['3,379', '']","['493', '']","['116', '']","['498', '']"
8020,r013,United States -> Alabama -> Private,United States,Alabama,Private,,3,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
8020,r014,United States -> Alabama -> Private -> Tuskegee U.,United States,Alabama,Private,Tuskegee U.,4,"['1,294', '']","['1,009', '']","['88', '']","['197', '']","['0', '']","['1,294', '']","['1,009', '']","['88', '']","['197', '']","['0', '']"
8020,r015,United States -> Alaska,United States,Alaska,,,2,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
8020,r016,United States -> Alaska -> Public,United States,Alaska,Public,,3,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
8020,r017,"United States -> Alaska -> Public -> U. Alaska, Anchorage",United States,Alaska,Public,"U. Alaska, Anchorage",4,"['2,004', '']","['579', '']","['101', '']","['130', '']","['1,194', '']","['1,862', '']","['476', '']","['101', '']","['130', '']","['1,155', '']"
8020,r018,"United States -> Alaska -> Public -> U. Alaska, Fairbanks",United States,Alaska,Public,"U. Alaska, Fairbanks",4,"['11,119', '']","['3,312', '']","['1,326', '']","['4,897', '']","['1,584', '']","['10,376', '']","['3,108', '']","['1,277', '']","['4,410', '']","['1,581', '']"
8020,r019,"United States -> Alaska -> Public -> U. Alaska, Southeast",United States,Alaska,Public,"U. Alaska, Southeast",4,"['93', '']","['0', '']","['0', '']","['93', '']","['0', '']","['48', '']","['0', '']","['0', '']","['48', '']","['0', '']"
8020,r020,United States -> Alaska -> Private,United States,Alaska,Private,,3,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
8020,r021,United States -> Alaska -> Private -> Alaska Pacific U.,United States,Alaska,Private,Alaska Pacific U.,4,"['77', '']","['77', '']","['0', '']","['0', '']","['0', '']","['64', '']","['64', '']","['0', '']","['0', '']","['0', '']"
8020,r022,United States -> Arizona,United States,Arizona,,,2,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
8020,r023,United States -> Arizona -> Public,United States,Arizona,Public,,3,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
8020,r024,United States -> Arizona -> Public -> Arizona State U.,United States,Arizona,Public,Arizona State U.,4,"['85,847', '']","['25,626', '']","['15,080', '']","['41,645', '']","['3,496', '']","['50,276', '']","['23,913', '']","['11,634', '']","['11,645', '']","['3,084', '']"
8020,r025,United States -> Arizona -> Public -> Northern Arizona U.,United States,Arizona,Public,Northern Arizona U.,4,"['6,877', 'i']","['3,906', 'i']","['905', 'i']","['1,354', 'i']","['712', 'i']","['6,199', '']","['3,667', '']","['882', '']","['1,280', '']","['370', '']"
8020,r026,United States -> Arizona -> Public -> U. Arizona,United States,Arizona,Public,U. Arizona,4,"['65,879', 'i']","['26,658', 'i']","['10,470', 'i']","['22,780', 'i']","['5,971', 'i']","['60,121', '']","['24,548', '']","['9,552', '']","['21,834', '']","['4,187', '']"
8020,r027,United States -> Arkansas,United States,Arkansas,,,2,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
8020,r028,United States -> Arkansas -> Public,United States,Arkansas,Public,,3,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
8020,r029,"United States -> Arkansas -> Public -> Arkansas State U., Jonesboro",United States,Arkansas,Public,"Arkansas State U., Jonesboro",4,"['2,062', '']","['1,019', '']","['0', '']","['0', '']","['1,043', '']","['2,050', '']","['1,007', '']","['0', '']","['0', '']","['1,043', '']"
8020,r030,United States -> Arkansas -> Public -> U. Arkansas for Medical Sciences,United States,Arkansas,Public,U. Arkansas for Medical Sciences,4,"['13,519', '']","['4,243', '']","['3,096', '']","['1,803', '']","['4,377', '']","['13,170', '']","['3,894', '']","['3,096', '']","['1,803', '']","['4,377', '']"
8020,r031,"United States -> Arkansas -> Public -> U. Arkansas, Fayetteville",United States,Arkansas,Public,"U. Arkansas, Fayetteville",4,"['11,965', '']","['5,140', '']","['1,720', '']","['611', '']","['4,494', '']","['11,149', '']","['4,433', '']","['1,684', '']","['538', '']","['4,494', '']"
8020,r032,"United States -> Arkansas -> Public -> U. Arkansas, Little Rock",United States,Arkansas,Public,"U. Arkansas, Little Rock",4,"['2,667', '']","['1,431', '']","['164', '']","['0', '']","['1,072', '']","['2,667', '']","['1,431', '']","['164', '']","['0', '']","['1,072', '']"
8020,r033,"United States -> Arkansas -> Public -> U. Arkansas, Pine Bluff",United States,Arkansas,Public,"U. Arkansas, Pine Bluff",4,"['172', '']","['172', '']","['0', '']","['0', '']","['0', '']","['116', '']","['116', '']","['0', '']","['0', '']","['0', '']"
8020,r034,United States -> Arkansas -> Public -> U. Central Arkansas,United States,Arkansas,Public,U. Central Arkansas,4,"['1,166', '']","['596', '']","['210', '']","['0', '']","['360', '']","['784', '']","['527', '']","['210', '']","['0', '']","['47', '']"
