table_id,row_id,_b_institution_b_full_path,_b_institution_b_level_1,_b_institution_b_level_2,_b_institution_b_hierarchy_depth,field_rank,field_all_r_d_expenditures,field_source_of_funds_federal_government,field_source_of_funds_state_and_local_government,field_source_of_funds_institution_funds,field_source_of_funds_business,field_source_of_funds_nonprofit_organizations,field_source_of_funds_all_other_sources
10130,r001,All institutions,All institutions,,1,-,"['33,967,583', '']","['20,637,522', '']","['404,187', '']","['7,123,717', '']","['2,282,215', '']","['2,642,649', '']","['877,293', '']"
10130,r002,All institutions -> Johns Hopkins U.<sup>a</sup>,All institutions,Johns Hopkins U.<sup>a</sup>,2,1,"['3,420,312', '']","['2,971,816', '']","['7,785', '']","['158,738', '']","['120,023', '']","['153,334', '']","['8,616', '']"
10130,r003,All institutions -> U. Pennsylvania,All institutions,U. Pennsylvania,2,2,"['1,791,311', '']","['873,318', '']","['23,189', '']","['562,094', '']","['204,216', '']","['120,832', '']","['7,662', '']"
10130,r004,All institutions -> Duke U.,All institutions,Duke U.,2,3,"['1,390,538', '']","['901,807', '']","['802', '']","['167,200', '']","['208,132', '']","['92,526', '']","['20,071', '']"
10130,r005,All institutions -> Stanford U.,All institutions,Stanford U.,2,4,"['1,384,555', '']","['860,125', '']","['20,064', '']","['169,346', '']","['138,118', '']","['189,536', '']","['7,366', '']"
10130,r006,All institutions -> Harvard U.,All institutions,Harvard U.,2,5,"['1,308,458', '']","['628,683', '']","['5,379', '']","['415,763', '']","['62,034', '']","['179,073', '']","['17,526', '']"
10130,r007,All institutions -> Cornell U.,All institutions,Cornell U.,2,6,"['1,300,357', '']","['636,481', '']","['88,200', '']","['250,308', '']","['55,328', '']","['115,788', '']","['154,252', '']"
10130,r008,All institutions -> New York U.,All institutions,New York U.,2,7,"['1,276,038', '']","['668,381', '']","['17,982', '']","['296,131', '']","['58,776', '']","['101,175', '']","['133,593', '']"
10130,r009,All institutions -> Columbia U. in the City of New York,All institutions,Columbia U. in the City of New York,2,8,"['1,230,924', '']","['904,346', '']","['6,391', '']","['113,189', '']","['83,684', '']","['121,435', '']","['1,879', '']"
10130,r010,All institutions -> Yale U.,All institutions,Yale U.,2,9,"['1,191,201', '']","['689,270', '']","['2,364', '']","['343,754', '']","['76,240', '']","['75,151', '']","['4,422', '']"
10130,r011,All institutions -> Vanderbilt U. and Vanderbilt U. Medical Center,All institutions,Vanderbilt U. and Vanderbilt U. Medical Center,2,10,"['1,086,223', '']","['666,282', '']","['2,954', '']","['301,424', '']","['83,213', '']","['29,292', '']","['3,058', '']"
10130,r012,"All institutions -> Washington U., Saint Louis",All institutions,"Washington U., Saint Louis",2,11,"['1,047,098', '']","['681,353', '']","['638', '']","['154,896', '']","['121,140', '']","['86,700', '']","['2,371', '']"
10130,r013,All institutions -> U. Southern California,All institutions,U. Southern California,2,12,"['1,039,905', '']","['601,747', '']","['11,421', '']","['201,486', '']","['91,844', '']","['58,895', '']","['74,512', '']"
10130,r014,All institutions -> Northwestern U.,All institutions,Northwestern U.,2,13,"['1,000,695', '']","['618,771', '']","['783', '']","['262,434', '']","['59,850', '']","['51,091', '']","['7,766', '']"
10130,r015,All institutions -> Massachusetts Institute of Technology,All institutions,Massachusetts Institute of Technology,2,14,"['989,166', '']","['531,056', '']","['2,523', '']","['117,128', '']","['165,200', '']","['100,640', '']","['72,619', '']"
10130,r016,All institutions -> Emory U.,All institutions,Emory U.,2,15,"['958,281', '']","['568,149', '']","['522', '']","['252,545', '']","['64,536', '']","['70,269', '']","['2,260', '']"
10130,r017,All institutions -> Icahn School of Medicine at Mount Sinai,All institutions,Icahn School of Medicine at Mount Sinai,2,16,"['893,968', '']","['610,646', '']","['3,652', '']","['132,627', '']","['81,384', '']","['50,251', '']","['15,408', '']"
10130,r018,All institutions -> Baylor C. of Medicine,All institutions,Baylor C. of Medicine,2,17,"['827,005', '']","['420,054', '']","['35,155', '']","['292,730', '']","['28,251', '']","['50,815', '']","['0', '']"
10130,r019,All institutions -> Boston U.,All institutions,Boston U.,2,18,"['725,402', '']","['413,102', '']","['752', '']","['187,662', '']","['22,525', '']","['84,116', '']","['17,245', '']"
10130,r020,All institutions -> U. Chicago,All institutions,U. Chicago,2,19,"['591,805', '']","['456,806', '']","['322', '']","['40,734', '']","['46,694', '']","['45,554', '']","['1,695', '']"
10130,r021,All institutions -> Scripps Research Institute,All institutions,Scripps Research Institute,2,20,"['492,639', '']","['242,135', '']","['1,424', '']","['164,488', '']","['35,318', '']","['49,274', '']","['0', '']"
10130,r022,All institutions -> California Institute of Technology,All institutions,California Institute of Technology,2,21,"['478,142', '']","['326,401', '']","['5,009', '']","['54,587', '']","['17,200', '']","['52,970', '']","['21,975', '']"
10130,r023,All institutions -> Case Western Reserve U.,All institutions,Case Western Reserve U.,2,22,"['467,389', '']","['380,423', '']","['6,503', '']","['53,133', '']","['4,856', '']","['20,142', '']","['2,332', '']"
10130,r024,All institutions -> Princeton U.,All institutions,Princeton U.,2,23,"['461,185', '']","['218,390', '']","['255', '']","['102,851', '']","['17,455', '']","['73,840', '']","['48,394', '']"
10130,r025,All institutions -> U. Rochester,All institutions,U. Rochester,2,24,"['450,805', '']","['334,503', '']","['2,037', '']","['53,315', '']","['36,329', '']","['18,783', '']","['5,838', '']"
10130,r026,All institutions -> Carnegie Mellon U.,All institutions,Carnegie Mellon U.,2,25,"['449,707', '']","['259,160', '']","['4,379', '']","['123,903', '']","['42,115', '']","['13,772', '']","['6,378', '']"
10130,r027,All institutions -> U. Miami,All institutions,U. Miami,2,26,"['439,300', '']","['265,212', '']","['18,607', '']","['97,990', '']","['35,378', '']","['21,416', '']","['697', '']"
10130,r028,All institutions -> Rockefeller U.,All institutions,Rockefeller U.,2,27,"['360,877', '']","['94,693', '']","['102', '']","['225,209', '']","['2,292', '']","['37,218', '']","['1,363', '']"
10130,r029,All institutions -> Dartmouth C. and Dartmouth Hitchcock Medical Center,All institutions,Dartmouth C. and Dartmouth Hitchcock Medical Center,2,28,"['344,126', '']","['155,445', '']","['1,344', '']","['156,384', '']","['2,383', '']","['19,943', '']","['8,627', '']"
10130,r030,All institutions -> Thomas Jefferson U.,All institutions,Thomas Jefferson U.,2,29,"['321,644', '']","['173,861', '']","['14,252', '']","['63,739', '']","['26,469', '']","['24,927', '']","['18,396', '']"
10130,r031,All institutions -> Medical C. Wisconsin,All institutions,Medical C. Wisconsin,2,30,"['321,506', '']","['152,301', '']","['586', '']","['102,906', '']","['35,121', '']","['27,050', '']","['3,542', '']"
10130,r032,All institutions -> Albert Einstein C. of Medicine,All institutions,Albert Einstein C. of Medicine,2,31,"['318,314', '']","['220,780', '']","['719', '']","['73,665', '']","['3,820', '']","['19,330', '']","['0', '']"
10130,r033,All institutions -> Georgetown U.,All institutions,Georgetown U.,2,32,"['313,220', '']","['127,213', '']","['1,144', '']","['81,692', '']","['16,111', '']","['61,547', '']","['25,513', '']"
10130,r034,All institutions -> Brown U.,All institutions,Brown U.,2,33,"['310,780', '']","['215,067', '']","['9', '']","['56,819', '']","['4,247', '']","['28,539', '']","['6,099', '']"
