table_id,row_id,characteristic_full_path,characteristic_level_1,characteristic_level_2,characteristic_level_3,characteristic_level_4,characteristic_hierarchy_depth,field_all_employed_number,field_all_employed_se,field_research_and_development_any_r_d_number,field_research_and_development_any_r_d_se,field_research_and_development_applied_research_number,field_research_and_development_applied_research_se,field_research_and_development_basic_research_number,field_research_and_development_basic_research_se,field_research_and_development_design_number,field_research_and_development_design_se,field_research_and_development_development_number,field_research_and_development_development_se,field_computer_applications_number,field_computer_applications_se,field_management_sales_or_administrationa_number,field_management_sales_or_administrationa_se,field_professional_services_number,field_professional_services_se,field_teaching_number,field_teaching_se,field_otherb_number,field_otherb_se
3695,r001,Doctorate recipient,Doctorate recipient,,,,1,857200,1975,540350,2375,300950,2225,180500,2150,64450,1275,133400,1625,86100,1425,351450,2375,121550,1600,245900,2050,81800,1475
3695,r002,Doctorate recipient -> Sex,Doctorate recipient,Sex,,,2,,,,,,,,,,,,,,,,,,,,,,
3695,r003,Doctorate recipient -> Sex -> Male,Doctorate recipient,Sex,Male,,3,546050,1750,366550,1925,198500,1700,121950,1675,50250,1075,97600,1425,70400,1275,213100,1975,60100,1325,146800,1925,44500,1150
3695,r004,Doctorate recipient -> Sex -> Female,Doctorate recipient,Sex,Female,,3,311200,1200,173750,1350,102500,1250,58500,1000,14200,575,35750,900,15700,575,138350,1275,61450,1000,99100,1175,37350,825
3695,r005,Doctorate recipient -> Ethnicity,Doctorate recipient,Ethnicity,,,2,,,,,,,,,,,,,,,,,,,,,,
3695,r006,Doctorate recipient -> Ethnicity -> Hispanic or Latino<sup>c</sup>,Doctorate recipient,Ethnicity,Hispanic or Latino<sup>c</sup>,,3,37250,550,22950,525,13350,400,8200,325,2400,200,4550,250,2700,200,14450,425,6000,250,12250,400,3900,200
3695,r007,Doctorate recipient -> Ethnicity -> Not Hispanic or Latino<sup>d</sup>,Doctorate recipient,Ethnicity,Not Hispanic or Latino<sup>d</sup>,,3,,,,,,,,,,,,,,,,,,,,,,
3695,r008,Doctorate recipient -> Ethnicity -> Not Hispanic or Latino<sup>d</sup> -> American Indian or Alaska Native,Doctorate recipient,Ethnicity,Not Hispanic or Latino<sup>d</sup>,American Indian or Alaska Native,4,1300,125,700,100,300,50,300,75,100,50,100,25,50,25,600,100,300,75,550,100,150,50
3695,r009,Doctorate recipient -> Ethnicity -> Not Hispanic or Latino<sup>d</sup> -> Asian,Doctorate recipient,Ethnicity,Not Hispanic or Latino<sup>d</sup>,Asian,4,213350,1325,156850,1350,84400,1225,47100,1150,24200,825,52750,1150,37700,1000,69500,1225,19150,800,40200,1000,17050,750
3695,r010,Doctorate recipient -> Ethnicity -> Not Hispanic or Latino<sup>d</sup> -> Black or African American,Doctorate recipient,Ethnicity,Not Hispanic or Latino<sup>d</sup>,Black or African American,4,31100,400,16300,400,9650,325,5450,300,1200,125,3500,225,1350,150,13600,425,5150,300,11850,400,3650,225
3695,r011,Doctorate recipient -> Ethnicity -> Not Hispanic or Latino<sup>d</sup> -> White,Doctorate recipient,Ethnicity,Not Hispanic or Latino<sup>d</sup>,White,4,562350,1750,336550,2000,189350,1700,117000,1625,35850,925,70850,1225,43400,950,247750,2050,89100,1300,177650,1650,55600,1150
3695,r012,Doctorate recipient -> Ethnicity -> Not Hispanic or Latino<sup>d</sup> -> Other race<sup>e</sup>,Doctorate recipient,Ethnicity,Not Hispanic or Latino<sup>d</sup>,Other race<sup>e</sup>,4,11950,400,7050,325,3950,225,2450,175,750,100,1650,200,850,125,5600,275,1800,200,3400,225,1500,175
3695,r013,Doctorate recipient -> Age,Doctorate recipient,Age,,,2,,,,,,,,,,,,,,,,,,,,,,
3695,r014,Doctorate recipient -> Age -> Under 35,Doctorate recipient,Age,Under 35,,3,99050,1050,75950,975,45150,900,26000,750,10450,400,21300,725,16150,575,31000,725,9350,450,18500,625,8550,375
3695,r015,Doctorate recipient -> Age -> 35&#8211;39,Doctorate recipient,Age,35&#8211;39,,3,128800,1375,92350,1300,52700,975,30700,800,11300,625,23950,800,17600,625,48100,900,14050,625,32400,825,11100,525
3695,r016,Doctorate recipient -> Age -> 40&#8211;44,Doctorate recipient,Age,40&#8211;44,,3,117500,1325,78950,1350,45300,1100,26200,775,8550,425,18950,750,13100,650,47600,900,13800,525,32300,800,10750,500
3695,r017,Doctorate recipient -> Age -> 45&#8211;49,Doctorate recipient,Age,45&#8211;49,,3,108400,1450,66700,1175,34800,875,23250,775,7550,450,15200,625,9400,525,49200,1050,14500,725,34000,1025,10450,500
3695,r018,Doctorate recipient -> Age -> 50&#8211;54,Doctorate recipient,Age,50&#8211;54,,3,100900,1375,58850,1200,30800,900,18200,675,7200,475,15500,675,9300,575,47400,1050,14650,650,30350,900,9500,450
3695,r019,Doctorate recipient -> Age -> 55&#8211;59,Doctorate recipient,Age,55&#8211;59,,3,101950,1400,59200,1075,32650,975,18500,775,7550,475,14350,525,8900,550,47400,1075,13450,650,30300,875,10700,525
3695,r020,Doctorate recipient -> Age -> 60&#8211;64,Doctorate recipient,Age,60&#8211;64,,3,88300,1400,51600,1150,28100,775,16850,700,5950,400,12400,575,6100,425,37000,950,14100,600,30200,875,9350,550
3695,r021,Doctorate recipient -> Age -> 65&#8211;75,Doctorate recipient,Age,65&#8211;75,,3,112350,1625,56750,1250,31450,825,20700,800,5950,400,11750,550,5600,325,43750,1075,27550,950,37850,1025,11450,600
