table_id,row_id,_b_institution_b_full_path,_b_institution_b_level_1,_b_institution_b_level_2,_b_institution_b_hierarchy_depth,field_rank,field_2018,field_2019,field_2020,field_2021_all_life_sciences,field_2021_agricultural_sciences,field_2021_biological_and_biomedical_sciences,field_2021_health_sciences,field_2021_natural_resources_and_conservation,field_2021_life_sciences_nec
7984,r001,All institutions,All institutions,,1,-,"['23,864,977', '']","['25,436,404', '']","['26,232,263', '']","['28,452,956', '']","['1,099,585', '']","['10,001,728', '']","['16,138,445', '']","['429,905', '']","['783,293', '']"
7984,r002,All institutions -> Johns Hopkins U.<sup>a</sup>,All institutions,Johns Hopkins U.<sup>a</sup>,2,1,"['667,885', '']","['706,853', '']","['714,341', '']","['765,565', '']","['0', '']","['269,831', '']","['495,734', '']","['0', '']","['0', '']"
7984,r003,"All institutions -> U. Washington, Seattle",All institutions,"U. Washington, Seattle",2,2,"['672,737', '']","['664,192', '']","['667,996', '']","['683,132', '']","['0', '']","['168,960', '']","['488,597', '']","['14,570', '']","['11,005', '']"
7984,r004,"All institutions -> U. California, San Francisco",All institutions,"U. California, San Francisco",2,3,"['634,003', '']","['632,556', '']","['634,918', '']","['645,510', '']","['0', '']","['433', '']","['645,077', '']","['0', '']","['0', '']"
7984,r005,All institutions -> U. Pennsylvania,All institutions,U. Pennsylvania,2,4,"['555,651', '']","['582,252', '']","['577,785', '']","['644,430', '']","['6', '']","['434,661', '']","['171,402', '']","['0', '']","['38,361', '']"
7984,r006,All institutions -> Duke U.,All institutions,Duke U.,2,5,"['515,536', '']","['568,773', '']","['568,232', '']","['638,716', '']","['0', '']","['236,697', '']","['383,958', '']","['5,392', '']","['12,669', '']"
7984,r007,"All institutions -> U. Pittsburgh, Pittsburgh",All institutions,"U. Pittsburgh, Pittsburgh",2,6,"['558,941', '']","['585,348', '']","['590,430', '']","['628,092', '']","['377', '']","['206,387', '']","['421,306', '']","['0', '']","['22', '']"
7984,r008,All institutions -> Columbia U. in the City of New York,All institutions,Columbia U. in the City of New York,2,7,"['488,041', '']","['539,940', '']","['562,474', '']","['611,343', '']","['0', '']","['186,401', '']","['422,968', '']","['1,448', '']","['526', '']"
7984,r009,All institutions -> Stanford U.,All institutions,Stanford U.,2,8,"['488,675', '']","['519,870', '']","['529,667', '']","['578,172', '']","['0', '']","['185,954', '']","['359,980', '']","['861', '']","['31,377', '']"
7984,r010,All institutions -> Yale U.,All institutions,Yale U.,2,9,"['470,751', '']","['497,350', '']","['512,821', '']","['570,441', '']","['0', '']","['150,159', '']","['415,334', '']","['4,948', '']","['0', '']"
