table_id,row_id,_b_institution_b_full_path,_b_institution_b_level_1,_b_institution_b_level_2,_b_institution_b_hierarchy_depth,field_rank,field_2018,field_2019,field_2020_all_engineering,field_2020_aerospace_aeronautical_and_astronautical_engineering,field_2020_bioengineering_and_biomedical_engineering,field_2020_chemical_engineering,field_2020_civil_engineering,field_2020_electrical_electronic_and_communications_engineering,field_2020_industrial_and_manufacturing_engineering,field_2020_mechanical_engineering,field_2020_metallurgical_and_materials_engineering,field_2020_engineering_nec_
5437,r001,All institutions,All institutions,,1,-,"['12,363,782', '']","['13,216,209', '']","['13,692,756', '']","['1,295,759', '']","['1,468,229', '']","['999,312', '']","['1,422,418', '']","['3,048,420', '']","['588,127', '']","['1,812,916', '']","['816,610', '']","['2,240,965', '']"
5437,r002,All institutions -> Johns Hopkins U.<sup>a</sup>,All institutions,Johns Hopkins U.<sup>a</sup>,2,1,"['1,087,478', 'i']","['1,147,335', 'i']","['1,205,632', 'i']","['132,651', 'i']","['59,419', 'i']","['22,153', 'i']","['16,831', 'i']","['547,044', 'i']","['99,394', 'i']","['224,716', 'i']","['29,331', 'i']","['74,093', 'i']"
5437,r003,All institutions -> Georgia Institute of Technology,All institutions,Georgia Institute of Technology,2,2,"['613,650', '']","['664,695', '']","['695,176', '']","['180,295', '']","['18,681', '']","['20,486', '']","['38,363', '']","['259,745', '']","['99,952', '']","['49,705', '']","['14,517', '']","['13,432', '']"
5437,r004,All institutions -> Massachusetts Institute of Technology,All institutions,Massachusetts Institute of Technology,2,3,"['431,927', '']","['450,915', '']","['419,636', '']","['29,160', '']","['104,805', '']","['47,150', '']","['14,924', '']","['55,447', '']","['117', '']","['53,616', '']","['42,431', '']","['71,986', '']"
5437,r005,"All institutions -> Pennsylvania State U., University Park and Hershey Medical Center",All institutions,"Pennsylvania State U., University Park and Hershey Medical Center",2,4,"['325,002', '']","['350,391', '']","['367,730', '']","['32,250', '']","['19,563', '']","['18,370', '']","['12,155', '']","['101,850', '']","['23,296', '']","['109,852', '']","['50,394', '']","['0', '']"
5437,r006,"All institutions -> Texas A&M U., College Station and Health Science Center",All institutions,"Texas A&M U., College Station and Health Science Center",2,5,"['300,956', '']","['321,373', '']","['357,559', '']","['31,963', '']","['20,933', '']","['20,730', '']","['98,444', '']","['29,379', '']","['8,381', '']","['42,100', '']","['14,068', '']","['91,561', '']"
5437,r007,"All institutions -> SUNY, Polytechnic Institute",All institutions,"SUNY, Polytechnic Institute",2,6,"['255,033', '']","['350,793', '']","['353,542', '']","['0', '']","['0', '']","['0', '']","['48', '']","['5', '']","['0', '']","['33', '']","['0', '']","['353,456', '']"
5437,r008,"All institutions -> U. Michigan, Ann Arbor",All institutions,"U. Michigan, Ann Arbor",2,7,"['299,072', '']","['291,887', '']","['283,329', '']","['14,793', '']","['21,413', '']","['14,152', '']","['20,833', '']","['81,952', '']","['4,631', '']","['43,824', '']","['11,432', '']","['70,299', '']"
5437,r009,"All institutions -> Purdue U., West Lafayette",All institutions,"Purdue U., West Lafayette",2,8,"['229,967', '']","['270,525', '']","['280,592', '']","['24,463', '']","['20,748', '']","['19,587', '']","['28,429', '']","['50,109', '']","['15,847', '']","['49,198', '']","['19,668', '']","['52,543', '']"
5437,r010,All institutions -> Virginia Polytechnic Institute and State U.,All institutions,Virginia Polytechnic Institute and State U.,2,9,"['245,755', '']","['258,213', '']","['263,711', '']","['18,219', '']","['22,519', '']","['5,494', '']","['31,117', '']","['62,349', '']","['34,468', '']","['31,040', '']","['19,216', '']","['39,289', '']"
