table_id,row_id,_b_institution_b_full_path,_b_institution_b_level_1,_b_institution_b_level_2,_b_institution_b_hierarchy_depth,field_rank,field_2010,field_2011,field_2012,field_2013,field_2014,field_2015,field_2016,field_2017,field_2018,field_2019
3194,r001,All institutions,All institutions,,1,-,"['58,387,551', '']","['61,988,017', '']","['62,198,981', '']","['63,354,376', '']","['63,766,026', '']","['64,935,406', '']","['67,610,098', '']","['70,838,968', '']","['74,377,452', '']","['78,633,276', '']"
3194,r002,All institutions -> Johns Hopkins U.<sup>a</sup>,All institutions,Johns Hopkins U.<sup>a</sup>,2,1,"['1,997,252', '']","['2,135,547', '']","['2,092,999', 'i']","['2,149,770', 'i']","['2,227,536', 'i']","['2,299,057', 'i']","['2,425,199', 'i']","['2,556,641', 'i']","['2,656,152', 'i']","['2,913,280', 'i']"
3194,r003,"All institutions -> U. California, San Francisco",All institutions,"U. California, San Francisco",2,2,"['935,509', '']","['995,226', '']","['1,032,673', '']","['1,042,841', '']","['1,084,031', '']","['1,126,620', '']","['1,294,261', '']","['1,409,398', '']","['1,595,732', '']","['1,595,098', '']"
3194,r004,"All institutions -> U. Michigan, Ann Arbor",All institutions,"U. Michigan, Ann Arbor",2,3,"['1,128,686', '']","['1,212,990', '']","['1,247,680', '']","['1,304,074', '']","['1,279,603', '']","['1,300,340', '']","['1,357,228', '']","['1,434,535', '']","['1,493,353', '']","['1,571,320', '']"
3194,r005,All institutions -> U. Pennsylvania,All institutions,U. Pennsylvania,2,4,"['793,523', '']","['851,522', '']","['813,210', '']","['790,265', '']","['792,314', '']","['828,649', '']","['1,140,833', '']","['1,247,686', '']","['1,304,291', '']","['1,368,837', '']"
3194,r006,"All institutions -> U. Washington, Seattle",All institutions,"U. Washington, Seattle",2,5,"['995,036', '']","['1,112,526', '']","['1,065,414', '']","['1,111,508', '']","['1,091,135', '']","['1,101,078', '']","['1,197,773', '']","['1,270,642', '']","['1,342,509', '']","['1,347,667', '']"
3194,r007,"All institutions -> U. California, San Diego",All institutions,"U. California, San Diego",2,6,"['937,982', '']","['1,003,584', '']","['1,065,306', '']","['1,066,979', '']","['1,060,207', '']","['1,093,784', '']","['1,079,429', '']","['1,126,269', '']","['1,256,171', '']","['1,344,185', '']"
3194,r008,"All institutions -> U. California, Los Angeles",All institutions,"U. California, Los Angeles",2,7,"['899,677', '']","['942,450', '']","['969,682', '']","['934,135', '']","['920,183', '']","['992,009', '']","['1,002,013', '']","['1,037,780', '']","['1,242,619', '']","['1,249,535', '']"
3194,r009,All institutions -> Duke U.,All institutions,Duke U.,2,8,"['980,514', '']","['1,018,241', '']","['1,004,759', '']","['987,393', '']","['1,031,404', '']","['1,029,193', '']","['1,044,046', '']","['1,113,921', '']","['1,153,947', '']","['1,212,928', '']"
3194,r010,All institutions -> U. Wisconsin-Madison,All institutions,U. Wisconsin-Madison,2,9,"['940,286', '']","['1,022,723', '']","['1,030,605', '']","['997,523', '']","['984,830', '']","['938,366', '']","['1,051,311', '']","['1,105,261', '']","['1,113,968', '']","['1,209,224', '']"
