table_id,row_id,race_and_ethnicity_of_owners_full_path,race_and_ethnicity_of_owners_level_1,race_and_ethnicity_of_owners_level_2,race_and_ethnicity_of_owners_level_3,race_and_ethnicity_of_owners_hierarchy_depth,field_companies_number_,field_organizational_innovation_number_yes,field_organizational_innovation_number_no,field_organizational_innovation_percent_yes,field_organizational_innovation_percent_no
2597,r001,All companies,All companies,,,1,"['    4,603,606 ', '&nbsp;']","['    1,193,030 ', '&nbsp;']","['    3,410,577 ', '&nbsp;']","['    25.9 ', '&nbsp;']","['    74.1 ', '&nbsp;']"
2597,r002,All companies -> Race,All companies,Race,,2,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
2597,r003,All companies -> Race -> White,All companies,Race,White,3,"['    3,946,809 ', '&nbsp;']","['    1,019,008 ', '&nbsp;']","['    2,927,801 ', '&nbsp;']","['    25.8 ', '&nbsp;']","['    74.2 ', '&nbsp;']"
2597,r004,All companies -> Race -> Asian,All companies,Race,Asian,3,"['    460,617 ', '&nbsp;']","['    110,508 ', '&nbsp;']","['    350,109 ', '&nbsp;']","['    24.0 ', '&nbsp;']","['    76.0 ', '&nbsp;']"
2597,r005,All companies -> Race -> Black or African American,All companies,Race,Black or African American,3,"['    83,640 ', '&nbsp;']","['    27,464 ', '&nbsp;']","['    56,175 ', '&nbsp;']","['    32.8 ', '&nbsp;']","['    67.2 ', '&nbsp;']"
2597,r006,All companies -> Race -> American Indian or Alaska Native,All companies,Race,American Indian or Alaska Native,3,"['    19,983 ', '&nbsp;']","['    6,412 ', '&nbsp;']","['    13,571 ', '&nbsp;']","['    32.1 ', '&nbsp;']","['    67.9 ', '&nbsp;']"
2597,r007,All companies -> Race -> Native Hawaiian or Other Pacific Islander,All companies,Race,Native Hawaiian or Other Pacific Islander,3,"['    5,617 ', '&nbsp;']","['    1,878 ', '&nbsp;']","['    3,739 ', '&nbsp;']","['    33.4 ', '&nbsp;']","['    66.6 ', '&nbsp;']"
2597,r008,All companies -> Ethnicity,All companies,Ethnicity,,2,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
2597,r009,All companies -> Ethnicity -> Hispanic or Latino,All companies,Ethnicity,Hispanic or Latino,3,"['    242,652 ', '&nbsp;']","['    71,653 ', '&nbsp;']","['    170,998 ', '&nbsp;']","['    29.5 ', '&nbsp;']","['    70.5 ', '&nbsp;']"
2597,r010,All companies -> Ethnicity -> Equally Hispanic/ Not Hispanic or Latino,All companies,Ethnicity,Equally Hispanic/ Not Hispanic or Latino,3,"['    39,072 ', '&nbsp;']","['    11,878 ', '&nbsp;']","['    27,193 ', '&nbsp;']","['    30.4 ', '&nbsp;']","['    69.6 ', '&nbsp;']"
2597,r011,All companies -> Ethnicity -> Not Hispanic or Latino,All companies,Ethnicity,Not Hispanic or Latino,3,"['    4,229,882 ', '&nbsp;']","['    1,079,562 ', '&nbsp;']","['    3,150,320 ', '&nbsp;']","['    25.5 ', '&nbsp;']","['    74.5 ', '&nbsp;']"
2597,r012,All companies -> Minority status,All companies,Minority status,,2,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
2597,r013,All companies -> Minority status -> Minority,All companies,Minority status,Minority,3,"['    799,368 ', '&nbsp;']","['    213,551 ', '&nbsp;']","['    585,817 ', '&nbsp;']","['    26.7 ', '&nbsp;']","['    73.3 ', '&nbsp;']"
2597,r014,All companies -> Minority status -> Equally minority/ nonminority,All companies,Minority status,Equally minority/ nonminority,3,"['    68,687 ', '&nbsp;']","['    20,856 ', '&nbsp;']","['    47,831 ', '&nbsp;']","['    30.4 ', '&nbsp;']","['    69.6 ', '&nbsp;']"
2597,r015,All companies -> Minority status -> Nonminority,All companies,Minority status,Nonminority,3,"['    3,643,550 ', '&nbsp;']","['    928,687 ', '&nbsp;']","['    2,714,863 ', '&nbsp;']","['    25.5 ', '&nbsp;']","['    74.5 ', '&nbsp;']"
2597,r016,All companies -> Unclassifiable,All companies,Unclassifiable,,2,"['    92,001 ', 'i']","['    29,936 ', 'i']","['    62,065 ', 'i']","['    32.5 ', '&nbsp;']","['    67.5 ', '&nbsp;']"
