table_id,row_id,selected_characteristic_full_path,selected_characteristic_level_1,selected_characteristic_level_2,selected_characteristic_level_3,selected_characteristic_level_4,selected_characteristic_hierarchy_depth,field_increased_subject_matter_knowledge,field_conducted_own_independent_research,field_published_papers,field_presented_papers_at_a_professional_conference,field_taught_courses,field_provided_clinical_or_professional_services,field_supervised_others,field_wrote_grant_proposals,field_worked_in_interdisciplinary_research_environments,field_collaborated_or_networked_with_colleagues,field_developed_marketable_products
3835,r001,Number of early career doctorates for whom the item was applicable (denominator),Number of early career doctorates for whom the item was applicable (denominator),,,,1,184100,176500,176500,177700,170600,91100,164900,160900,168600,182700,96200
3835,r002,Number of early career doctorates for whom the item was applicable (denominator) -> Percentage of early career doctorates,Number of early career doctorates for whom the item was applicable (denominator),Percentage of early career doctorates,,,2,87.2,77.2,73.4,80.8,84.1,57.4,79.8,65.2,72.0,77.3,41.8
3835,r003,Number of early career doctorates for whom the item was applicable (denominator) -> Sex,Number of early career doctorates for whom the item was applicable (denominator),Sex,,,2,,,,,,,,,,,
3835,r004,Number of early career doctorates for whom the item was applicable (denominator) -> Sex -> Female,Number of early career doctorates for whom the item was applicable (denominator),Sex,Female,,3,86.4,73.8,69.9,80.0,86.9,61.0,80.4,63.8,67.8,74.9,37.6
3835,r005,Number of early career doctorates for whom the item was applicable (denominator) -> Sex -> Male,Number of early career doctorates for whom the item was applicable (denominator),Sex,Male,,3,88.0,80.2,76.5,81.6,81.4,53.8,79.3,66.4,75.8,79.4,45.0
3835,r006,Number of early career doctorates for whom the item was applicable (denominator) -> Citizenship and sex,Number of early career doctorates for whom the item was applicable (denominator),Citizenship and sex,,,2,,,,,,,,,,,
3835,r007,Number of early career doctorates for whom the item was applicable (denominator) -> Citizenship and sex -> U.S. citizen or permanent resident,Number of early career doctorates for whom the item was applicable (denominator),Citizenship and sex,U.S. citizen or permanent resident,,3,87.0,76.2,73.1,81.3,87.9,59.5,81.3,66.6,70.9,77.0,42.2
3835,r008,Number of early career doctorates for whom the item was applicable (denominator) -> Citizenship and sex -> U.S. citizen or permanent resident -> Female,Number of early career doctorates for whom the item was applicable (denominator),Citizenship and sex,U.S. citizen or permanent resident,Female,4,86.2,73.0,69.4,80.1,89.4,62.3,81.2,64.5,66.7,74.6,37.7
3835,r009,Number of early career doctorates for whom the item was applicable (denominator) -> Citizenship and sex -> U.S. citizen or permanent resident -> Male,Number of early career doctorates for whom the item was applicable (denominator),Citizenship and sex,U.S. citizen or permanent resident,Male,4,87.9,79.4,76.8,82.5,86.4,56.4,81.3,68.8,75.1,79.6,46.2
3835,r010,Number of early career doctorates for whom the item was applicable (denominator) -> Citizenship and sex -> Temporary visa holder,Number of early career doctorates for whom the item was applicable (denominator),Citizenship and sex,Temporary visa holder,,3,88.4,82.1,74.8,78.5,61.6,44.7,72.7,58.3,77.5,78.5,39.6
3835,r011,Number of early career doctorates for whom the item was applicable (denominator) -> Citizenship and sex -> Temporary visa holder -> Female,Number of early career doctorates for whom the item was applicable (denominator),Citizenship and sex,Temporary visa holder,Female,4,88.6,80.0,73.2,79.0,64.1,48.2,73.7,58.5,76.0,77.7,36.6
3835,r012,Number of early career doctorates for whom the item was applicable (denominator) -> Citizenship and sex -> Temporary visa holder -> Male,Number of early career doctorates for whom the item was applicable (denominator),Citizenship and sex,Temporary visa holder,Male,4,88.3,83.1,75.5,78.3,60.5,43.0,72.2,58.1,78.2,78.9,40.8
3835,r013,Number of early career doctorates for whom the item was applicable (denominator) -> Ethnicity and race,Number of early career doctorates for whom the item was applicable (denominator),Ethnicity and race,,,2,,,,,,,,,,,
3835,r014,Number of early career doctorates for whom the item was applicable (denominator) -> Ethnicity and race -> Hispanic or Latino,Number of early career doctorates for whom the item was applicable (denominator),Ethnicity and race,Hispanic or Latino,,3,87.2,77.0,74.0,79.3,80.4,51.3,78.5,65.4,70.3,74.9,37.0
3835,r015,Number of early career doctorates for whom the item was applicable (denominator) -> Ethnicity and race -> Not Hispanic or Latino,Number of early career doctorates for whom the item was applicable (denominator),Ethnicity and race,Not Hispanic or Latino,,3,,,,,,,,,,,
3835,r016,Number of early career doctorates for whom the item was applicable (denominator) -> Ethnicity and race -> Not Hispanic or Latino -> Asian,Number of early career doctorates for whom the item was applicable (denominator),Ethnicity and race,Not Hispanic or Latino,Asian,4,87.7,81.5,76.2,80.6,73.8,52.4,74.8,64.3,76.4,78.5,44.6
3835,r017,Number of early career doctorates for whom the item was applicable (denominator) -> Ethnicity and race -> Not Hispanic or Latino -> Black or African American,Number of early career doctorates for whom the item was applicable (denominator),Ethnicity and race,Not Hispanic or Latino,Black or African American,4,86.4,71.7,71.0,80.2,92.3,56.6,76.2,58.6,63.4,78.0,32.4
3835,r018,Number of early career doctorates for whom the item was applicable (denominator) -> Ethnicity and race -> Not Hispanic or Latino -> White,Number of early career doctorates for whom the item was applicable (denominator),Ethnicity and race,Not Hispanic or Latino,White,4,87.4,76.4,72.7,81.4,86.7,59.6,81.9,66.3,71.7,77.2,41.9
3835,r019,Number of early career doctorates for whom the item was applicable (denominator) -> Ethnicity and race -> Not Hispanic or Latino -> Other race and ethnicity,Number of early career doctorates for whom the item was applicable (denominator),Ethnicity and race,Not Hispanic or Latino,Other race and ethnicity,4,82.9,73.5,71.8,72.2,83.0,61.2,77.7,56.7,66.3,74.4,45.8
3835,r020,Number of early career doctorates for whom the item was applicable (denominator) -> Age quartile,Number of early career doctorates for whom the item was applicable (denominator),Age quartile,,,2,,,,,,,,,,,
3835,r021,Number of early career doctorates for whom the item was applicable (denominator) -> Age quartile -> 32 years and under,Number of early career doctorates for whom the item was applicable (denominator),Age quartile,32 years and under,,3,91.4,84.8,77.0,82.5,71.4,50.4,76.3,63.5,77.8,79.3,44.1
3835,r022,Number of early career doctorates for whom the item was applicable (denominator) -> Age quartile -> 33&#8211;35 year,Number of early career doctorates for whom the item was applicable (denominator),Age quartile,33&#8211;35 year,,3,86.9,79.3,75.2,81.9,82.8,55.3,81.3,69.1,75.6,78.7,41.8
