table_id,row_id,_b_institution_b_full_path,_b_institution_b_level_1,_b_institution_b_level_2,_b_institution_b_hierarchy_depth,field_rank,field_nsf_r_d_expenditures,field_computer_and_information_sciences,field_geosciences_atmospheric_sciences_and_ocean_sciences,field_life_sciences,field_mathematics_and_statistics,field_physical_sciences,field_psychology,field_social_sciences,field_sciences_nec,field_engineering,field_all_non_s_e_fields
5445,r001,All institutions,All institutions,,1,-,"['5,414,611', '']","['746,405', '']","['665,890', '']","['716,140', '']","['225,661', '']","['1,069,626', '']","['81,117', '']","['150,122', '']","['98,090', '']","['1,362,626', '']","['298,934', '']"
5445,r002,"All institutions -> U. Texas, Austin",All institutions,"U. Texas, Austin",2,1,"['144,693', '']","['87,408', '']","['7,438', '']","['7,140', '']","['2,566', '']","['7,212', '']","['871', '']","['2,334', '']","['0', '']","['26,897', '']","['2,827', '']"
5445,r003,"All institutions -> U. Illinois, Urbana-Champaign",All institutions,"U. Illinois, Urbana-Champaign",2,2,"['127,552', '']","['52,238', '']","['2,613', '']","['7,031', '']","['2,398', '']","['22,217', '']","['2,516', '']","['1,180', '']","['0', '']","['32,822', '']","['4,537', '']"
5445,r004,"All institutions -> U. Washington, Seattle",All institutions,"U. Washington, Seattle",2,3,"['125,722', '']","['9,163', '']","['40,163', '']","['10,116', '']","['2,383', '']","['15,956', '']","['773', '']","['2,315', '']","['0', '']","['32,018', '']","['12,835', '']"
5445,r005,All institutions -> Cornell U.,All institutions,Cornell U.,2,4,"['110,447', '']","['12,275', '']","['4,165', '']","['20,354', '']","['2,378', '']","['38,989', '']","['641', '']","['2,617', '']","['0', '']","['28,033', '']","['995', '']"
5445,r006,"All institutions -> Texas A&M U., College Station and Health Science Center",All institutions,"Texas A&M U., College Station and Health Science Center",2,5,"['108,498', '']","['4,871', '']","['66,614', '']","['5,702', '']","['3,367', '']","['6,473', '']","['19', '']","['699', '']","['25', '']","['20,057', '']","['671', '']"
5445,r007,All institutions -> Woods Hole Oceanographic Institution,All institutions,Woods Hole Oceanographic Institution,2,6,"['105,458', '']","['0', '']","['61,289', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['44,169', '']","['0', '']"
5445,r008,All institutions -> Massachusetts Institute of Technology,All institutions,Massachusetts Institute of Technology,2,7,"['98,283', '']","['15,928', '']","['8,961', '']","['8,633', '']","['3,871', '']","['28,925', '']","['75', '']","['1,042', '']","['1,451', '']","['28,243', '']","['1,154', '']"
5445,r009,All institutions -> California Institute of Technology,All institutions,California Institute of Technology,2,8,"['96,277', '']","['2,766', '']","['8,292', '']","['2,562', '']","['755', '']","['76,760', '']","['0', '']","['0', '']","['0', '']","['4,218', '']","['924', '']"
5445,r010,"All institutions -> U. Michigan, Ann Arbor",All institutions,"U. Michigan, Ann Arbor",2,9,"['89,821', '']","['3,517', '']","['2,182', '']","['10,373', '']","['4,881', '']","['11,449', '']","['1,105', '']","['13,596', '']","['282', '']","['38,105', '']","['4,331', '']"
5445,r011,All institutions -> U. Wisconsin-Madison,All institutions,U. Wisconsin-Madison,2,10,"['89,371', '']","['12,215', '']","['10,902', '']","['8,993', '']","['3,471', '']","['26,697', '']","['1,406', '']","['2,058', '']","['1,377', '']","['15,574', '']","['6,678', '']"
5445,r012,"All institutions -> U. California, San Diego",All institutions,"U. California, San Diego",2,11,"['88,909', '']","['13,176', '']","['23,746', '']","['5,172', '']","['2,432', '']","['7,015', '']","['3,312', '']","['1,200', '']","['293', '']","['32,364', '']","['199', '']"
5445,r013,All institutions -> Columbia U. in the City of New York,All institutions,Columbia U. in the City of New York,2,12,"['86,265', '']","['9,817', '']","['35,180', '']","['7,575', '']","['2,308', '']","['10,965', '']","['352', '']","['1,570', '']","['0', '']","['14,011', '']","['4,487', '']"
