table_id,row_id,time_period,gdp_level_1,gdp_level_2,gdp_level_3,gdp_hierarchy_depth,value
10473,r001,1953,GDP,Current $billions,,2,389.2
10473,r002,1953,GDP,Constant 2017 $billions,,2,2894.4
10473,r003,1953,GDP,Deflatora (2017 = 1.00000),,2,0.13447
10473,r004,1953,Total R&D,Current $billions,,2,5.2
10473,r005,1953,Total R&D,Constant 2017 $billions,,2,38.4
10473,r006,1953,R&D/GDP (%),Total,,2,1.33
10473,r007,1953,R&D/GDP (%),"R&D, by performer",Business,3,0.93
10473,r008,1953,R&D/GDP (%),"R&D, by performer",Federalb,3,0.29
10473,r009,1953,R&D/GDP (%),"R&D, by performer",Higher education,3,0.07
10473,r010,1953,R&D/GDP (%),"R&D, by performer",Otherc,3,0.03
10473,r011,1953,R&D/GDP (%),"R&D, by source of funding",Business,3,0.58
10473,r012,1953,R&D/GDP (%),"R&D, by source of funding",Federal,3,0.71
10473,r013,1953,R&D/GDP (%),"R&D, by source of funding",Otherd,3,0.03
10473,r014,1954,GDP,Current $billions,,2,390.5
10473,r015,1954,GDP,Constant 2017 $billions,,2,2877.7
10473,r016,1954,GDP,Deflatora (2017 = 1.00000),,2,0.13572
10473,r017,1954,Total R&D,Current $billions,,2,5.6
10473,r018,1954,Total R&D,Constant 2017 $billions,,2,41.4
10473,r019,1954,R&D/GDP (%),Total,,2,1.44
10473,r020,1954,R&D/GDP (%),"R&D, by performer",Business,3,1.04
10473,r021,1954,R&D/GDP (%),"R&D, by performer",Federalb,3,0.29
10473,r022,1954,R&D/GDP (%),"R&D, by performer",Higher education,3,0.08
10473,r023,1954,R&D/GDP (%),"R&D, by performer",Otherc,3,0.03
10473,r024,1954,R&D/GDP (%),"R&D, by source of funding",Business,3,0.61
10473,r025,1954,R&D/GDP (%),"R&D, by source of funding",Federal,3,0.79
10473,r026,1954,R&D/GDP (%),"R&D, by source of funding",Otherd,3,0.04
10473,r027,1955,GDP,Current $billions,,2,425.5
10473,r028,1955,GDP,Constant 2017 $billions,,2,3083.0
10473,r029,1955,GDP,Deflatora (2017 = 1.00000),,2,0.13801
10473,r030,1955,Total R&D,Current $billions,,2,6.2
10473,r031,1955,Total R&D,Constant 2017 $billions,,2,44.8
10473,r032,1955,R&D/GDP (%),Total,,2,1.45
10473,r033,1955,R&D/GDP (%),"R&D, by performer",Business,3,1.04
10473,r034,1955,R&D/GDP (%),"R&D, by performer",Federalb,3,0.3
10473,r035,1955,R&D/GDP (%),"R&D, by performer",Higher education,3,0.08
10473,r036,1955,R&D/GDP (%),"R&D, by performer",Otherc,3,0.03
10473,r037,1955,R&D/GDP (%),"R&D, by source of funding",Business,3,0.59
10473,r038,1955,R&D/GDP (%),"R&D, by source of funding",Federal,3,0.82
10473,r039,1955,R&D/GDP (%),"R&D, by source of funding",Otherd,3,0.04
10473,r040,1956,GDP,Current $billions,,2,449.4
10473,r041,1956,GDP,Constant 2017 $billions,,2,3148.8
10473,r042,1956,GDP,Deflatora (2017 = 1.00000),,2,0.14271
10473,r043,1956,Total R&D,Current $billions,,2,8.5
10473,r044,1956,Total R&D,Constant 2017 $billions,,2,59.6
10473,r045,1956,R&D/GDP (%),Total,,2,1.89
10473,r046,1956,R&D/GDP (%),"R&D, by performer",Business,3,1.4
10473,r047,1956,R&D/GDP (%),"R&D, by performer",Federalb,3,0.38
10473,r048,1956,R&D/GDP (%),"R&D, by performer",Higher education,3,0.09
10473,r049,1956,R&D/GDP (%),"R&D, by performer",Otherc,3,0.03
10473,r050,1956,R&D/GDP (%),"R&D, by source of funding",Business,3,0.74
10473,r051,1956,R&D/GDP (%),"R&D, by source of funding",Federal,3,1.11
10473,r052,1956,R&D/GDP (%),"R&D, by source of funding",Otherd,3,0.04
10473,r053,1957,GDP,Current $billions,,2,474.0
10473,r054,1957,GDP,Constant 2017 $billions,,2,3215.1
10473,r055,1957,GDP,Deflatora (2017 = 1.00000),,2,0.14744
10473,r056,1957,Total R&D,Current $billions,,2,9.9
10473,r057,1957,Total R&D,Constant 2017 $billions,,2,67.2
10473,r058,1957,R&D/GDP (%),Total,,2,2.09
10473,r059,1957,R&D/GDP (%),"R&D, by performer",Business,3,1.55
10473,r060,1957,R&D/GDP (%),"R&D, by performer",Federalb,3,0.42
10473,r061,1957,R&D/GDP (%),"R&D, by performer",Higher education,3,0.09
10473,r062,1957,R&D/GDP (%),"R&D, by performer",Otherc,3,0.04
10473,r063,1957,R&D/GDP (%),"R&D, by source of funding",Business,3,0.73
10473,r064,1957,R&D/GDP (%),"R&D, by source of funding",Federal,3,1.31
10473,r065,1957,R&D/GDP (%),"R&D, by source of funding",Otherd,3,0.04
10473,r066,1958,GDP,Current $billions,,2,481.2
10473,r067,1958,GDP,Constant 2017 $billions,,2,3191.2
10473,r068,1958,GDP,Deflatora (2017 = 1.00000),,2,0.1508
10473,r069,1958,Total R&D,Current $billions,,2,10.9
10473,r070,1958,Total R&D,Constant 2017 $billions,,2,72.4
10473,r071,1958,R&D/GDP (%),Total,,2,2.27
10473,r072,1958,R&D/GDP (%),"R&D, by performer",Business,3,1.68
10473,r073,1958,R&D/GDP (%),"R&D, by performer",Federalb,3,0.45
10473,r074,1958,R&D/GDP (%),"R&D, by performer",Higher education,3,0.1
10473,r075,1958,R&D/GDP (%),"R&D, by performer",Otherc,3,0.04
10473,r076,1958,R&D/GDP (%),"R&D, by source of funding",Business,3,0.77
10473,r077,1958,R&D/GDP (%),"R&D, by source of funding",Federal,3,1.45
10473,r078,1958,R&D/GDP (%),"R&D, by source of funding",Otherd,3,0.05
10473,r079,1959,GDP,Current $billions,,2,521.7
10473,r080,1959,GDP,Constant 2017 $billions,,2,3412.4
10473,r081,1959,GDP,Deflatora (2017 = 1.00000),,2,0.15287
10473,r082,1959,Total R&D,Current $billions,,2,12.5
10473,r083,1959,Total R&D,Constant 2017 $billions,,2,81.7
10473,r084,1959,R&D/GDP (%),Total,,2,2.39
10473,r085,1959,R&D/GDP (%),"R&D, by performer",Business,3,1.76
10473,r086,1959,R&D/GDP (%),"R&D, by performer",Federalb,3,0.47
10473,r087,1959,R&D/GDP (%),"R&D, by performer",Higher education,3,0.11
10473,r088,1959,R&D/GDP (%),"R&D, by performer",Otherc,3,0.04
10473,r089,1959,R&D/GDP (%),"R&D, by source of funding",Business,3,0.78
10473,r090,1959,R&D/GDP (%),"R&D, by source of funding",Federal,3,1.57
10473,r091,1959,R&D/GDP (%),"R&D, by source of funding",Otherd,3,0.05
10473,r092,1960,GDP,Current $billions,,2,542.4
