table_id,row_id,_b_financial_resource_b_full_path,_b_financial_resource_b_level_1,_b_financial_resource_b_level_2,_b_financial_resource_b_level_3,_b_financial_resource_b_hierarchy_depth,field_all_fields_male,field_all_fields_female,field_life_sciencesa_male,field_life_sciencesa_female,field_physical_sciences_and_earth_sciences_male,field_physical_sciences_and_earth_sciences_female,field_mathematics_and_computer_sciences_male,field_mathematics_and_computer_sciences_female,field_psychology_and_social_sciences_male,field_psychology_and_social_sciences_female,field_engineering_male,field_engineering_female,field_education_male,field_education_female,field_humanities_and_arts_male,field_humanities_and_arts_female,field_otherb_male,field_otherb_female
4673,r001,Unduplicated total<sup>c</sup>,Unduplicated total<sup>c</sup>,,,1,26513,22509,5009,6360,3769,1893,2939,1006,3140,4607,7078,2320,1258,2881,2163,2104,1157,1338
4673,r002,Unduplicated total<sup>c</sup> -> Fellowship or scholarship,Unduplicated total<sup>c</sup>,Fellowship or scholarship,,2,63.9,68.4,68.2,72.2,61.0,69.0,56.9,63.0,73.4,69.6,58.1,65.9,46.1,50.6,83.6,86.7,64.5,63.7
4673,r003,Unduplicated total<sup>c</sup> -> Dissertation grant,Unduplicated total<sup>c</sup>,Dissertation grant,,2,14.5,22.3,13.4,18.1,8.2,11.8,6.5,9.2,30.4,33.9,7.4,8.8,13.4,16.7,38.6,46.2,17.4,24.4
4673,r004,Unduplicated total<sup>c</sup> -> Assistantship,Unduplicated total<sup>c</sup>,Assistantship,,2,,,,,,,,,,,,,,,,,,
4673,r005,Unduplicated total<sup>c</sup> -> Assistantship -> Teaching,Unduplicated total<sup>c</sup>,Assistantship,Teaching,3,70.4,66.4,53.4,54.2,86.8,87.4,83.1,84.5,80.1,76.0,65.7,66.9,38.9,41.1,84.2,88.3,69.9,66.6
4673,r006,Unduplicated total<sup>c</sup> -> Assistantship -> Research,Unduplicated total<sup>c</sup>,Assistantship,Research,3,70.7,62.9,65.0,64.4,89.0,87.7,75.4,72.8,61.6,62.6,85.5,85.3,35.9,40.8,35.3,40.8,62.9,58.7
4673,r007,Unduplicated total<sup>c</sup> -> Assistantship -> Other,Unduplicated total<sup>c</sup>,Assistantship,Other,3,7.4,10.5,5.7,5.3,4.0,5.0,4.5,5.7,12.7,16.3,5.0,5.0,17.2,16.9,14.2,17.2,9.7,11.4
4673,r008,Unduplicated total<sup>c</sup> -> Traineeship,Unduplicated total<sup>c</sup>,Traineeship,,2,3.3,5.1,9.6,11.2,2.3,2.8,1.2,1.1,3.6,4.5,1.9,3.7,0.7,1.0,0.7,1.3,1.2,1.5
4673,r009,Unduplicated total<sup>c</sup> -> Internship or clinical residency,Unduplicated total<sup>c</sup>,Internship or clinical residency,,2,11.2,10.7,3.8,4.6,5.8,6.4,26.4,27.1,12.9,22.6,17.0,15.8,4.5,5.4,2.8,4.6,5.3,4.5
4673,r010,Unduplicated total<sup>c</sup> -> Loan (any source),Unduplicated total<sup>c</sup>,Loan (any source),,2,19.8,29.1,18.9,22.9,10.6,10.2,9.8,9.1,34.3,41.7,10.1,8.9,51.6,47.9,38.5,37.5,30.1,37.4
4673,r011,Unduplicated total<sup>c</sup> -> Personal sources,Unduplicated total<sup>c</sup>,Personal sources,,2,,,,,,,,,,,,,,,,,,
4673,r012,Unduplicated total<sup>c</sup> -> Personal sources -> Savings,Unduplicated total<sup>c</sup>,Personal sources,Savings,3,49.4,56.0,49.0,52.7,37.7,43.5,44.4,45.7,62.0,64.6,43.4,41.9,67.0,64.4,61.0,62.3,64.4,63.8
4673,r013,Unduplicated total<sup>c</sup> -> Personal sources -> Other earnings during graduate school,Unduplicated total<sup>c</sup>,Personal sources,Other earnings during graduate school,3,27.0,36.8,25.2,30.1,15.6,16.9,19.4,19.6,41.0,45.9,15.4,15.1,58.1,57.8,57.0,56.5,33.4,40.8
4673,r014,"Unduplicated total<sup>c</sup> -> Spouse's, partner's, or family's earnings or savings",Unduplicated total<sup>c</sup>,"Spouse's, partner's, or family's earnings or savings",,2,36.2,47.6,35.6,44.4,28.2,33.7,31.9,40.8,46.2,55.6,32.2,37.3,39.4,51.4,51.0,57.4,42.9,55.0
4673,r015,Unduplicated total<sup>c</sup> -> Employer reimbursement or assistance,Unduplicated total<sup>c</sup>,Employer reimbursement or assistance,,2,11.0,12.6,10.7,12.5,8.4,7.1,10.6,9.1,10.1,9.1,9.2,7.4,29.7,28.6,10.9,8.9,14.5,16.4
4673,r016,Unduplicated total<sup>c</sup> -> Foreign (non-U.S.) support,Unduplicated total<sup>c</sup>,Foreign (non-U.S.) support,,2,8.3,5.9,8.4,5.9,5.1,4.9,9.1,8.7,7.5,4.6,10.1,8.6,7.2,4.7,7.3,6.1,10.1,7.0
4673,r017,Unduplicated total<sup>c</sup> -> Other ,Unduplicated total<sup>c</sup>,Other ,,2,1.1,1.4,1.4,1.3,0.5,0.5,0.6,0.7,1.8,1.4,0.8,0.8,2.0,2.0,1.6,1.8,2.1,1.9
