table_id,row_id,field_and_place_of_citizenship_full_path,field_and_place_of_citizenship_level_1,field_and_place_of_citizenship_level_2,field_and_place_of_citizenship_hierarchy_depth,field_foreign_s_e_doctorate_recipients_2006_09,field_foreign_s_e_doctorate_recipients_2010_13,field_foreign_s_e_doctorate_recipients_2014_17,field_plans_to_stay_2006_09,field_plans_to_stay_2010_13,field_plans_to_stay_2014_17,field_definite_plans_to_stay_2006_09,field_definite_plans_to_stay_2010_13,field_definite_plans_to_stay_2014_17
1640,r001,All S&E fields,All S&E fields,,1,56139,56312,62671,77.3,74.9,76.5,51.6,47.5,45.8
1640,r002,All S&E fields -> China,All S&E fields,China,2,17467,16577,21104,89.0,84.1,83.2,57.7,52.6,50.0
1640,r003,All S&E fields -> India,All S&E fields,India,2,8273,8878,8855,88.6,86.0,87.6,60.2,54.9,51.5
1640,r004,All S&E fields -> South Korea,All S&E fields,South Korea,2,4981,4685,3989,69.6,65.2,68.9,45.4,41.9,42.5
1640,r005,All S&E fields -> Iran,All S&E fields,Iran,2,657,1231,3005,91.9,89.2,91.9,61.6,57.3,52.8
1640,r006,All S&E fields -> Taiwan,All S&E fields,Taiwan,2,2117,2432,2206,67.3,71.4,78.7,40.7,41.5,44.2
1640,r007,All S&E fields -> Turkey,All S&E fields,Turkey,2,1797,1773,1668,70.6,64.8,65.6,48.7,43.1,41.1
1640,r008,All S&E fields -> Canada,All S&E fields,Canada,2,1745,1599,1529,66.4,66.4,66.7,47.4,47.3,45.0
1640,r009,All S&E fields -> Nepal,All S&E fields,Nepal,2,191,448,850,91.1,87.7,89.8,60.7,51.3,50.2
1640,r010,All S&E fields -> Colombia,All S&E fields,Colombia,2,492,632,760,65.0,61.9,66.6,44.9,37.8,41.4
1640,r011,All S&E fields -> Mexico,All S&E fields,Mexico,2,751,749,758,53.3,60.7,64.1,40.5,38.6,37.5
1640,r012,All S&E fields -> Bangladesh,All S&E fields,Bangladesh,2,330,342,742,81.8,83.6,88.9,58.5,48.2,49.6
1640,r013,All S&E fields -> Thailand,All S&E fields,Thailand,2,995,915,730,31.0,30.8,26.8,15.8,15.1,14.1
1640,r014,All S&E fields -> Germany,All S&E fields,Germany,2,753,793,698,67.5,66.5,65.0,52.9,49.6,45.8
1640,r015,All S&E fields -> Brazil,All S&E fields,Brazil,2,567,597,606,50.4,52.6,60.7,37.0,34.5,41.6
1640,r016,All S&E fields -> Japan,All S&E fields,Japan,2,950,868,606,57.8,59.9,60.1,41.2,38.2,35.5
1640,r017,All S&E fields -> Other,All S&E fields,Other,2,14073,13793,14565,69.5,67.5,65.0,47.3,43.2,39.1
1640,r018,Physical and earth sciences,Physical and earth sciences,,1,8819,8579,9432,79.9,77.5,77.8,54.9,52.0,45.7
1640,r019,Physical and earth sciences -> China,Physical and earth sciences,China,2,3167,2999,3814,88.2,85.0,83.0,58.7,55.7,46.9
1640,r020,Physical and earth sciences -> India,Physical and earth sciences,India,2,923,1223,1156,85.9,83.4,83.9,58.9,56.5,49.8
1640,r021,Physical and earth sciences -> South Korea,Physical and earth sciences,South Korea,2,601,521,347,77.5,69.3,70.3,56.9,50.1,46.4
1640,r022,Physical and earth sciences -> Taiwan,Physical and earth sciences,Taiwan,2,226,286,314,78.3,73.8,75.5,59.7,49.7,46.5
1640,r023,Physical and earth sciences -> Sri Lanka,Physical and earth sciences,Sri Lanka,2,135,179,307,83.7,82.1,79.2,52.6,49.2,42.3
1640,r024,Physical and earth sciences -> Iran,Physical and earth sciences,Iran,2,61,69,270,85.2,79.7,87.0,55.7,53.6,50.0
1640,r025,Physical and earth sciences -> Nepal,Physical and earth sciences,Nepal,2,59,144,244,s,89.6,87.7,62.7,59.7,48.8
1640,r026,Physical and earth sciences -> Turkey,Physical and earth sciences,Turkey,2,224,188,186,79.0,74.5,65.1,49.6,52.1,39.8
