table_id,row_id,_b_institution_b_full_path,_b_institution_b_level_1,_b_institution_b_level_2,_b_institution_b_hierarchy_depth,field_rank,field_2018,field_2019,field_2020,field_2021_all_geosciences_atmospheric_sciences_and_ocean_sciences,field_2021_atmospheric_science_and_meteorology,field_2021_geological_and_earth_sciences,field_2021_ocean_sciences_and_marine_sciences,field_2021_geosciences_atmospheric_sciences_and_ocean_sciences_nec
7981,r001,All institutions,All institutions,,1,-,"['3,159,553', '']","['3,185,958', '']","['3,281,457', '']","['3,295,883', '']","['624,579', '']","['1,242,339', '']","['1,035,519', '']","['393,446', '']"
7981,r002,"All institutions -> U. California, San Diego",All institutions,"U. California, San Diego",2,1,"['159,294', '']","['180,626', '']","['201,331', '']","['185,870', '']","['7,727', '']","['38,898', '']","['139,245', '']","['0', '']"
7981,r003,All institutions -> Woods Hole Oceanographic Institution,All institutions,Woods Hole Oceanographic Institution,2,2,"['143,179', '']","['145,169', '']","['143,240', '']","['160,059', '']","['36,704', 'i']","['66,248', 'i']","['42,901', 'i']","['14,206', 'i']"
7981,r004,"All institutions -> U. Washington, Seattle",All institutions,"U. Washington, Seattle",2,3,"['122,167', '']","['123,301', '']","['135,307', '']","['128,033', '']","['53,801', '']","['9,406', '']","['57,404', '']","['7,422', '']"
7981,r005,All institutions -> U. Colorado Boulder,All institutions,U. Colorado Boulder,2,4,"['136,586', '']","['121,624', '']","['119,824', '']","['118,876', '']","['30,868', '']","['12,891', '']","['2,609', '']","['72,508', '']"
7981,r006,"All institutions -> Texas A&M U., College Station and Health Science Center",All institutions,"Texas A&M U., College Station and Health Science Center",2,5,"['115,394', '']","['113,459', '']","['107,894', '']","['106,932', '']","['5,452', '']","['16,284', '']","['78,485', '']","['6,711', '']"
7981,r007,"All institutions -> U. Alaska, Fairbanks",All institutions,"U. Alaska, Fairbanks",2,6,"['65,850', '']","['69,346', '']","['72,609', '']","['95,711', '']","['8,494', '']","['52,713', '']","['33,542', '']","['962', '']"
7981,r008,"All institutions -> U. Oklahoma, Norman and Health Science Center",All institutions,"U. Oklahoma, Norman and Health Science Center",2,7,"['63,159', '']","['71,836', '']","['84,812', '']","['91,101', '']","['81,571', '']","['9,530', '']","['0', '']","['0', '']"
7981,r009,All institutions -> Johns Hopkins U.<sup>a</sup>,All institutions,Johns Hopkins U.<sup>a</sup>,2,8,"['34,663', 'i']","['42,585', 'i']","['65,556', 'i']","['79,257', 'i']","['11,368', 'i']","['34,126', 'i']","['24,357', 'i']","['9,406', 'i']"
7981,r010,All institutions -> Columbia U. in the City of New York,All institutions,Columbia U. in the City of New York,2,9,"['80,240', '']","['75,900', '']","['78,288', '']","['77,515', '']","['10,482', '']","['32,077', '']","['34,956', '']","['0', '']"
7981,r011,"All institutions -> U. Hawaii, Manoa",All institutions,"U. Hawaii, Manoa",2,10,"['78,170', '']","['82,955', '']","['71,468', '']","['73,176', '']","['3,574', '']","['14,442', '']","['53,490', '']","['1,670', '']"
7981,r012,All institutions -> Arizona State U.,All institutions,Arizona State U.,2,11,"['82,299', '']","['83,703', '']","['73,544', '']","['68,116', '']","['0', '']","['68,116', '']","['0', '']","['0', '']"
7981,r013,All institutions -> U. Wisconsin-Madison,All institutions,U. Wisconsin-Madison,2,12,"['50,280', '']","['58,701', '']","['65,000', '']","['65,814', '']","['39,038', '']","['17,180', '']","['0', '']","['9,596', '']"
7981,r014,All institutions -> U. Maryland<sup>b</sup>,All institutions,U. Maryland<sup>b</sup>,2,13,"['na', '']","['52,823', '']","['58,099', '']","['61,660', '']","['14,573', '']","['41,169', '']","['2,464', '']","['3,454', '']"
7981,r015,"All institutions -> Colorado State U., Fort Collins",All institutions,"Colorado State U., Fort Collins",2,14,"['116,804', '']","['85,500', '']","['67,642', '']","['60,073', '']","['42,825', '']","['15,441', '']","['0', '']","['1,807', '']"
7981,r016,All institutions -> U. New Hampshire,All institutions,U. New Hampshire,2,15,"['52,678', '']","['48,149', '']","['51,661', '']","['55,523', '']","['28,224', '']","['6,307', '']","['20,992', '']","['0', '']"
7981,r017,"All institutions -> U. Texas, Austin",All institutions,"U. Texas, Austin",2,16,"['55,302', '']","['51,155', '']","['61,145', '']","['54,009', '']","['16', '']","['42,578', '']","['9,063', '']","['2,352', '']"
7981,r018,All institutions -> U. Rhode Island,All institutions,U. Rhode Island,2,17,"['47,018', '']","['50,513', '']","['42,634', '']","['52,469', '']","['0', '']","['11,501', '']","['32,011', '']","['8,957', '']"
7981,r019,All institutions -> U. Miami,All institutions,U. Miami,2,18,"['50,321', '']","['48,427', '']","['50,684', '']","['50,826', '']","['35,988', '']","['0', '']","['13,932', '']","['906', '']"
7981,r020,All institutions -> U. Utah,All institutions,U. Utah,2,19,"['12,580', 'i']","['27,848', 'i']","['20,011', 'i']","['47,024', 'i']","['0', 'i']","['41,384', 'i']","['0', 'i']","['5,640', 'i']"
7981,r021,All institutions -> California Institute of Technology,All institutions,California Institute of Technology,2,20,"['32,030', '']","['37,101', '']","['43,338', '']","['43,295', 'i']","['1,986', 'i']","['34,651', 'i']","['204', 'i']","['6,454', 'i']"
7981,r022,All institutions -> Oregon State U.,All institutions,Oregon State U.,2,21,"['48,616', '']","['40,030', '']","['39,215', '']","['43,111', '']","['1,741', '']","['6,465', '']","['19,404', '']","['15,501', '']"
7981,r023,"All institutions -> U. California, Los Angeles",All institutions,"U. California, Los Angeles",2,22,"['38,361', '']","['38,106', '']","['41,594', '']","['41,818', '']","['8,669', '']","['27,493', '']","['0', '']","['5,656', '']"
7981,r024,All institutions -> U. Maryland Center for Environmental Science,All institutions,U. Maryland Center for Environmental Science,2,23,"['42,675', '']","['43,867', '']","['43,554', '']","['40,621', '']","['84', '']","['3,398', '']","['36,862', '']","['277', '']"
7981,r025,All institutions -> Harvard U.,All institutions,Harvard U.,2,24,"['42,697', '']","['43,664', '']","['43,505', '']","['38,756', '']","['6,193', '']","['8,834', '']","['820', '']","['22,909', '']"
7981,r026,"All institutions -> U. California, Santa Barbara",All institutions,"U. California, Santa Barbara",2,25,"['33,665', '']","['35,554', '']","['40,396', '']","['37,222', '']","['0', '']","['14,629', '']","['22,411', '']","['182', '']"
7981,r027,All institutions -> William & Mary,All institutions,William & Mary,2,26,"['33,109', '']","['32,425', '']","['33,084', '']","['34,838', '']","['0', '']","['303', '']","['34,535', '']","['0', '']"
7981,r028,All institutions -> U. Arizona,All institutions,U. Arizona,2,27,"['28,947', '']","['31,075', '']","['31,148', '']","['32,088', '']","['7,273', '']","['21,648', '']","['2,261', '']","['906', '']"
7981,r029,"All institutions -> Pennsylvania State U., University Park and Hershey Medical Center",All institutions,"Pennsylvania State U., University Park and Hershey Medical Center",2,28,"['50,302', '']","['46,390', '']","['41,590', '']","['31,930', '']","['16,523', '']","['13,007', '']","['2,400', '']","['0', '']"
7981,r030,"All institutions -> U. California, Santa Cruz",All institutions,"U. California, Santa Cruz",2,29,"['24,348', '']","['26,570', '']","['29,389', '']","['31,217', '']","['0', '']","['7,476', '']","['17,662', '']","['6,079', '']"
