table_id,row_id,_b_demographic_characteristic_b_full_path,_b_demographic_characteristic_b_level_1,_b_demographic_characteristic_b_level_2,_b_demographic_characteristic_b_level_3,_b_demographic_characteristic_b_hierarchy_depth,field_all_fields,field_science_and_engineering_total,field_science_and_engineering_agricultural_sciences_and_natural_resources,field_science_and_engineering_biological_and_biomedical_sciences,field_science_and_engineering_computer_and_information_sciences,field_science_and_engineering_engineering,field_science_and_engineering_geosciences_atmospheric_and_ocean_sciences,field_science_and_engineering_health_sciences,field_science_and_engineering_mathematics_and_statistics,field_science_and_engineering_multidisciplinary_interdisciplinary_sciences,field_science_and_engineering_physical_sciences,field_science_and_engineering_psychology,field_science_and_engineering_social_sciences,field_non_science_and_engineering_total,field_non_science_and_engineering_business,field_non_science_and_engineering_education,field_non_science_and_engineering_humanities,field_non_science_and_engineering_visual_and_performing_arts,field_non_science_and_engineering_other_non_science_and_engineering
11656,r001,Doctorate recipients reporting bachelor's degree,Doctorate recipients reporting bachelor's degree,,,1,98.3,98.3,97.1,98.2,98.5,98.7,98.3,96.3,98.8,98.1,98.7,98.2,98.8,98.2,98.3,98.2,98.2,98.3,98.3
11656,r002,Doctorate recipients reporting bachelor's degree -> Bachelor's degree in the same field as doctorate,Doctorate recipients reporting bachelor's degree,Bachelor's degree in the same field as doctorate,,2,60.6,64.3,48.4,64.2,38.8,78.4,49.8,46.4,80.6,14.0,77.2,70.9,55.2,46.0,42.3,25.7,71.3,69.7,38.0
11656,r003,Sex,Sex,,,1,,,,,,,,,,,,,,,,,,,
11656,r004,Sex -> Male,Sex,Male,,2,63.4,66.0,50.8,62.3,39.7,80.1,50.6,37.2,80.5,14.5,77.6,66.0,58.9,49.2,41.7,22.8,71.1,71.6,36.7
11656,r005,Sex -> Female,Sex,Female,,2,57.6,62.3,46.4,65.7,35.7,73.5,49.0,50.1,80.7,13.2,76.5,72.4,51.7,43.8,42.9,26.7,71.6,68.2,38.8
11656,r006,Citizenship status,Citizenship status,,,1,,,,,,,,,,,,,,,,,,,
11656,r007,Citizenship status -> U.S. citizen or permanent resident,Citizenship status,U.S. citizen or permanent resident,,2,61.3,66.2,46.0,68.7,46.1,80.0,51.1,43.5,84.6,12.9,80.6,73.1,55.3,45.8,40.9,25.0,73.6,73.1,35.8
11656,r008,Citizenship status -> Temporary visa holder,Citizenship status,Temporary visa holder,,2,61.5,63.2,53.8,52.6,35.1,78.9,48.9,57.7,78.8,15.3,73.3,62.7,56.6,50.2,44.5,34.7,67.5,64.9,46.1
11656,r009,Ethnicity and race (U.S. citizens and permanent residents),Ethnicity and race (U.S. citizens and permanent residents),,,1,,,,,,,,,,,,,,,,,,,
11656,r010,Ethnicity and race (U.S. citizens and permanent residents) -> Hispanic or Latino,Ethnicity and race (U.S. citizens and permanent residents),Hispanic or Latino,,2,61.7,68.6,39.3,72.6,44.4,83.5,50.9,31.4,86.9,16.9,81.1,78.3,59.0,40.1,52.8,17.4,66.0,70.8,35.3
11656,r011,Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,,2,,,,,,,,,,,,,,,,,,,
11656,r012,Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> American Indian or Alaska Native,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,American Indian or Alaska Native,3,49.5,59.3,0.0,81.8,0.0,,,,-,0.0,,77.8,46.7,33.3,0.0,,62.5,,0.0
11656,r013,Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> Asian,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,Asian,3,60.0,64.0,48.9,64.1,40.7,78.6,46.4,,79.5,15.9,,70.3,50.5,37.7,35.0,,,68.4,27.5
11656,r014,Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> Black or African American,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,Black or African American,3,48.1,59.1,35.5,,42.9,,,49.8,81.0,,79.3,66.0,44.6,31.1,27.9,,,,33.0
11656,r015,Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> White,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,White,3,63.1,67.0,47.7,68.8,48.1,80.0,51.6,45.1,86.0,13.0,80.7,73.6,57.4,50.4,43.9,27.9,76.3,74.6,37.9
11656,r016,Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> More than one race,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,More than one race,3,64.6,68.0,37.0,,57.1,82.2,41.4,35.6,82.9,,79.3,75.5,52.9,49.4,46.7,25.0,76.4,81.3,38.9
11656,r017,Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> Other race or race not reported,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,Other race or race not reported,3,61.2,65.6,66.7,70.5,50.0,80.6,50.0,43.8,72.7,0.0,74.3,74.2,52.6,48.9,33.3,30.0,63.6,87.5,35.0
11656,r018,Ethnicity and race (U.S. citizens and permanent residents) -> Ethnicity not reported,Ethnicity and race (U.S. citizens and permanent residents),Ethnicity not reported,,2,45.9,51.0,40.0,60.7,50.0,59.1,100.0,37.5,60.0,10.0,68.8,57.1,35.0,33.3,33.3,13.6,55.0,55.6,0.0
