table_id,row_id,_b_field_of_doctorate_b_full_path,_b_field_of_doctorate_b_level_1,_b_field_of_doctorate_b_level_2,_b_field_of_doctorate_b_level_3,_b_field_of_doctorate_b_level_4,_b_field_of_doctorate_b_hierarchy_depth,field_female_doctorate_recipients,field_doctorate_recipients_with_definite_commitments,field_location_of_definite_commitments_united_states_total,field_location_of_definite_commitments_united_states_postdoctoral_study,field_location_of_definite_commitments_united_states_academic_employment,field_location_of_definite_commitments_united_states_industry_employmenta,field_location_of_definite_commitments_united_states_otherb,field_location_of_definite_commitments_abroad,field_location_of_definite_commitments_unknown
11702,r001,Female doctorate recipients reporting postgraduation commitments,Female doctorate recipients reporting postgraduation commitments,,,,1,27499,18054,16942,6254,4433,3835,2420,1099,13
11702,r002,Female doctorate recipients reporting postgraduation commitments -> Science and engineering,Female doctorate recipients reporting postgraduation commitments,Science and engineering,,,2,20486,13573,12780,5668,2251,3460,1401,786,7
11702,r003,Female doctorate recipients reporting postgraduation commitments -> Science and engineering -> Agricultural sciences and natural resources,Female doctorate recipients reporting postgraduation commitments,Science and engineering,Agricultural sciences and natural resources,,3,706,446,418,173,75,106,64,28,0
11702,r004,"Female doctorate recipients reporting postgraduation commitments -> Science and engineering -> Agricultural sciences and natural resources -> Agricultural, animal, plant, and veterinary sciences",Female doctorate recipients reporting postgraduation commitments,Science and engineering,Agricultural sciences and natural resources,"Agricultural, animal, plant, and veterinary sciences",4,485,301,282,116,48,86,32,19,0
11702,r005,Female doctorate recipients reporting postgraduation commitments -> Science and engineering -> Agricultural sciences and natural resources -> Natural resources and conservation,Female doctorate recipients reporting postgraduation commitments,Science and engineering,Agricultural sciences and natural resources,Natural resources and conservation,4,221,145,136,57,27,20,32,9,0
11702,r006,Female doctorate recipients reporting postgraduation commitments -> Science and engineering -> Biological and biomedical sciences,Female doctorate recipients reporting postgraduation commitments,Science and engineering,Biological and biomedical sciences,,3,5290,3385,3228,1857,335,788,248,155,2
11702,r007,"Female doctorate recipients reporting postgraduation commitments -> Science and engineering -> Biological and biomedical sciences -> Biochemistry, biophysics, and molecular biology",Female doctorate recipients reporting postgraduation commitments,Science and engineering,Biological and biomedical sciences,"Biochemistry, biophysics, and molecular biology",4,728,434,416,230,38,128,20,17,1
11702,r008,"Female doctorate recipients reporting postgraduation commitments -> Science and engineering -> Biological and biomedical sciences -> Bioinformatics, biostatistics, and computational biology",Female doctorate recipients reporting postgraduation commitments,Science and engineering,Biological and biomedical sciences,"Bioinformatics, biostatistics, and computational biology",4,322,219,205,60,26,92,27,14,0
11702,r009,"Female doctorate recipients reporting postgraduation commitments -> Science and engineering -> Biological and biomedical sciences -> Biological and biomedical sciences, general",Female doctorate recipients reporting postgraduation commitments,Science and engineering,Biological and biomedical sciences,"Biological and biomedical sciences, general",4,537,296,283,167,24,71,21,13,0
11702,r010,Female doctorate recipients reporting postgraduation commitments -> Science and engineering -> Biological and biomedical sciences -> Cell/ cellular biology and anatomy,Female doctorate recipients reporting postgraduation commitments,Science and engineering,Biological and biomedical sciences,Cell/ cellular biology and anatomy,4,448,275,266,159,28,73,6,9,0
11702,r011,"Female doctorate recipients reporting postgraduation commitments -> Science and engineering -> Biological and biomedical sciences -> Ecology, evolutionary biology, and epidemiology",Female doctorate recipients reporting postgraduation commitments,Science and engineering,Biological and biomedical sciences,"Ecology, evolutionary biology, and epidemiology",4,697,504,471,269,68,48,86,33,0
11702,r012,Female doctorate recipients reporting postgraduation commitments -> Science and engineering -> Biological and biomedical sciences -> Genetics and genomics,Female doctorate recipients reporting postgraduation commitments,Science and engineering,Biological and biomedical sciences,Genetics and genomics,4,252,163,,97,,36,7,,0
11702,r013,Female doctorate recipients reporting postgraduation commitments -> Science and engineering -> Biological and biomedical sciences -> Microbiology and immunology,Female doctorate recipients reporting postgraduation commitments,Science and engineering,Biological and biomedical sciences,Microbiology and immunology,4,597,377,359,226,26,87,20,17,1
11702,r014,Female doctorate recipients reporting postgraduation commitments -> Science and engineering -> Biological and biomedical sciences -> Neurobiology and neurosciences,Female doctorate recipients reporting postgraduation commitments,Science and engineering,Biological and biomedical sciences,Neurobiology and neurosciences,4,676,450,434,287,41,88,18,16,0
11702,r015,Female doctorate recipients reporting postgraduation commitments -> Science and engineering -> Biological and biomedical sciences -> Pharmacology and toxicology,Female doctorate recipients reporting postgraduation commitments,Science and engineering,Biological and biomedical sciences,Pharmacology and toxicology,4,229,143,,72,,58,6,,0
11702,r016,"Female doctorate recipients reporting postgraduation commitments -> Science and engineering -> Biological and biomedical sciences -> Physiology, oncology, and cancer biology",Female doctorate recipients reporting postgraduation commitments,Science and engineering,Biological and biomedical sciences,"Physiology, oncology, and cancer biology",4,408,267,259,145,32,69,13,8,0
11702,r017,"Female doctorate recipients reporting postgraduation commitments -> Science and engineering -> Biological and biomedical sciences -> Biological and biomedical sciences, other",Female doctorate recipients reporting postgraduation commitments,Science and engineering,Biological and biomedical sciences,"Biological and biomedical sciences, other",4,396,257,243,145,36,38,24,14,0
11702,r018,Female doctorate recipients reporting postgraduation commitments -> Science and engineering -> Computer and information sciences,Female doctorate recipients reporting postgraduation commitments,Science and engineering,Computer and information sciences,,3,587,375,340,72,75,166,27,34,1
11702,r019,Female doctorate recipients reporting postgraduation commitments -> Science and engineering -> Computer and information sciences -> Computer science,Female doctorate recipients reporting postgraduation commitments,Science and engineering,Computer and information sciences,Computer science,4,371,242,219,49,42,116,12,23,0
11702,r020,"Female doctorate recipients reporting postgraduation commitments -> Science and engineering -> Computer and information sciences -> Computer and information sciences, other",Female doctorate recipients reporting postgraduation commitments,Science and engineering,Computer and information sciences,"Computer and information sciences, other",4,216,133,121,23,33,50,15,11,1
11702,r021,Female doctorate recipients reporting postgraduation commitments -> Science and engineering -> Engineering,Female doctorate recipients reporting postgraduation commitments,Science and engineering,Engineering,,3,2851,1813,1719,560,162,866,131,92,2
11702,r022,"Female doctorate recipients reporting postgraduation commitments -> Science and engineering -> Engineering -> Aerospace, aeronautical, astronautical, and space engineering",Female doctorate recipients reporting postgraduation commitments,Science and engineering,Engineering,"Aerospace, aeronautical, astronautical, and space engineering",4,95,63,63,17,11,23,12,0,0
11702,r023,"Female doctorate recipients reporting postgraduation commitments -> Science and engineering -> Engineering -> Biological, biomedical, and biosystems engineering",Female doctorate recipients reporting postgraduation commitments,Science and engineering,Engineering,"Biological, biomedical, and biosystems engineering",4,570,358,345,160,13,155,17,13,0
11702,r024,Female doctorate recipients reporting postgraduation commitments -> Science and engineering -> Engineering -> Chemical and petroleum engineering,Female doctorate recipients reporting postgraduation commitments,Science and engineering,Engineering,Chemical and petroleum engineering,4,356,232,221,63,10,140,8,11,0
11702,r025,"Female doctorate recipients reporting postgraduation commitments -> Science and engineering -> Engineering -> Civil, environmental, and transportation engineering",Female doctorate recipients reporting postgraduation commitments,Science and engineering,Engineering,"Civil, environmental, and transportation engineering",4,416,244,231,95,24,86,26,13,0
11702,r026,Female doctorate recipients reporting postgraduation commitments -> Science and engineering -> Engineering -> Electrical and computer engineering,Female doctorate recipients reporting postgraduation commitments,Science and engineering,Engineering,Electrical and computer engineering,4,400,260,243,51,21,158,13,16,1
11702,r027,Female doctorate recipients reporting postgraduation commitments -> Science and engineering -> Engineering -> Engineering technologies,Female doctorate recipients reporting postgraduation commitments,Science and engineering,Engineering,Engineering technologies,4,85,57,51,18,8,22,3,6,0
11702,r028,Female doctorate recipients reporting postgraduation commitments -> Science and engineering -> Engineering -> Industrial engineering and operations research,Female doctorate recipients reporting postgraduation commitments,Science and engineering,Engineering,Industrial engineering and operations research,4,191,128,119,15,29,61,14,8,1
11702,r029,Female doctorate recipients reporting postgraduation commitments -> Science and engineering -> Engineering -> Materials and mining engineering,Female doctorate recipients reporting postgraduation commitments,Science and engineering,Engineering,Materials and mining engineering,4,263,181,171,54,8,96,13,10,0
11702,r030,Female doctorate recipients reporting postgraduation commitments -> Science and engineering -> Engineering -> Mechanical engineering,Female doctorate recipients reporting postgraduation commitments,Science and engineering,Engineering,Mechanical engineering,4,275,178,169,46,21,88,14,9,0
11702,r031,"Female doctorate recipients reporting postgraduation commitments -> Science and engineering -> Engineering -> Engineering, other",Female doctorate recipients reporting postgraduation commitments,Science and engineering,Engineering,"Engineering, other",4,200,112,106,41,17,37,11,6,0
11702,r032,"Female doctorate recipients reporting postgraduation commitments -> Science and engineering -> Geosciences, atmospheric, and ocean sciences",Female doctorate recipients reporting postgraduation commitments,Science and engineering,"Geosciences, atmospheric, and ocean sciences",,3,547,381,364,237,39,43,45,16,1
11702,r033,"Female doctorate recipients reporting postgraduation commitments -> Science and engineering -> Geosciences, atmospheric, and ocean sciences -> Geological and earth sciences",Female doctorate recipients reporting postgraduation commitments,Science and engineering,"Geosciences, atmospheric, and ocean sciences",Geological and earth sciences,4,298,200,190,114,28,31,17,9,1
11702,r034,"Female doctorate recipients reporting postgraduation commitments -> Science and engineering -> Geosciences, atmospheric, and ocean sciences -> Ocean, marine, and atmospheric sciences",Female doctorate recipients reporting postgraduation commitments,Science and engineering,"Geosciences, atmospheric, and ocean sciences","Ocean, marine, and atmospheric sciences",4,249,181,174,123,11,12,28,7,0
11702,r035,Female doctorate recipients reporting postgraduation commitments -> Science and engineering -> Health sciences,Female doctorate recipients reporting postgraduation commitments,Science and engineering,Health sciences,,3,1957,1267,1185,331,421,225,208,82,0
11702,r036,Female doctorate recipients reporting postgraduation commitments -> Science and engineering -> Health sciences -> Nursing and nursing science,Female doctorate recipients reporting postgraduation commitments,Science and engineering,Health sciences,Nursing and nursing science,4,569,380,349,61,,,76,31,0
11702,r037,Female doctorate recipients reporting postgraduation commitments -> Science and engineering -> Health sciences -> Pharmacy and pharmaceutical sciences,Female doctorate recipients reporting postgraduation commitments,Science and engineering,Health sciences,Pharmacy and pharmaceutical sciences,4,231,134,125,53,,,4,9,0
11702,r038,Female doctorate recipients reporting postgraduation commitments -> Science and engineering -> Health sciences -> Public health,Female doctorate recipients reporting postgraduation commitments,Science and engineering,Health sciences,Public health,4,548,376,353,126,93,51,83,23,0
