table_id,row_id,time_period,all_employed_level_1,all_employed_level_2,all_employed_level_3,all_employed_hierarchy_depth,value
3750,r001,Doctorate recipient,All employed,Number,,2,857200
3750,r002,Doctorate recipient,All employed,SE,,2,1975
3750,r003,Doctorate recipient,Science,Total,Number,3,640300
3750,r004,Doctorate recipient,Science,Total,SE,3,1900
3750,r005,Doctorate recipient,Science,"Biological, agricultural, and environmental life sciences",Number,3,220700
3750,r006,Doctorate recipient,Science,"Biological, agricultural, and environmental life sciences",SE,3,1100
3750,r007,Doctorate recipient,Science,Computer and information sciences,Number,3,31100
3750,r008,Doctorate recipient,Science,Computer and information sciences,SE,3,400
3750,r009,Doctorate recipient,Science,Mathematics and statistics,Number,3,36650
3750,r010,Doctorate recipient,Science,Mathematics and statistics,SE,3,450
3750,r011,Doctorate recipient,Science,Physical sciences,Number,3,133750
3750,r012,Doctorate recipient,Science,Physical sciences,SE,3,950
3750,r013,Doctorate recipient,Science,Psychology,Number,3,115350
3750,r014,Doctorate recipient,Science,Psychology,SE,3,825
3750,r015,Doctorate recipient,Science,Social sciences,Number,3,102700
3750,r016,Doctorate recipient,Science,Social sciences,SE,3,900
3750,r017,Doctorate recipient,Engineering,Number,,2,176700
3750,r018,Doctorate recipient,Engineering,SE,,2,1175
3750,r019,Doctorate recipient,Health,Number,,2,40200
3750,r020,Doctorate recipient,Health,SE,,2,475
3750,r021,Doctorate recipient -> Postdoctoral appointment in&#160;2019,All employed,Number,,2,25400
3750,r022,Doctorate recipient -> Postdoctoral appointment in&#160;2019,All employed,SE,,2,725
3750,r023,Doctorate recipient -> Postdoctoral appointment in&#160;2019,Science,Total,Number,3,21050
3750,r024,Doctorate recipient -> Postdoctoral appointment in&#160;2019,Science,Total,SE,3,700
3750,r025,Doctorate recipient -> Postdoctoral appointment in&#160;2019,Science,"Biological, agricultural, and environmental life sciences",Number,3,13400
3750,r026,Doctorate recipient -> Postdoctoral appointment in&#160;2019,Science,"Biological, agricultural, and environmental life sciences",SE,3,550
3750,r027,Doctorate recipient -> Postdoctoral appointment in&#160;2019,Science,Computer and information sciences,Number,3,300
3750,r028,Doctorate recipient -> Postdoctoral appointment in&#160;2019,Science,Computer and information sciences,SE,3,100
3750,r029,Doctorate recipient -> Postdoctoral appointment in&#160;2019,Science,Mathematics and statistics,Number,3,800
3750,r030,Doctorate recipient -> Postdoctoral appointment in&#160;2019,Science,Mathematics and statistics,SE,3,150
3750,r031,Doctorate recipient -> Postdoctoral appointment in&#160;2019,Science,Physical sciences,Number,3,4900
3750,r032,Doctorate recipient -> Postdoctoral appointment in&#160;2019,Science,Physical sciences,SE,3,350
