table_id,row_id,_b_institution_b_full_path,_b_institution_b_level_1,_b_institution_b_level_2,_b_institution_b_hierarchy_depth,field_rank,field_total_2017,field_total_2018,field_total_2019,field_total_2020,field_federally_financed_2017,field_federally_financed_2018,field_federally_financed_2019,field_federally_financed_2020
5427,r001,All institutions,All institutions,,1,-,"['23,991,344', '']","['25,778,953', '']","['27,293,004', '']","['28,026,662', '']","['12,688,424', '']","['13,395,870', '']","['14,194,037', '']","['14,733,751', '']"
5427,r002,"All institutions -> U. California, San Francisco",All institutions,"U. California, San Francisco",2,1,"['1,329,729', '']","['1,531,475', '']","['1,526,889', '']","['1,579,053', '']","['560,981', '']","['633,646', '']","['631,806', '']","['634,237', '']"
5427,r003,"All institutions -> U. California, Los Angeles",All institutions,"U. California, Los Angeles",2,2,"['727,928', '']","['879,537', '']","['887,293', '']","['955,580', '']","['305,734', '']","['367,948', '']","['393,177', '']","['437,643', '']"
5427,r004,"All institutions -> U. California, San Diego",All institutions,"U. California, San Diego",2,3,"['623,952', '']","['724,886', '']","['754,309', '']","['765,869', '']","['351,985', '']","['362,520', '']","['372,590', '']","['377,281', '']"
5427,r005,All institutions -> Johns Hopkins U.<sup>a</sup>,All institutions,Johns Hopkins U.<sup>a</sup>,2,4,"['664,206', 'i']","['703,372', 'i']","['727,074', 'i']","['736,373', 'i']","['448,573', '']","['473,490', '']","['478,556', '']","['492,957', '']"
5427,r006,All institutions -> Yale U.,All institutions,Yale U.,2,5,"['606,423', '']","['632,347', '']","['691,959', '']","['726,089', '']","['335,422', '']","['333,155', '']","['350,340', '']","['367,588', '']"
5427,r007,All institutions -> Duke U.,All institutions,Duke U.,2,6,"['696,085', '']","['718,370', '']","['749,965', '']","['717,323', '']","['317,058', '']","['323,754', '']","['355,135', '']","['353,311', '']"
5427,r008,"All institutions -> U. North Carolina, Chapel Hill",All institutions,"U. North Carolina, Chapel Hill",2,7,"['634,348', '']","['668,660', '']","['680,788', '']","['700,352', '']","['358,446', '']","['374,638', '']","['387,808', '']","['398,199', '']"
5427,r009,"All institutions -> U. Washington, Seattle",All institutions,"U. Washington, Seattle",2,8,"['583,219', '']","['620,609', '']","['655,372', '']","['660,692', '']","['433,509', '']","['465,210', '']","['486,924', '']","['489,241', '']"
5427,r010,"All institutions -> U. Pittsburgh, Pittsburgh",All institutions,"U. Pittsburgh, Pittsburgh",2,9,"['533,779', '']","['583,096', '']","['641,144', '']","['659,733', '']","['346,257', '']","['373,157', '']","['396,027', '']","['400,747', '']"
