table_id,row_id,race_and_ethnicity_of_owners_full_path,race_and_ethnicity_of_owners_level_1,race_and_ethnicity_of_owners_level_2,race_and_ethnicity_of_owners_level_3,race_and_ethnicity_of_owners_level_4,race_and_ethnicity_of_owners_hierarchy_depth,field_companies_number_,field_innovation_r_d_activity_number_yes,field_innovation_r_d_activity_number_no,field_innovation_r_d_activity_percent_yes,field_innovation_r_d_activity_percent_no
7435,r001,All companies (race and ethnicity),All companies (race and ethnicity),,,,1,"['1,053,189', '&nbsp;']","['277,781', '&nbsp;']","['775,408', '&nbsp;']","['26.4', '&nbsp;']","['73.6', '&nbsp;']"
7435,r002,All companies (race and ethnicity) -> Race,All companies (race and ethnicity),Race,,,2,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
7435,r003,All companies (race and ethnicity) -> Race -> White,All companies (race and ethnicity),Race,White,,3,"['883,408', '&nbsp;']","['231,326', '&nbsp;']","['652,082', '&nbsp;']","['26.2', '&nbsp;']","['73.8', '&nbsp;']"
7435,r004,All companies (race and ethnicity) -> Race -> Asian,All companies (race and ethnicity),Race,Asian,,3,"['127,685', '&nbsp;']","['34,001', '&nbsp;']","['93,684', '&nbsp;']","['26.6', '&nbsp;']","['73.4', '&nbsp;']"
7435,r005,All companies (race and ethnicity) -> Race -> Black or African American,All companies (race and ethnicity),Race,Black or African American,,3,"['27,277', '&nbsp;']","['6,822', '&nbsp;']","['20,455', '&nbsp;']","['25.0', '&nbsp;']","['75.0', '&nbsp;']"
7435,r006,All companies (race and ethnicity) -> Race -> American Indian or Alaska Native,All companies (race and ethnicity),Race,American Indian or Alaska Native,,3,"['4,804', '&nbsp;']","['1,186', '&nbsp;']","['3,618', '&nbsp;']","['24.7', '&nbsp;']","['75.3', '&nbsp;']"
7435,r007,All companies (race and ethnicity) -> Race -> Native Hawaiian or Other Pacific Islander,All companies (race and ethnicity),Race,Native Hawaiian or Other Pacific Islander,,3,"['1,492', '&nbsp;']","['288', '&nbsp;']","['1,204', '&nbsp;']","['19.3', '&nbsp;']","['80.7', '&nbsp;']"
7435,r008,All companies (race and ethnicity) -> Ethnicity,All companies (race and ethnicity),Ethnicity,,,2,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
7435,r009,All companies (race and ethnicity) -> Ethnicity -> Hispanic or Latino,All companies (race and ethnicity),Ethnicity,Hispanic or Latino,,3,"['77,239', '&nbsp;']","['17,212', '&nbsp;']","['60,027', '&nbsp;']","['22.3', '&nbsp;']","['77.7', '&nbsp;']"
7435,r010,All companies (race and ethnicity) -> Ethnicity -> Equally Hispanic and not Hispanic,All companies (race and ethnicity),Ethnicity,Equally Hispanic and not Hispanic,,3,"['10,406', '&nbsp;']","['3,427', '&nbsp;']","['6,979', '&nbsp;']","['32.9', '&nbsp;']","['67.1', '&nbsp;']"
7435,r011,All companies (race and ethnicity) -> Ethnicity -> Not Hispanic,All companies (race and ethnicity),Ethnicity,Not Hispanic,,3,"['956,226', '&nbsp;']","['252,785', '&nbsp;']","['703,441', '&nbsp;']","['26.4', '&nbsp;']","['73.6', '&nbsp;']"
7435,r012,All companies (race and ethnicity) -> Minority status,All companies (race and ethnicity),Minority status,,,2,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
7435,r013,All companies (race and ethnicity) -> Minority status -> Minority,All companies (race and ethnicity),Minority status,Minority,,3,"['234,592', '&nbsp;']","['58,913', '&nbsp;']","['175,679', '&nbsp;']","['25.1', '&nbsp;']","['74.9', '&nbsp;']"
7435,r014,"All companies (race and ethnicity) -> Minority status -> Minority -> Black or African American, American Indian or Alaska Native, or Hispanic or Latino",All companies (race and ethnicity),Minority status,Minority,"Black or African American, American Indian or Alaska Native, or Hispanic or Latino",4,"['105,802', '&nbsp;']","['24,379', '&nbsp;']","['81,423', '&nbsp;']","['23.0', '&nbsp;']","['77.0', '&nbsp;']"
7435,r015,All companies (race and ethnicity) -> Minority status -> Equally minority and nonminority,All companies (race and ethnicity),Minority status,Equally minority and nonminority,,3,"['18,450', '&nbsp;']","['5,380', '&nbsp;']","['13,070', '&nbsp;']","['29.2', '&nbsp;']","['70.8', '&nbsp;']"
7435,r016,All companies (race and ethnicity) -> Minority status -> Nonminority,All companies (race and ethnicity),Minority status,Nonminority,,3,"['790,828', '&nbsp;']","['209,133', '&nbsp;']","['581,695', '&nbsp;']","['26.4', '&nbsp;']","['73.6', '&nbsp;']"
7435,r017,All companies (race and ethnicity) -> Unclassifiable,All companies (race and ethnicity),Unclassifiable,,,2,"['9,320', '&nbsp;']","['4,358', '&nbsp;']","['4,962', '&nbsp;']","['46.8', '&nbsp;']","['53.2', '&nbsp;']"
