table_id,row_id,_b_characteristic_b_full_path,_b_characteristic_b_level_1,_b_characteristic_b_level_2,_b_characteristic_b_level_3,_b_characteristic_b_hierarchy_depth,field_totala,field_u_s_citizen,field_non_u_s_citizen,field_hispanic_or_latino_u_s_citizen,field_hispanic_or_latino_non_u_s_citizen,field_not_hispanic_or_latino_american_indian_or_alaska_native_u_s_citizen,field_not_hispanic_or_latino_american_indian_or_alaska_native_non_u_s_citizen,field_not_hispanic_or_latino_asian_u_s_citizen,field_not_hispanic_or_latino_asian_non_u_s_citizen,field_not_hispanic_or_latino_black_or_african_american_u_s_citizen,field_not_hispanic_or_latino_black_or_african_american_non_u_s_citizen,field_not_hispanic_or_latino_white_u_s_citizen,field_not_hispanic_or_latino_white_non_u_s_citizen,field_not_hispanic_or_latino_more_than_one_race_u_s_citizen,field_not_hispanic_or_latino_more_than_one_race_non_u_s_citizen,field_not_hispanic_or_latino_other_race_or_race_not_reported_u_s_citizen,field_not_hispanic_or_latino_other_race_or_race_not_reported_non_u_s_citizen,field_ethnicity_not_reported_u_s_citizen,field_ethnicity_not_reported_non_u_s_citizen
7633,r001,All doctorate recipients (number),All doctorate recipients (number),,,1,52250,31674,17638,2856,1148,100,,3022,11551,2431,593,21333,3341,1088,,376,500,468,386
7633,r002,All doctorate recipients (number) -> Primary source of support (%)<sup>b</sup>,All doctorate recipients (number),Primary source of support (%)<sup>b</sup>,,2,,,,,,,,,,,,,,,,,,,
7633,r003,All doctorate recipients (number) -> Primary source of support (%)<sup>b</sup> -> Teaching assistantships,All doctorate recipients (number),Primary source of support (%)<sup>b</sup>,Teaching assistantships,3,21.3,19.5,24.4,18.4,23.1,10.3,,17.0,24.8,10.6,28.6,21.0,23.3,18.9,,21.3,18.1,23.4,21.6
7633,r004,All doctorate recipients (number) -> Primary source of support (%)<sup>b</sup> -> Research or other assistantships or traineeships<sup>c</sup>,All doctorate recipients (number),Primary source of support (%)<sup>b</sup>,Research or other assistantships or traineeships<sup>c</sup>,3,34.7,27.6,47.4,20.6,32.5,13.8,,35.1,53.0,13.2,35.1,29.4,36.9,23.9,,24.1,33.5,21.1,47.1
7633,r005,"All doctorate recipients (number) -> Primary source of support (%)<sup>b</sup> -> Fellowships, scholarships, or dissertation grants",All doctorate recipients (number),Primary source of support (%)<sup>b</sup>,"Fellowships, scholarships, or dissertation grants",3,24.2,27.0,19.4,34.4,30.3,36.8,,31.6,16.1,25.8,16.3,25.1,26.2,33.7,,25.9,28.5,24.0,19.6
7633,r006,All doctorate recipients (number) -> Primary source of support (%)<sup>b</sup> -> Own resources,All doctorate recipients (number),Primary source of support (%)<sup>b</sup>,Own resources,3,15.3,21.3,4.4,23.2,2.1,33.3,,13.4,4.1,44.3,15.4,19.6,4.0,20.7,,22.4,4.5,26.3,5.9
7633,r007,All doctorate recipients (number) -> Primary source of support (%)<sup>b</sup> -> Employer or other sources,All doctorate recipients (number),Primary source of support (%)<sup>b</sup>,Employer or other sources,3,4.5,4.6,4.5,3.4,12.1,5.7,,2.9,2.0,6.0,4.5,4.8,9.6,2.8,,6.3,15.4,5.3,5.9
7633,r008,All doctorate recipients (number) -> Bachelor's in same field as doctorate (%)<sup>d</sup>,All doctorate recipients (number),Bachelor's in same field as doctorate (%)<sup>d</sup>,,2,61.7,61.4,64.0,61.1,65.5,47.3,,60.6,64.3,46.2,54.7,63.7,64.5,58.2,,56.7,58.7,51.5,56.8
7633,r009,All doctorate recipients (number) -> Master's earned (%),All doctorate recipients (number),Master's earned (%),,2,75.1,73.0,80.3,71.7,84.1,90.2,,69.0,76.7,86.5,86.9,72.0,89.5,70.8,,79.5,88.2,84.1,80.3
7633,r010,All doctorate recipients (number) -> Master's earned (%) -> Master's earned at same doctorate institution (%),All doctorate recipients (number),Master's earned (%),Master's earned at same doctorate institution (%),3,45.7,51.3,36.5,52.7,42.7,48.8,,50.4,38.0,39.2,33.8,52.7,30.8,56.1,,48.6,30.8,52.7,35.5
7633,r011,All doctorate recipients (number) -> Marital status (%),All doctorate recipients (number),Marital status (%),,2,,,,,,,,,,,,,,,,,,,
7633,r012,All doctorate recipients (number) -> Marital status (%) -> Not married<sup>e</sup>,All doctorate recipients (number),Marital status (%),Not married<sup>e</sup>,3,38.3,36.0,48.7,36.3,44.2,36.0,,39.2,52.7,46.6,41.3,34.8,47.0,39.4,,27.9,18.6,11.5,9.1
7633,r013,All doctorate recipients (number) -> Marital status (%) -> Married or in marriage-like relationship,All doctorate recipients (number),Marital status (%),Married or in marriage-like relationship,3,49.5,56.9,44.2,55.7,51.8,51.0,,55.0,43.5,44.4,52.8,59.9,49.1,56.0,,44.4,22.2,17.7,14.2
7633,r014,All doctorate recipients (number) -> Marital status (%) -> Unknown,All doctorate recipients (number),Marital status (%),Unknown,3,12.2,7.1,7.1,7.9,4.0,13.0,,5.8,3.8,9.0,5.9,5.4,3.9,4.6,,27.7,59.2,70.7,76.7
7633,r015,All doctorate recipients (number) -> Has dependent age 18 or younger (%),All doctorate recipients (number),Has dependent age 18 or younger (%),,2,21.3,22.8,18.7,22.7,17.8,35.6,,21.0,16.0,32.7,45.1,22.0,22.6,20.0,,25.0,29.6,23.0,26.7
7633,r016,All doctorate recipients (number) -> Has one or more functional limitations (%),All doctorate recipients (number),Has one or more functional limitations (%),,2,11.3,12.8,8.5,17.0,11.3,19.5,,10.2,8.4,12.2,6.0,12.5,8.4,15.3,,17.4,7.0,10.5,9.4
7633,r017,All doctorate recipients (number) -> Age at doctorate (median years),All doctorate recipients (number),Age at doctorate (median years),,2,31.4,31.7,31.1,31.8,32.9,37.3,38.8,31.3,30.5,36.6,35.4,31.4,32.3,31.1,31.4,32.9,31.5,33.8,32.2
7633,r018,All doctorate recipients (number) -> Time to doctorate (median years),All doctorate recipients (number),Time to doctorate (median years),,2,,,,,,,,,,,,,,,,,,,
7633,r019,All doctorate recipients (number) -> Time to doctorate (median years) -> Years since earning bachelor's degree,All doctorate recipients (number),Time to doctorate (median years),Years since earning bachelor's degree,3,8.7,9.0,8.3,8.6,9.4,11.0,14.3,8.6,8.0,12.3,11.3,8.6,9.4,8.3,9.0,10.0,9.1,10.3,9.6
7633,r020,All doctorate recipients (number) -> Time to doctorate (median years) -> From graduate school start,All doctorate recipients (number),Time to doctorate (median years),From graduate school start,3,7.3,7.3,7.3,7.3,7.8,8.8,9.0,7.0,7.0,9.8,8.3,7.0,8.0,6.9,7.3,8.2,8.1,8.0,7.8
7633,r021,All doctorate recipients (number) -> Time to doctorate (median years) -> From doctoral program start<sup>f</sup>,All doctorate recipients (number),Time to doctorate (median years),From doctoral program start<sup>f</sup>,3,5.7,5.8,5.3,5.8,5.7,6.0,5.0,5.8,5.3,5.8,5.0,5.8,5.3,5.8,5.3,5.9,5.7,5.8,5.4
7633,r022,All doctorate recipients (number) -> Time to doctorate (median years) -> Received tuition remission (%),All doctorate recipients (number),Time to doctorate (median years),Received tuition remission (%),3,84.5,83.2,87.0,79.8,82.5,72.7,,85.6,90.6,66.1,78.3,85.3,79.3,85.0,,78.5,71.4,84.2,78.9
