table_id,row_id,_b_agency_b_full_path,_b_agency_b_level_1,_b_agency_b_level_2,_b_agency_b_level_3,_b_agency_b_level_4,_b_agency_b_hierarchy_depth,field_total,field_biological_aspects,field_social_aspects,field_other_psychological_sciences
3930,r001,All agencies surveyed,All agencies surveyed,,,,1,853894.4,15011.4,9260.2,829622.9
3930,r002,All agencies surveyed -> Departments,All agencies surveyed,Departments,,,2,,,,
3930,r003,All agencies surveyed -> Departments -> Department of Defense,All agencies surveyed,Departments,Department of Defense,,3,15922.4,3869.4,2157.9,9895.1
3930,r004,All agencies surveyed -> Departments -> Department of Defense -> Department of the Air Force,All agencies surveyed,Departments,Department of Defense,Department of the Air Force,4,610.8,0.0,277.7,333.1
3930,r005,All agencies surveyed -> Departments -> Department of Defense -> Department of the Navy,All agencies surveyed,Departments,Department of Defense,Department of the Navy,4,11349.7,1989.4,0.0,9360.3
3930,r006,All agencies surveyed -> Departments -> Department of Defense -> Other defense agencies,All agencies surveyed,Departments,Department of Defense,Other defense agencies,4,3961.9,1880.1,1880.2,201.6
3930,r007,All agencies surveyed -> Departments -> Department of Health and Human Services,All agencies surveyed,Departments,Department of Health and Human Services,,3,802479.4,0.0,0.0,802479.4
3930,r008,All agencies surveyed -> Departments -> Department of Health and Human Services -> National Institutes of Health,All agencies surveyed,Departments,Department of Health and Human Services,National Institutes of Health,4,802479.4,0.0,0.0,802479.4
3930,r009,All agencies surveyed -> Other agencies,All agencies surveyed,Other agencies,,,2,,,,
3930,r010,All agencies surveyed -> Other agencies -> National Science Foundation,All agencies surveyed,Other agencies,National Science Foundation,,3,35492.6,11142.0,7102.2,17248.4
