table_id,row_id,certification_or_license_held_and_primary_subject_of_certification_or_license_full_path,certification_or_license_held_and_primary_subject_of_certification_or_license_level_1,certification_or_license_held_and_primary_subject_of_certification_or_license_level_2,certification_or_license_held_and_primary_subject_of_certification_or_license_level_3,certification_or_license_held_and_primary_subject_of_certification_or_license_hierarchy_depth,field_broad_occupational_group_s_e,field_broad_occupational_group_s_e_related,field_broad_occupational_group_non_s_e
4408,r001,No certification or license,No certification or license,,,1,5738,2134,21386
4408,r002,Certification or license,Certification or license,,,1,1728,6760,12778
4408,r003,Certification or license -> Not related to work,Certification or license,Not related to work,,2,100,191,592
4408,r004,"Certification or license -> Related to work, primary subject of certification or license",Certification or license,"Related to work, primary subject of certification or license",,2,1629,6568,12186
4408,r005,"Certification or license -> Related to work, primary subject of certification or license -> Computer networking, administration, and security",Certification or license,"Related to work, primary subject of certification or license","Computer networking, administration, and security",3,228,27,63
4408,r006,"Certification or license -> Related to work, primary subject of certification or license -> Computer applications and design",Certification or license,"Related to work, primary subject of certification or license",Computer applications and design,3,123,18,42
4408,r007,"Certification or license -> Related to work, primary subject of certification or license -> Other information technologies and computers",Certification or license,"Related to work, primary subject of certification or license",Other information technologies and computers,3,108,17,35
4408,r008,"Certification or license -> Related to work, primary subject of certification or license -> Mathematics, statistics, and data analytics",Certification or license,"Related to work, primary subject of certification or license","Mathematics, statistics, and data analytics",3,3,25,10
4408,r009,"Certification or license -> Related to work, primary subject of certification or license -> Life sciences",Certification or license,"Related to work, primary subject of certification or license",Life sciences,3,29,26,52
4408,r010,"Certification or license -> Related to work, primary subject of certification or license -> Physical sciences",Certification or license,"Related to work, primary subject of certification or license",Physical sciences,3,42,28,25
4408,r011,"Certification or license -> Related to work, primary subject of certification or license -> Social sciences",Certification or license,"Related to work, primary subject of certification or license",Social sciences,3,136,36,82
4408,r012,"Certification or license -> Related to work, primary subject of certification or license -> Engineering, engineering technician, and engineering technologist",Certification or license,"Related to work, primary subject of certification or license","Engineering, engineering technician, and engineering technologist",3,381,114,130
4408,r013,"Certification or license -> Related to work, primary subject of certification or license -> Hazardous materials management, operations, and transporting",Certification or license,"Related to work, primary subject of certification or license","Hazardous materials management, operations, and transporting",3,18,4,29
4408,r014,"Certification or license -> Related to work, primary subject of certification or license -> Water and wastewater treatment, management, and operations",Certification or license,"Related to work, primary subject of certification or license","Water and wastewater treatment, management, and operations",3,10,12,21
4408,r015,"Certification or license -> Related to work, primary subject of certification or license -> EMT, CPR, or basic first aid",Certification or license,"Related to work, primary subject of certification or license","EMT, CPR, or basic first aid",3,3,133,87
4408,r016,"Certification or license -> Related to work, primary subject of certification or license -> Health care technician and technologist",Certification or license,"Related to work, primary subject of certification or license",Health care technician and technologist,3,16,355,51
4408,r017,"Certification or license -> Related to work, primary subject of certification or license -> Health care practitioner, provider, and specialist",Certification or license,"Related to work, primary subject of certification or license","Health care practitioner, provider, and specialist",3,15,1728,70
4408,r018,"Certification or license -> Related to work, primary subject of certification or license -> Nurse",Certification or license,"Related to work, primary subject of certification or license",Nurse,3,20,1773,82
4408,r019,"Certification or license -> Related to work, primary subject of certification or license -> Other health",Certification or license,"Related to work, primary subject of certification or license",Other health,3,26,1001,297
4408,r020,"Certification or license -> Related to work, primary subject of certification or license -> Teaching/education",Certification or license,"Related to work, primary subject of certification or license",Teaching/education,3,80,786,4148
4408,r021,"Certification or license -> Related to work, primary subject of certification or license -> Architecture",Certification or license,"Related to work, primary subject of certification or license",Architecture,3,3,107,22
4408,r022,"Certification or license -> Related to work, primary subject of certification or license -> Project management, quality control, operations, and support",Certification or license,"Related to work, primary subject of certification or license","Project management, quality control, operations, and support",3,175,91,633
4408,r023,"Certification or license -> Related to work, primary subject of certification or license -> Accounting, finance, insurance, and real estate",Certification or license,"Related to work, primary subject of certification or license","Accounting, finance, insurance, and real estate",3,42,18,2684
4408,r024,"Certification or license -> Related to work, primary subject of certification or license -> Social work and counseling",Certification or license,"Related to work, primary subject of certification or license",Social work and counseling,3,43,43,638
4408,r025,"Certification or license -> Related to work, primary subject of certification or license -> History, language, linguistics, and literature",Certification or license,"Related to work, primary subject of certification or license","History, language, linguistics, and literature",3,s,s,85
4408,r026,"Certification or license -> Related to work, primary subject of certification or license -> Arts, music, and entertainment",Certification or license,"Related to work, primary subject of certification or license","Arts, music, and entertainment",3,s,s,33
4408,r027,"Certification or license -> Related to work, primary subject of certification or license -> Law or legal support",Certification or license,"Related to work, primary subject of certification or license",Law or legal support,3,8,s,1126
4408,r028,"Certification or license -> Related to work, primary subject of certification or license -> Religious ordination",Certification or license,"Related to work, primary subject of certification or license",Religious ordination,3,s,s,149
4408,r029,"Certification or license -> Related to work, primary subject of certification or license -> Transportation",Certification or license,"Related to work, primary subject of certification or license",Transportation,3,7,12,266
4408,r030,"Certification or license -> Related to work, primary subject of certification or license -> Construction, automotive, manufacturing, and other skilled trades",Certification or license,"Related to work, primary subject of certification or license","Construction, automotive, manufacturing, and other skilled trades",3,31,49,235
4408,r031,"Certification or license -> Related to work, primary subject of certification or license -> Physical fitness, sports, and recreation",Certification or license,"Related to work, primary subject of certification or license","Physical fitness, sports, and recreation",3,s,37,112
4408,r032,"Certification or license -> Related to work, primary subject of certification or license -> Childcare",Certification or license,"Related to work, primary subject of certification or license",Childcare,3,s,s,27
4408,r033,"Certification or license -> Related to work, primary subject of certification or license -> Public safety",Certification or license,"Related to work, primary subject of certification or license",Public safety,3,18,18,367
4408,r034,"Certification or license -> Related to work, primary subject of certification or license -> Other fields",Certification or license,"Related to work, primary subject of certification or license",Other fields,3,13,19,371
4408,r035,"Certification or license -> Related to work, primary subject of certification or license -> Missing",Certification or license,"Related to work, primary subject of certification or license",Missing,3,43,73,214
