table_id,row_id,_b_state_institutional_control_and_institution_b_full_path,_b_state_institutional_control_and_institution_b_level_1,_b_state_institutional_control_and_institution_b_level_2,_b_state_institutional_control_and_institution_b_level_3,_b_state_institutional_control_and_institution_b_level_4,_b_state_institutional_control_and_institution_b_hierarchy_depth,field_all_personnel_functions_headcount,field_all_personnel_functions_ftes,field_researchers_headcount,field_researchers_ftes,field_r_d_technicians_headcount,field_r_d_technicians_ftes,field_r_d_support_staff_headcount,field_r_d_support_staff_ftes
12726,r001,United States,United States,,,,1,"['1,064,295', '']","['518,383', '']","['380,165', '']","['200,061', '']","['403,388', '']","['195,114', '']","['280,742', '']","['123,208', '']"
12726,r002,United States -> Alabama,United States,Alabama,,,2,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
12726,r003,United States -> Alabama -> Public,United States,Alabama,Public,,3,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
12726,r004,United States -> Alabama -> Public -> Alabama A&M U.,United States,Alabama,Public,Alabama A&M U.,4,"['299', '']","['128.9', '']","['51', '']","['15.1', '']","['118', '']","['62.9', '']","['130', '']","['50.9', '']"
12726,r005,United States -> Alabama -> Public -> Alabama State U.,United States,Alabama,Public,Alabama State U.,4,"['150', 'i']","['65.0', 'i']","['63', 'i']","['28.5', 'i']","['44', 'i']","['22.1', 'i']","['43', 'i']","['14.4', 'i']"
12726,r006,"United States -> Alabama -> Public -> Auburn U., Auburn",United States,Alabama,Public,"Auburn U., Auburn",4,"['4,742', 'i']","['2,083.4', 'i']","['1,498', 'i']","['682.5', 'i']","['1,924', 'i']","['963.0', 'i']","['1,320', 'i']","['437.9', 'i']"
12726,r007,United States -> Alabama -> Public -> Troy U.,United States,Alabama,Public,Troy U.,4,"['45', '']","['22.0', '']","['20', '']","['11.0', '']","['21', '']","['10.0', '']","['4', '']","['1.0', '']"
12726,r008,"United States -> Alabama -> Public -> U. Alabama, Birmingham",United States,Alabama,Public,"U. Alabama, Birmingham",4,"['5,317', 'i']","['2,117.4', 'i']","['1,680', 'i']","['765.3', 'i']","['2,157', 'i']","['861.1', 'i']","['1,480', 'i']","['491.0', 'i']"
12726,r009,"United States -> Alabama -> Public -> U. Alabama, Huntsville",United States,Alabama,Public,"U. Alabama, Huntsville",4,"['1,464', '']","['675.0', 'i']","['851', '']","['387.7', 'i']","['497', '']","['248.8', 'i']","['116', '']","['38.5', 'i']"
12726,r010,"United States -> Alabama -> Public -> U. Alabama, Tuscaloosa",United States,Alabama,Public,"U. Alabama, Tuscaloosa",4,"['2,939', '']","['1,282.8', '']","['1,315', '']","['560.3', '']","['1,515', '']","['662.0', '']","['109', '']","['60.5', '']"
12726,r011,United States -> Alabama -> Public -> U. South Alabama,United States,Alabama,Public,U. South Alabama,4,"['656', '']","['227.8', '']","['164', '']","['84.2', '']","['136', '']","['80.4', '']","['356', '']","['63.2', '']"
12726,r012,United States -> Alabama -> Private,United States,Alabama,Private,,3,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
12726,r013,United States -> Alabama -> Private -> Tuskegee U.,United States,Alabama,Private,Tuskegee U.,4,"['24', '']","['19.0', '']","['24', '']","['6.0', '']","['0', '']","['10.0', '']","['0', '']","['3.0', '']"
12726,r014,United States -> Alaska,United States,Alaska,,,2,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
12726,r015,United States -> Alaska -> Public,United States,Alaska,Public,,3,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
12726,r016,"United States -> Alaska -> Public -> U. Alaska, Anchorage",United States,Alaska,Public,"U. Alaska, Anchorage",4,"['1,415', '']","['1,098.0', '']","['57', '']","['51.0', '']","['NA', '']","['NA', '']","['1,358', '']","['1,047.0', '']"
12726,r017,"United States -> Alaska -> Public -> U. Alaska, Fairbanks",United States,Alaska,Public,"U. Alaska, Fairbanks",4,"['1,415', '']","['1,098.0', '']","['204', '']","['188.0', '']","['NA', '']","['NA', '']","['1,211', '']","['910.0', '']"
12726,r018,"United States -> Alaska -> Public -> U. Alaska, Southeast",United States,Alaska,Public,"U. Alaska, Southeast",4,"['1,415', '']","['1,098.0', '']","['13', '']","['12.0', '']","['NA', '']","['NA', '']","['1,402', '']","['1,086.0', '']"
12726,r019,United States -> Alaska -> Private,United States,Alaska,Private,,3,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
12726,r020,United States -> Alaska -> Private -> Alaska Pacific U.,United States,Alaska,Private,Alaska Pacific U.,4,"['52', '']","['10.0', '']","['33', '']","['6.4', '']","['16', '']","['2.8', '']","['3', '']","['0.8', '']"
12726,r021,United States -> Arizona,United States,Arizona,,,2,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
12726,r022,United States -> Arizona -> Public,United States,Arizona,Public,,3,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
12726,r023,United States -> Arizona -> Public -> Arizona State U.,United States,Arizona,Public,Arizona State U.,4,"['10,803', '']","['1,419.0', '']","['5,283', '']","['780.0', '']","['2,815', '']","['171.0', '']","['2,705', '']","['468.0', '']"
12726,r024,United States -> Arizona -> Public -> Dine C.,United States,Arizona,Public,Dine C.,4,"['12', '']","['5.8', '']","['12', '']","['5.8', '']","['0', '']","['0.0', '']","['NA', '']","['NA', '']"
12726,r025,United States -> Arizona -> Public -> Northern Arizona U.,United States,Arizona,Public,Northern Arizona U.,4,"['1,322', '']","['543.2', '']","['242', '']","['235.3', '']","['353', '']","['221.2', '']","['727', '']","['86.7', '']"
12726,r026,United States -> Arizona -> Public -> U. Arizona,United States,Arizona,Public,U. Arizona,4,"['9,722', '']","['3,767.0', '']","['1,476', '']","['587.0', '']","['2,760', '']","['1,582.0', '']","['5,486', '']","['1,598.0', '']"
12726,r027,United States -> Arkansas,United States,Arkansas,,,2,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
12726,r028,United States -> Arkansas -> Public,United States,Arkansas,Public,,3,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
12726,r029,"United States -> Arkansas -> Public -> Arkansas State U., Jonesboro",United States,Arkansas,Public,"Arkansas State U., Jonesboro",4,"['264', '']","['63.0', '']","['101', '']","['30.0', '']","['138', '']","['21.0', '']","['25', '']","['12.0', '']"
12726,r030,United States -> Arkansas -> Public -> U. Arkansas for Medical Sciences,United States,Arkansas,Public,U. Arkansas for Medical Sciences,4,"['1,642', 'i']","['666.7', 'i']","['485', 'i']","['220.7', 'i']","['917', 'i']","['366.2', 'i']","['240', 'i']","['79.8', 'i']"
12726,r031,"United States -> Arkansas -> Public -> U. Arkansas, Fayetteville",United States,Arkansas,Public,"U. Arkansas, Fayetteville",4,"['2,753', '']","['1,531.0', '']","['958', '']","['641.0', '']","['1,131', '']","['636.0', '']","['664', '']","['254.0', '']"
12726,r032,"United States -> Arkansas -> Public -> U. Arkansas, Little Rock",United States,Arkansas,Public,"U. Arkansas, Little Rock",4,"['330', 'i']","['139.6', 'i']","['84', 'i']","['38.3', 'i']","['118', 'i']","['58.8', 'i']","['128', 'i']","['42.5', 'i']"
12726,r033,"United States -> Arkansas -> Public -> U. Arkansas, Pine Bluff",United States,Arkansas,Public,"U. Arkansas, Pine Bluff",4,"['163', '']","['94.0', '']","['64', '']","['25.0', '']","['80', '']","['57.0', '']","['19', '']","['12.0', '']"
12726,r034,United States -> Arkansas -> Public -> U. Central Arkansas,United States,Arkansas,Public,U. Central Arkansas,4,"['156', '']","['64.9', 'i']","['102', '']","['46.5', 'i']","['3', '']","['1.5', 'i']","['51', '']","['16.9', 'i']"
12726,r035,United States -> California,United States,California,,,2,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
12726,r036,United States -> California -> Public,United States,California,Public,,3,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
12726,r037,"United States -> California -> Public -> California Polytechnic State U., San Luis Obispo",United States,California,Public,"California Polytechnic State U., San Luis Obispo",4,"['987', '']","['485.6', 'i']","['190', '']","['86.6', 'i']","['797', '']","['399.0', 'i']","['0', '']","['0.0', '']"
12726,r038,"United States -> California -> Public -> California State Polytechnic U., Humboldt",United States,California,Public,"California State Polytechnic U., Humboldt",4,"['568', '']","['107.4', '']","['77', '']","['11.9', '']","['179', '']","['43.1', '']","['312', '']","['52.4', '']"
12726,r039,"United States -> California -> Public -> California State Polytechnic U., Pomona",United States,California,Public,"California State Polytechnic U., Pomona",4,"['395', '']","['47.0', '']","['153', '']","['11.0', '']","['23', '']","['6.0', '']","['219', '']","['30.0', '']"
12726,r040,"United States -> California -> Public -> California State U., Bakersfield",United States,California,Public,"California State U., Bakersfield",4,"['53', '']","['13.5', '']","['24', '']","['4.9', '']","['25', '']","['8.3', '']","['4', '']","['0.3', '']"
12726,r041,"United States -> California -> Public -> California State U., Channel Islands",United States,California,Public,"California State U., Channel Islands",4,"['120', '']","['17.7', '']","['55', '']","['6.7', '']","['60', '']","['8.4', '']","['5', '']","['2.6', '']"
