table_id,row_id,time_period,broad_field_e_g_ndgmebg_level_1,broad_field_e_g_ndgmebg_level_2,broad_field_e_g_ndgmebg_hierarchy_depth,value
5280,r001_1,1,"Broad field (e.g., NDGMEBG)",Label,2,S&E fields
5280,r001_2,1,"Major field (e.g., NDGMEMG)",Code,2,1
5280,r001_3,1,"Major field (e.g., NDGMEMG)",Label,2,Computer and mathematical sciences
5280,r001_4,1,"Minor field (e.g., NDGMENG)",Code,2,11
5280,r001_5,1,"Minor field (e.g., NDGMENG)",Label,2,Computer and information sciences
5280,r001_6,1,"Detailed field (e.g., N2DGRMED)",Code,2,116710
5280,r001_7,1,"Detailed field (e.g., N2DGRMED)",Label,2,Computer and information sciences
5280,r002_6,,"Detailed field (e.g., N2DGRMED)",Code,2,116730
5280,r002_7,,"Detailed field (e.g., N2DGRMED)",Label,2,Computer science
5280,r003_6,,"Detailed field (e.g., N2DGRMED)",Code,2,116740
5280,r003_7,,"Detailed field (e.g., N2DGRMED)",Label,2,Computer systems analysis
5280,r004_6,,"Detailed field (e.g., N2DGRMED)",Code,2,116760
5280,r004_7,,"Detailed field (e.g., N2DGRMED)",Label,2,Information services and systems
5280,r005_6,,"Detailed field (e.g., N2DGRMED)",Code,2,116770
5280,r005_7,,"Detailed field (e.g., N2DGRMED)",Label,2,Other computer and information sciences
5280,r006_4,,"Minor field (e.g., NDGMENG)",Code,2,12
5280,r006_5,,"Minor field (e.g., NDGMENG)",Label,2,Mathematics and statistics
5280,r006_6,,"Detailed field (e.g., N2DGRMED)",Code,2,128410
5280,r006_7,,"Detailed field (e.g., N2DGRMED)",Label,2,Applied mathematics
5280,r007_6,,"Detailed field (e.g., N2DGRMED)",Code,2,128420
5280,r007_7,,"Detailed field (e.g., N2DGRMED)",Label,2,"Mathematics, general"
5280,r008_6,,"Detailed field (e.g., N2DGRMED)",Code,2,128430
5280,r008_7,,"Detailed field (e.g., N2DGRMED)",Label,2,Operations research
5280,r009_6,,"Detailed field (e.g., N2DGRMED)",Code,2,128440
5280,r009_7,,"Detailed field (e.g., N2DGRMED)",Label,2,Statistics
5280,r010_6,,"Detailed field (e.g., N2DGRMED)",Code,2,128450
5280,r010_7,,"Detailed field (e.g., N2DGRMED)",Label,2,Other mathematics
5280,r011_2,,"Major field (e.g., NDGMEMG)",Code,2,2
5280,r011_3,,"Major field (e.g., NDGMEMG)",Label,2,"Biological, agricultural, and environmental life sciences"
5280,r011_4,,"Minor field (e.g., NDGMENG)",Code,2,21
5280,r011_5,,"Minor field (e.g., NDGMENG)",Label,2,Agricultural and food sciences
5280,r011_6,,"Detailed field (e.g., N2DGRMED)",Code,2,216050
5280,r011_7,,"Detailed field (e.g., N2DGRMED)",Label,2,Animal sciences
5280,r012_6,,"Detailed field (e.g., N2DGRMED)",Code,2,216060
5280,r012_7,,"Detailed field (e.g., N2DGRMED)",Label,2,Food sciences and technology
5280,r013_6,,"Detailed field (e.g., N2DGRMED)",Code,2,216070
5280,r013_7,,"Detailed field (e.g., N2DGRMED)",Label,2,Plant sciences
5280,r014_6,,"Detailed field (e.g., N2DGRMED)",Code,2,216080
5280,r014_7,,"Detailed field (e.g., N2DGRMED)",Label,2,Other agricultural sciences
5280,r015_4,,"Minor field (e.g., NDGMENG)",Code,2,22
5280,r015_5,,"Minor field (e.g., NDGMENG)",Label,2,Biological sciences
5280,r015_6,,"Detailed field (e.g., N2DGRMED)",Code,2,226310
5280,r015_7,,"Detailed field (e.g., N2DGRMED)",Label,2,Biochemistry and biophysics
5280,r016_6,,"Detailed field (e.g., N2DGRMED)",Code,2,226320
5280,r016_7,,"Detailed field (e.g., N2DGRMED)",Label,2,"Biology, general"
5280,r017_6,,"Detailed field (e.g., N2DGRMED)",Code,2,226330
5280,r017_7,,"Detailed field (e.g., N2DGRMED)",Label,2,Botany
5280,r018_6,,"Detailed field (e.g., N2DGRMED)",Code,2,226340
5280,r018_7,,"Detailed field (e.g., N2DGRMED)",Label,2,Cell and molecular biology
5280,r019_6,,"Detailed field (e.g., N2DGRMED)",Code,2,226350
5280,r019_7,,"Detailed field (e.g., N2DGRMED)",Label,2,Ecology
5280,r020_6,,"Detailed field (e.g., N2DGRMED)",Code,2,226360
5280,r020_7,,"Detailed field (e.g., N2DGRMED)",Label,2,"Genetics, animal and plant"
5280,r021_6,,"Detailed field (e.g., N2DGRMED)",Code,2,226370
5280,r021_7,,"Detailed field (e.g., N2DGRMED)",Label,2,Microbiological sciences and immunology
5280,r022_6,,"Detailed field (e.g., N2DGRMED)",Code,2,226380
5280,r022_7,,"Detailed field (e.g., N2DGRMED)",Label,2,Nutritional sciences
5280,r023_6,,"Detailed field (e.g., N2DGRMED)",Code,2,226390
5280,r023_7,,"Detailed field (e.g., N2DGRMED)",Label,2,"Pharmacology, human and animal"
5280,r024_6,,"Detailed field (e.g., N2DGRMED)",Code,2,226400
5280,r024_7,,"Detailed field (e.g., N2DGRMED)",Label,2,"Physiology and pathology, human and animal"
5280,r025_6,,"Detailed field (e.g., N2DGRMED)",Code,2,226410
5280,r025_7,,"Detailed field (e.g., N2DGRMED)",Label,2,"Zoology, general"
5280,r026_6,,"Detailed field (e.g., N2DGRMED)",Code,2,226420
5280,r026_7,,"Detailed field (e.g., N2DGRMED)",Label,2,Other biological sciences
5280,r027_4,,"Minor field (e.g., NDGMENG)",Code,2,23
5280,r027_5,,"Minor field (e.g., NDGMENG)",Label,2,Environmental life sciences
5280,r027_6,,"Detailed field (e.g., N2DGRMED)",Code,2,236800
5280,r027_7,,"Detailed field (e.g., N2DGRMED)",Label,2,Environmental science or studies
5280,r028_6,,"Detailed field (e.g., N2DGRMED)",Code,2,236810
5280,r028_7,,"Detailed field (e.g., N2DGRMED)",Label,2,Forestry sciences
5280,r029_2,,"Major field (e.g., NDGMEMG)",Code,2,3
5280,r029_3,,"Major field (e.g., NDGMEMG)",Label,2,Physical and related sciences
5280,r029_4,,"Minor field (e.g., NDGMENG)",Code,2,31
5280,r029_5,,"Minor field (e.g., NDGMENG)",Label,2,"Chemistry, except biochemistry"
5280,r029_6,,"Detailed field (e.g., N2DGRMED)",Code,2,318730
5280,r029_7,,"Detailed field (e.g., N2DGRMED)",Label,2,"Chemistry, except biochemistry"
5280,r030_4,,"Minor field (e.g., NDGMENG)",Code,2,32
5280,r030_5,,"Minor field (e.g., NDGMENG)",Label,2,"Earth, atmospheric, and ocean sciences"
5280,r030_6,,"Detailed field (e.g., N2DGRMED)",Code,2,328720
5280,r030_7,,"Detailed field (e.g., N2DGRMED)",Label,2,Atmospheric sciences and meteorology
5280,r031_6,,"Detailed field (e.g., N2DGRMED)",Code,2,328740
5280,r031_7,,"Detailed field (e.g., N2DGRMED)",Label,2,Earth sciences
5280,r032_6,,"Detailed field (e.g., N2DGRMED)",Code,2,328750
5280,r032_7,,"Detailed field (e.g., N2DGRMED)",Label,2,Geology
5280,r033_6,,"Detailed field (e.g., N2DGRMED)",Code,2,328760
5280,r033_7,,"Detailed field (e.g., N2DGRMED)",Label,2,"Geological sciences, other (including oceanography)a"
5280,r034_4,,"Minor field (e.g., NDGMENG)",Code,2,33
5280,r034_5,,"Minor field (e.g., NDGMENG)",Label,2,Physics and astronomy
5280,r034_6,,"Detailed field (e.g., N2DGRMED)",Code,2,338710
5280,r034_7,,"Detailed field (e.g., N2DGRMED)",Label,2,Astronomy and astrophysics
5280,r035_6,,"Detailed field (e.g., N2DGRMED)",Code,2,338780
5280,r035_7,,"Detailed field (e.g., N2DGRMED)",Label,2,Physics
5280,r036_4,,"Minor field (e.g., NDGMENG)",Code,2,34
5280,r036_5,,"Minor field (e.g., NDGMENG)",Label,2,Other physical sciences
5280,r036_6,,"Detailed field (e.g., N2DGRMED)",Code,2,348790
5280,r036_7,,"Detailed field (e.g., N2DGRMED)",Label,2,Other physical sciences
5280,r037_2,,"Major field (e.g., NDGMEMG)",Code,2,4
5280,r037_3,,"Major field (e.g., NDGMEMG)",Label,2,Social and related sciences
5280,r037_4,,"Minor field (e.g., NDGMENG)",Code,2,41
5280,r037_5,,"Minor field (e.g., NDGMENG)",Label,2,Economics
