table_id,row_id,_b_fy_2019_survey_b_full_path,_b_fy_2019_survey_b_level_1,_b_fy_2019_survey_b_level_2,_b_fy_2019_survey_b_hierarchy_depth,field_fy_2020_survey
5369,r001,"Augustana C., Rock Island","Augustana C., Rock Island",,1,Augustana C.
5369,r002,Coker C.,Coker C.,,1,Coker U.
5369,r003,Dordt C.,Dordt C.,,1,Dordt U.
5369,r004,Elmhurst C.,Elmhurst C.,,1,Elmhurst U.
5369,r005,Lasell C.,Lasell C.,,1,Lasell U.
5369,r006,New York Chiropractic C.,New York Chiropractic C.,,1,Northeast C. of Health Sciences
5369,r007,Multiple campuses,Multiple campuses,,1,"U. Tennessee, Knoxville"
5369,r008,"Multiple campuses -> U. Tennessee, Knoxville",Multiple campuses,"U. Tennessee, Knoxville",2,
5369,r009,"Multiple campuses -> U. Tennessee, Knoxville, Institute of Agriculture",Multiple campuses,"U. Tennessee, Knoxville, Institute of Agriculture",2,
5369,r010,Western State Colorado U.,Western State Colorado U.,,1,Western Colorado U.
5369,r011,Wheeling Jesuit U.,Wheeling Jesuit U.,,1,Wheeling U.
