table_id,row_id,_b_institution_b_full_path,_b_institution_b_level_1,_b_institution_b_level_2,_b_institution_b_hierarchy_depth,field_rank,field_nsf_r_d_expenditures,field_computer_and_information_sciences,field_geosciences_atmospheric_sciences_and_ocean_sciences,field_life_sciences,field_mathematics_and_statistics,field_physical_sciences,field_psychology,field_social_sciences,field_sciences_nec,field_engineering,field_all_non_s_e_fields
7995,r001,All institutions,All institutions,,1,-,"['5,410,561', '']","['707,395', '']","['653,911', '']","['734,797', '']","['205,576', '']","['1,070,906', '']","['80,771', '']","['154,079', '']","['96,865', '']","['1,391,029', '']","['315,232', '']"
7995,r002,All institutions -> Woods Hole Oceanographic Institution,All institutions,Woods Hole Oceanographic Institution,2,1,"['120,859', '']","['0', '']","['65,308', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['55,551', '']","['0', '']"
7995,r003,"All institutions -> U. Illinois, Urbana-Champaign",All institutions,"U. Illinois, Urbana-Champaign",2,2,"['120,001', '']","['43,553', '']","['2,213', '']","['7,341', '']","['1,901', '']","['20,035', '']","['2,475', '']","['1,021', '']","['333', '']","['37,188', '']","['3,941', '']"
7995,r004,"All institutions -> U. Washington, Seattle",All institutions,"U. Washington, Seattle",2,3,"['115,139', '']","['9,210', '']","['29,179', '']","['10,708', '']","['1,983', '']","['14,316', '']","['3,022', '']","['2,472', '']","['0', '']","['31,224', '']","['13,025', '']"
7995,r005,"All institutions -> Texas A&M U., College Station and Health Science Center",All institutions,"Texas A&M U., College Station and Health Science Center",2,4,"['111,581', '']","['5,591', '']","['64,804', '']","['5,606', '']","['3,424', '']","['8,037', '']","['0', '']","['762', '']","['209', '']","['22,362', '']","['786', '']"
7995,r006,All institutions -> Cornell U.,All institutions,Cornell U.,2,5,"['110,332', '']","['12,648', '']","['2,588', '']","['16,815', '']","['1,973', '']","['43,374', '']","['699', '']","['2,506', '']","['0', '']","['28,518', '']","['1,211', '']"
7995,r007,"All institutions -> U. Michigan, Ann Arbor",All institutions,"U. Michigan, Ann Arbor",2,6,"['97,499', '']","['3,305', '']","['2,217', '']","['11,687', '']","['4,100', '']","['13,744', '']","['1,783', '']","['16,297', '']","['314', '']","['38,842', '']","['5,210', '']"
7995,r008,"All institutions -> U. Texas, Austin",All institutions,"U. Texas, Austin",2,7,"['97,303', '']","['36,412', '']","['8,124', '']","['7,446', '']","['2,526', '']","['9,619', '']","['546', '']","['1,930', '']","['0', '']","['27,325', '']","['3,375', '']"
7995,r009,All institutions -> Massachusetts Institute of Technology,All institutions,Massachusetts Institute of Technology,2,8,"['93,738', '']","['13,933', '']","['8,213', '']","['7,932', '']","['3,762', '']","['29,118', '']","['177', '']","['1,556', '']","['1,705', '']","['25,949', '']","['1,393', '']"
7995,r010,"All institutions -> U. California, San Diego",All institutions,"U. California, San Diego",2,9,"['90,861', '']","['14,622', '']","['27,072', '']","['5,090', '']","['2,520', '']","['6,290', '']","['2,914', '']","['563', '']","['5,057', '']","['26,493', '']","['240', '']"
7995,r011,All institutions -> U. Wisconsin-Madison,All institutions,U. Wisconsin-Madison,2,10,"['90,800', '']","['10,666', '']","['11,018', '']","['12,117', '']","['3,196', '']","['28,107', '']","['1,288', '']","['1,822', '']","['1,731', '']","['14,291', '']","['6,564', '']"
7995,r012,All institutions -> Columbia U. in the City of New York,All institutions,Columbia U. in the City of New York,2,11,"['89,066', '']","['10,268', '']","['34,547', '']","['7,354', '']","['1,786', '']","['16,377', '']","['424', '']","['1,102', '']","['0', '']","['12,975', '']","['4,233', '']"
7995,r013,All institutions -> California Institute of Technology,All institutions,California Institute of Technology,2,12,"['88,858', '']","['2,441', '']","['6,789', '']","['2,614', '']","['605', '']","['71,651', '']","['0', '']","['0', '']","['0', '']","['4,175', '']","['583', '']"
7995,r014,All institutions -> U. Colorado Boulder,All institutions,U. Colorado Boulder,2,13,"['87,115', '']","['10,193', '']","['19,629', '']","['4,913', '']","['1,607', '']","['19,014', '']","['492', '']","['4,105', '']","['730', '']","['14,878', '']","['11,554', '']"
7995,r015,All institutions -> Stanford U.,All institutions,Stanford U.,2,14,"['79,576', '']","['5,854', '']","['4,509', '']","['9,539', '']","['3,017', '']","['14,718', '']","['1,048', '']","['3,072', '']","['0', '']","['15,182', '']","['22,637', '']"
7995,r016,All institutions -> Michigan State U.,All institutions,Michigan State U.,2,15,"['71,392', '']","['3,258', '']","['878', '']","['17,197', '']","['3,363', '']","['32,201', '']","['937', '']","['1,651', '']","['942', '']","['5,676', '']","['5,289', '']"
7995,r017,All institutions -> Carnegie Mellon U.,All institutions,Carnegie Mellon U.,2,16,"['70,532', '']","['46,110', '']","['277', '']","['926', '']","['1,823', '']","['3,706', '']","['1,557', '']","['495', '']","['3,641', '']","['11,848', '']","['149', '']"
7995,r018,"All institutions -> Purdue U., West Lafayette",All institutions,"Purdue U., West Lafayette",2,17,"['70,105', '']","['7,776', '']","['1,664', '']","['6,551', '']","['483', '']","['8,790', '']","['302', '']","['1,156', '']","['16', '']","['38,310', '']","['5,057', '']"
7995,r019,All institutions -> Arizona State U.,All institutions,Arizona State U.,2,18,"['69,074', '']","['5,504', '']","['4,227', '']","['10,834', '']","['1,076', '']","['5,466', '']","['668', '']","['6,130', '']","['6,670', '']","['26,866', '']","['1,633', '']"
7995,r020,"All institutions -> Pennsylvania State U., University Park and Hershey Medical Center",All institutions,"Pennsylvania State U., University Park and Hershey Medical Center",2,19,"['68,873', '']","['7,819', '']","['7,301', '']","['8,337', '']","['2,826', '']","['13,972', '']","['1,784', '']","['1,856', '']","['0', '']","['19,360', '']","['5,618', '']"
7995,r021,"All institutions -> U. Minnesota, Twin Cities",All institutions,"U. Minnesota, Twin Cities",2,20,"['68,332', '']","['7,111', '']","['7,674', '']","['12,167', '']","['3,954', '']","['7,946', '']","['1,134', '']","['2,545', '']","['126', '']","['24,191', '']","['1,484', '']"
7995,r022,All institutions -> Princeton U.,All institutions,Princeton U.,2,21,"['66,663', '']","['11,167', '']","['9,146', '']","['4,399', '']","['3,700', '']","['22,328', '']","['1,373', '']","['1,705', '']","['0', '']","['12,690', '']","['155', '']"
7995,r023,"All institutions -> U. California, Berkeley",All institutions,"U. California, Berkeley",2,22,"['63,624', '']","['144', '']","['1,879', '']","['8,193', '']","['4,979', '']","['15,377', '']","['1,337', '']","['1,095', '']","['4,842', '']","['23,224', '']","['2,554', '']"
7995,r024,All institutions -> Georgia Institute of Technology,All institutions,Georgia Institute of Technology,2,23,"['60,036', '']","['9,167', '']","['2,415', '']","['2,899', '']","['3,160', '']","['7,224', '']","['101', '']","['535', '']","['0', '']","['31,407', '']","['3,128', '']"
7995,r025,"All institutions -> U. California, Los Angeles",All institutions,"U. California, Los Angeles",2,24,"['59,959', '']","['6,070', '']","['6,792', '']","['5,704', '']","['3,889', '']","['8,588', '']","['1,563', '']","['2,151', '']","['4,801', '']","['13,264', '']","['7,137', '']"
7995,r026,All institutions -> U. Chicago,All institutions,U. Chicago,2,25,"['58,602', '']","['12,985', '']","['5,358', '']","['3,280', '']","['2,976', '']","['18,525', '']","['1,052', '']","['5,614', '']","['0', '']","['7,473', '']","['1,339', '']"
7995,r027,All institutions -> North Carolina State U.,All institutions,North Carolina State U.,2,26,"['55,951', '']","['9,154', '']","['1,746', '']","['7,341', '']","['4,986', '']","['3,567', '']","['561', '']","['552', '']","['218', '']","['24,066', '']","['3,760', '']"
7995,r028,All institutions -> U. Maryland<sup>a</sup>,All institutions,U. Maryland<sup>a</sup>,2,27,"['54,776', '']","['7,810', '']","['3,919', '']","['6,792', '']","['2,113', '']","['16,619', '']","['215', '']","['2,945', '']","['264', '']","['11,892', '']","['2,207', '']"
7995,r029,All institutions -> Northwestern U.,All institutions,Northwestern U.,2,28,"['53,359', '']","['3,189', '']","['406', '']","['3,596', '']","['1,005', '']","['14,197', '']","['357', '']","['2,546', '']","['11,277', '']","['16,322', '']","['464', '']"
7995,r030,All institutions -> Florida State U.,All institutions,Florida State U.,2,29,"['53,176', '']","['2,572', '']","['3,474', '']","['3,561', '']","['980', '']","['26,805', '']","['365', '']","['745', '']","['0', '']","['12,107', '']","['2,567', '']"
7995,r031,All institutions -> Oregon State U.,All institutions,Oregon State U.,2,30,"['50,582', '']","['1,819', '']","['22,912', '']","['8,569', '']","['469', '']","['1,720', '']","['291', '']","['803', '']","['2,285', '']","['8,113', '']","['3,601', '']"
7995,r032,All institutions -> U. Southern California,All institutions,U. Southern California,2,31,"['49,721', '']","['15,276', '']","['4,289', '']","['7,274', '']","['901', '']","['3,627', '']","['472', '']","['1,316', '']","['143', '']","['12,397', '']","['4,026', '']"
7995,r033,All institutions -> U. Florida,All institutions,U. Florida,2,32,"['49,024', '']","['4,659', '']","['6,337', '']","['7,400', '']","['496', '']","['7,244', '']","['111', '']","['952', '']","['0', '']","['16,731', '']","['5,094', '']"
7995,r034,All institutions -> Virginia Polytechnic Institute and State U.,All institutions,Virginia Polytechnic Institute and State U.,2,33,"['48,740', '']","['5,475', '']","['996', '']","['9,992', '']","['1,678', '']","['7,174', '']","['120', '']","['432', '']","['29', '']","['21,916', '']","['928', '']"
7995,r035,All institutions -> Ohio State U.,All institutions,Ohio State U.,2,34,"['48,648', '']","['5,301', '']","['2,675', '']","['7,635', '']","['2,374', '']","['10,536', '']","['1,602', '']","['2,580', '']","['2,311', '']","['12,763', '']","['871', '']"
7995,r036,All institutions -> U. Arizona,All institutions,U. Arizona,2,35,"['48,592', '']","['2,660', '']","['5,188', '']","['14,233', '']","['1,661', '']","['10,158', '']","['217', '']","['2,969', '']","['2,072', '']","['7,949', '']","['1,485', '']"
7995,r037,"All institutions -> U. California, Santa Barbara",All institutions,"U. California, Santa Barbara",2,36,"['47,941', '']","['3,028', '']","['8,177', '']","['3,131', '']","['848', '']","['16,592', '']","['839', '']","['0', '']","['0', '']","['14,635', '']","['691', '']"
7995,r038,"All institutions -> U. California, Irvine",All institutions,"U. California, Irvine",2,37,"['47,367', '']","['7,937', '']","['3,521', '']","['5,144', '']","['2,196', '']","['8,682', '']","['1,210', '']","['1,127', '']","['0', '']","['11,443', '']","['6,107', '']"
7995,r039,All institutions -> Northeastern U.,All institutions,Northeastern U.,2,38,"['47,090', '']","['9,634', '']","['1,689', '']","['2,024', '']","['721', '']","['4,706', '']","['285', '']","['1,448', '']","['0', '']","['23,408', '']","['3,175', '']"
