table_id,row_id,_b_detailed_field_b_full_path,_b_detailed_field_b_level_1,_b_detailed_field_b_level_2,_b_detailed_field_b_level_3,_b_detailed_field_b_level_4,_b_detailed_field_b_level_5,_b_detailed_field_b_level_6,_b_detailed_field_b_hierarchy_depth,field_2017,field_2018,field_2019,field_2020,field_2021,field_2022
10675,r001,All fields,All fields,,,,,,1,270525,277096,281889,283335,293543,297223
10675,r002,All fields -> Science,All fields,Science,,,,,2,186399,190928,193896,196742,203988,206183
10675,r003,All fields -> Science -> Agricultural and veterinary sciences<sup>a</sup>,All fields,Science,Agricultural and veterinary sciences<sup>a</sup>,,,,3,3744,3880,3889,4313,4443,4647
10675,r004,All fields -> Science -> Agricultural and veterinary sciences<sup>a</sup> -> Agricultural sciences,All fields,Science,Agricultural and veterinary sciences<sup>a</sup>,Agricultural sciences,,,4,3744,3880,3889,3791,3906,4145
10675,r005,All fields -> Science -> Agricultural and veterinary sciences<sup>a</sup> -> Veterinary biomedical and clinical sciences<sup>b</sup>,All fields,Science,Agricultural and veterinary sciences<sup>a</sup>,Veterinary biomedical and clinical sciences<sup>b</sup>,,,4,na,na,na,522,537,502
10675,r006,All fields -> Science -> Biological and biomedical sciences<sup>a</sup>,All fields,Science,Biological and biomedical sciences<sup>a</sup>,,,,3,51291,52627,53915,54905,58155,59638
10675,r007,All fields -> Science -> Biological and biomedical sciences<sup>a</sup> -> Biochemistry,All fields,Science,Biological and biomedical sciences<sup>a</sup>,Biochemistry,,,4,4550,4554,4534,4648,4828,4994
10675,r008,All fields -> Science -> Biological and biomedical sciences<sup>a</sup> -> Biology,All fields,Science,Biological and biomedical sciences<sup>a</sup>,Biology,,,4,7020,7054,7166,7268,7400,7600
10675,r009,All fields -> Science -> Biological and biomedical sciences<sup>a</sup> -> Biomedical sciences,All fields,Science,Biological and biomedical sciences<sup>a</sup>,Biomedical sciences,,,4,3412,4030,4579,4514,4826,5155
10675,r010,All fields -> Science -> Biological and biomedical sciences<sup>a</sup> -> Biophysics,All fields,Science,Biological and biomedical sciences<sup>a</sup>,Biophysics,,,4,843,830,890,860,973,887
10675,r011,All fields -> Science -> Biological and biomedical sciences<sup>a</sup> -> Biostatistics and bioinformatics,All fields,Science,Biological and biomedical sciences<sup>a</sup>,Biostatistics and bioinformatics,,,4,2679,2946,3192,3339,3591,3799
10675,r012,All fields -> Science -> Biological and biomedical sciences<sup>a</sup> -> Biotechnology,All fields,Science,Biological and biomedical sciences<sup>a</sup>,Biotechnology,,,4,91,109,98,101,128,105
10675,r013,All fields -> Science -> Biological and biomedical sciences<sup>a</sup> -> Botany and plant biology,All fields,Science,Biological and biomedical sciences<sup>a</sup>,Botany and plant biology,,,4,1312,1317,1295,1255,1269,1301
10675,r014,"All fields -> Science -> Biological and biomedical sciences<sup>a</sup> -> Cell, cellular biology, and anatomical sciences",All fields,Science,Biological and biomedical sciences<sup>a</sup>,"Cell, cellular biology, and anatomical sciences",,,4,4786,4990,4975,5008,5290,5374
10675,r015,All fields -> Science -> Biological and biomedical sciences<sup>a</sup> -> Ecology and population biology,All fields,Science,Biological and biomedical sciences<sup>a</sup>,Ecology and population biology,,,4,2566,2620,2571,2725,2790,2808
10675,r016,All fields -> Science -> Biological and biomedical sciences<sup>a</sup> -> Epidemiology,All fields,Science,Biological and biomedical sciences<sup>a</sup>,Epidemiology,,,4,1640,1768,1916,2032,2162,2213
10675,r017,All fields -> Science -> Biological and biomedical sciences<sup>a</sup> -> Genetics,All fields,Science,Biological and biomedical sciences<sup>a</sup>,Genetics,,,4,2021,2105,2082,2182,2449,2584
10675,r018,All fields -> Science -> Biological and biomedical sciences<sup>a</sup> -> Microbiological sciences and immunology,All fields,Science,Biological and biomedical sciences<sup>a</sup>,Microbiological sciences and immunology,,,4,3974,3914,3937,4124,4371,4466
10675,r019,All fields -> Science -> Biological and biomedical sciences<sup>a</sup> -> Molecular biology,All fields,Science,Biological and biomedical sciences<sup>a</sup>,Molecular biology,,,4,1135,1128,1153,1240,1265,1231
10675,r020,All fields -> Science -> Biological and biomedical sciences<sup>a</sup> -> Neurobiology and neuroscience,All fields,Science,Biological and biomedical sciences<sup>a</sup>,Neurobiology and neuroscience,,,4,4871,5046,5138,5275,5758,5933
10675,r021,All fields -> Science -> Biological and biomedical sciences<sup>a</sup> -> Nutrition science,All fields,Science,Biological and biomedical sciences<sup>a</sup>,Nutrition science,,,4,988,967,948,989,993,1050
10675,r022,All fields -> Science -> Biological and biomedical sciences<sup>a</sup> -> Pathology and experimental pathology,All fields,Science,Biological and biomedical sciences<sup>a</sup>,Pathology and experimental pathology,,,4,911,880,843,753,849,917
10675,r023,All fields -> Science -> Biological and biomedical sciences<sup>a</sup> -> Pharmacology and toxicology,All fields,Science,Biological and biomedical sciences<sup>a</sup>,Pharmacology and toxicology,,,4,2244,2237,2151,2174,2374,2409
10675,r024,All fields -> Science -> Biological and biomedical sciences<sup>a</sup> -> Physiology,All fields,Science,Biological and biomedical sciences<sup>a</sup>,Physiology,,,4,2627,2631,2703,2758,3041,3021
10675,r025,All fields -> Science -> Biological and biomedical sciences<sup>a</sup> -> Zoology and animal biology,All fields,Science,Biological and biomedical sciences<sup>a</sup>,Zoology and animal biology,,,4,1195,1193,1198,1178,1213,1198
10675,r026,All fields -> Science -> Biological and biomedical sciences<sup>a</sup> -> Biological and biomedical sciences nec,All fields,Science,Biological and biomedical sciences<sup>a</sup>,Biological and biomedical sciences nec,,,4,2426,2308,2546,2482,2585,2593
10675,r027,All fields -> Science -> Computer and information sciences,All fields,Science,Computer and information sciences,,,,3,14291,16127,17192,18174,19531,20583
10675,r028,All fields -> Science -> Computer and information sciences -> Computer science,All fields,Science,Computer and information sciences,Computer science,,,4,7465,8343,8646,9658,10356,10832
10675,r029,All fields -> Science -> Computer and information sciences -> Computer and information sciences<sup>c</sup>,All fields,Science,Computer and information sciences,Computer and information sciences<sup>c</sup>,,,4,5429,6401,6952,6438,6855,7195
10675,r030,All fields -> Science -> Computer and information sciences -> Computer and information sciences<sup>c</sup> -> Computer and information sciences<sup>d</sup>,All fields,Science,Computer and information sciences,Computer and information sciences<sup>c</sup>,Computer and information sciences<sup>d</sup>,,5,NA,NA,NA,5482,6168,6432
10675,r031,"All fields -> Science -> Computer and information sciences -> Computer and information sciences<sup>c</sup> -> Artificial intelligence, informatics, and computer and information science topics<sup>d</sup>",All fields,Science,Computer and information sciences,Computer and information sciences<sup>c</sup>,"Artificial intelligence, informatics, and computer and information science topics<sup>d</sup>",,5,NA,NA,NA,956,687,763
10675,r032,All fields -> Science -> Computer and information sciences -> Computer and information sciences nec<sup>c</sup>,All fields,Science,Computer and information sciences,Computer and information sciences nec<sup>c</sup>,,,4,1397,1383,1594,2078,2320,2556
10675,r033,All fields -> Science -> Computer and information sciences -> Computer and information sciences nec<sup>c</sup> -> Computer and information systems security<sup>d</sup>,All fields,Science,Computer and information sciences,Computer and information sciences nec<sup>c</sup>,Computer and information systems security<sup>d</sup>,,5,NA,NA,NA,270,342,441
10675,r034,All fields -> Science -> Computer and information sciences -> Computer and information sciences nec<sup>c</sup> -> Information science and studies<sup>d</sup>,All fields,Science,Computer and information sciences,Computer and information sciences nec<sup>c</sup>,Information science and studies<sup>d</sup>,,5,NA,NA,NA,1245,1351,1394
10675,r035,All fields -> Science -> Computer and information sciences -> Computer and information sciences nec<sup>c</sup> -> Information technology<sup>d</sup>,All fields,Science,Computer and information sciences,Computer and information sciences nec<sup>c</sup>,Information technology<sup>d</sup>,,5,NA,NA,NA,405,467,550
10675,r036,All fields -> Science -> Computer and information sciences -> Computer and information sciences nec<sup>c</sup> -> Computer and information sciences nec<sup>d</sup>,All fields,Science,Computer and information sciences,Computer and information sciences nec<sup>c</sup>,Computer and information sciences nec<sup>d</sup>,,5,NA,NA,NA,158,160,171
10675,r037,"All fields -> Science -> Geosciences, atmospheric sciences, and ocean sciences",All fields,Science,"Geosciences, atmospheric sciences, and ocean sciences",,,,3,6539,6704,6551,6515,6770,6784
10675,r038,"All fields -> Science -> Geosciences, atmospheric sciences, and ocean sciences -> Atmospheric sciences and meteorology",All fields,Science,"Geosciences, atmospheric sciences, and ocean sciences",Atmospheric sciences and meteorology,,,4,884,883,866,847,902,945
10675,r039,"All fields -> Science -> Geosciences, atmospheric sciences, and ocean sciences -> Geological and earth sciences",All fields,Science,"Geosciences, atmospheric sciences, and ocean sciences",Geological and earth sciences,,,4,4148,4370,4239,4165,4337,4285
10675,r040,"All fields -> Science -> Geosciences, atmospheric sciences, and ocean sciences -> Ocean and marine sciences",All fields,Science,"Geosciences, atmospheric sciences, and ocean sciences",Ocean and marine sciences,,,4,1420,1451,1446,1503,1531,1554
10675,r041,"All fields -> Science -> Geosciences, atmospheric sciences, and ocean sciences -> Geosciences, atmospheric sciences, and ocean sciences nec",All fields,Science,"Geosciences, atmospheric sciences, and ocean sciences","Geosciences, atmospheric sciences, and ocean sciences nec",,,4,87,ne,ne,ne,ne,ne
10675,r042,All fields -> Science -> Mathematics and statistics,All fields,Science,Mathematics and statistics,,,,3,13101,13388,13565,13687,13619,13589
10675,r043,All fields -> Science -> Mathematics and statistics -> Mathematics and applied mathematics<sup>c</sup>,All fields,Science,Mathematics and statistics,Mathematics and applied mathematics<sup>c</sup>,,,4,10124,10230,10308,10300,10219,10244
10675,r044,All fields -> Science -> Mathematics and statistics -> Mathematics and applied mathematics<sup>c</sup> -> Applied mathematics<sup>d</sup>,All fields,Science,Mathematics and statistics,Mathematics and applied mathematics<sup>c</sup>,Applied mathematics<sup>d</sup>,,5,NA,NA,NA,2211,2255,2127
10675,r045,All fields -> Science -> Mathematics and statistics -> Mathematics and applied mathematics<sup>c</sup> -> Mathematics<sup>d</sup>,All fields,Science,Mathematics and statistics,Mathematics and applied mathematics<sup>c</sup>,Mathematics<sup>d</sup>,,5,NA,NA,NA,8089,7964,8117
