table_id,row_id,_b_demographic_characteristic_b_full_path,_b_demographic_characteristic_b_level_1,_b_demographic_characteristic_b_level_2,_b_demographic_characteristic_b_level_3,_b_demographic_characteristic_b_level_4,_b_demographic_characteristic_b_hierarchy_depth,field_all_fields,field_science_and_engineering_total,field_science_and_engineering_agricultural_sciences_and_natural_resources,field_science_and_engineering_biological_and_biomedical_sciences,field_science_and_engineering_computer_and_information_sciences,field_science_and_engineering_engineering,field_science_and_engineering_geosciences_atmospheric_and_ocean_sciences,field_science_and_engineering_health_sciences,field_science_and_engineering_mathematics_and_statistics,field_science_and_engineering_multidisciplinary_interdisciplinary_sciences,field_science_and_engineering_physical_sciences,field_science_and_engineering_psychology,field_science_and_engineering_social_sciences,field_non_science_and_engineering_total,field_non_science_and_engineering_business,field_non_science_and_engineering_education,field_non_science_and_engineering_humanities,field_non_science_and_engineering_visual_and_performing_arts,field_non_science_and_engineering_other_non_science_and_engineering
9602,r001,Doctorate recipients reporting bachelor's degree,Doctorate recipients reporting bachelor's degree,,,,1,98.4,98.4,97.6,98.1,98.1,98.9,98.5,96.3,99.2,98.4,98.7,98.6,98.8,98.4,98.3,98.3,98.7,98.8,98.0
9602,r002,Doctorate recipients reporting bachelor's degree -> Sex,Doctorate recipients reporting bachelor's degree,Sex,,,2,,,,,,,,,,,,,,,,,,,
9602,r003,Doctorate recipients reporting bachelor's degree -> Sex -> Male,Doctorate recipients reporting bachelor's degree,Sex,Male,,3,98.4,98.4,97.9,98.0,97.9,98.9,98.8,95.3,99.1,98.4,98.6,98.3,98.8,98.5,98.3,98.9,98.6,99.4,97.6
9602,r004,Doctorate recipients reporting bachelor's degree -> Sex -> Female,Doctorate recipients reporting bachelor's degree,Sex,Female,,3,98.4,98.4,97.3,98.2,98.5,99.0,98.1,96.8,99.7,98.6,98.9,98.7,98.8,98.3,98.3,98.0,98.8,98.3,98.2
9602,r005,Doctorate recipients reporting bachelor's degree -> Citizenship status,Doctorate recipients reporting bachelor's degree,Citizenship status,,,2,,,,,,,,,,,,,,,,,,,
9602,r006,Doctorate recipients reporting bachelor's degree -> Citizenship status -> U.S. citizen or permanent resident,Doctorate recipients reporting bachelor's degree,Citizenship status,U.S. citizen or permanent resident,,3,99.5,99.4,99.2,99.3,99.3,99.7,100.0,97.9,99.9,99.6,99.6,99.6,99.8,99.5,99.4,99.6,99.7,99.5,99.2
9602,r007,Doctorate recipients reporting bachelor's degree -> Citizenship status -> Temporary visa holder,Doctorate recipients reporting bachelor's degree,Citizenship status,Temporary visa holder,,3,98.5,98.4,95.9,96.6,98.9,99.3,97.4,95.5,99.4,99.1,98.5,99.4,98.7,98.5,99.2,98.6,98.6,98.3,97.8
9602,r008,Doctorate recipients reporting bachelor's degree -> Ethnicity and race (U.S. citizens and permanent residents),Doctorate recipients reporting bachelor's degree,Ethnicity and race (U.S. citizens and permanent residents),,,2,,,,,,,,,,,,,,,,,,,
9602,r009,Doctorate recipients reporting bachelor's degree -> Ethnicity and race (U.S. citizens and permanent residents) -> Hispanic or Latino,Doctorate recipients reporting bachelor's degree,Ethnicity and race (U.S. citizens and permanent residents),Hispanic or Latino,,3,99.3,99.2,95.8,99.4,100.0,,100.0,96.8,100.0,98.8,,99.5,99.4,99.8,100.0,99.7,99.6,100.0,100.0
9602,r010,Doctorate recipients reporting bachelor's degree -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino,Doctorate recipients reporting bachelor's degree,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,,3,,,,,,,,,,,,,,,,,,,
9602,r011,Doctorate recipients reporting bachelor's degree -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> American Indian or Alaska Native,Doctorate recipients reporting bachelor's degree,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,American Indian or Alaska Native,4,100.0,100.0,,100.0,,100.0,-,,,,100.0,100.0,100.0,100.0,,100.0,,,100.0
