table_id,row_id,_b_institution_b_full_path,_b_institution_b_level_1,_b_institution_b_level_2,_b_institution_b_hierarchy_depth,field_all_federal_obligations,field_r_d,field_r_d_plant,field_facilities_and_equipment_for_instruction_in_s_e,field_fellowships_traineeships_and_training_grants,field_other_general_support_for_s_e
10471,r001,All HHE institutions ,All HHE institutions ,,1,3504068,3117724,54758,374,211067,120145
10471,r002,"All HHE institutions  -> U. Illinois, Chicago ",All HHE institutions ,"U. Illinois, Chicago ",2,299000,263576,6749,0,19830,8845
10471,r003,"All HHE institutions  -> U. Texas, The, Austin ",All HHE institutions ,"U. Texas, The, Austin ",2,270453,246053,11759,0,11119,1522
10471,r004,All HHE institutions  -> U. Arizona ,All HHE institutions ,U. Arizona ,2,261376,236890,3593,246,11566,9081
10471,r005,"All HHE institutions  -> U. California, Irvine ",All HHE institutions ,"U. California, Irvine ",2,258585,242999,3179,0,8219,4188
10471,r006,"All HHE institutions  -> U. Texas M. D. Anderson Cancer Center, The ",All HHE institutions ,"U. Texas M. D. Anderson Cancer Center, The ",2,210727,187597,0,0,2705,20425
10471,r007,"All HHE institutions  -> U. California, Santa Barbara ",All HHE institutions ,"U. California, Santa Barbara ",2,185654,174367,4462,0,4636,2189
10471,r008,All HHE institutions  -> Arizona State U. ,All HHE institutions ,Arizona State U. ,2,184688,169660,7144,0,5108,2776
10471,r009,"All HHE institutions  -> U. Texas Health Science Center, The, Houston ",All HHE institutions ,"U. Texas Health Science Center, The, Houston ",2,161199,145840,0,0,3150,12209
10471,r010,"All HHE institutions  -> U. Texas Health Science Center, The, San Antonio ",All HHE institutions ,"U. Texas Health Science Center, The, San Antonio ",2,138088,109918,0,0,5942,22228
10471,r011,All HHE institutions  -> U. New Mexico ,All HHE institutions ,U. New Mexico ,2,133471,122415,0,0,10471,584
10471,r012,All HHE institutions  -> U. Central Florida ,All HHE institutions ,U. Central Florida ,2,121234,115220,1215,0,4635,165
10471,r013,"All HHE institutions  -> U. California, Riverside ",All HHE institutions ,"U. California, Riverside ",2,108245,101555,0,0,2862,3828
10471,r014,"All HHE institutions  -> U. Texas Medical Branch at Galveston, The ",All HHE institutions ,"U. Texas Medical Branch at Galveston, The ",2,102749,98980,0,0,2701,1068
10471,r015,"All HHE institutions  -> Texas A&M U., College Station ",All HHE institutions ,"Texas A&M U., College Station ",2,90553,88199,153,0,2040,160
10471,r016,"All HHE institutions  -> U. California, Santa Cruz ",All HHE institutions ,"U. California, Santa Cruz ",2,75189,71365,0,0,1296,2529
10471,r017,All HHE institutions  -> Florida International U. ,All HHE institutions ,Florida International U. ,2,67851,60456,216,0,6346,833
10471,r018,All HHE institutions  -> Northern Arizona U. ,All HHE institutions ,Northern Arizona U. ,2,57505,55442,0,0,1799,264
10471,r019,All HHE institutions  -> U. Houston ,All HHE institutions ,U. Houston ,2,46448,45939,0,0,509,0
10471,r020,"All HHE institutions  -> U. Texas, The, El Paso ",All HHE institutions ,"U. Texas, The, El Paso ",2,43907,31791,5478,0,5149,1490
10471,r021,"All HHE institutions  -> New Mexico State U., Las Cruces ",All HHE institutions ,"New Mexico State U., Las Cruces ",2,40712,30639,476,0,5205,4392
10471,r022,All HHE institutions  -> All other HHE institutions ,All HHE institutions ,All other HHE institutions ,2,646435,518825,10335,128,95778,21369
