table_id,row_id,school_characteristic_full_path,school_characteristic_level_1,school_characteristic_level_2,school_characteristic_level_3,school_characteristic_hierarchy_depth,field_public_library_not_at_all,field_public_library_small_extent,field_public_library_moderate_extent,field_public_library_large_extent,field_public_locations_other_than_public_librarya_not_at_all,field_public_locations_other_than_public_librarya_small_extent,field_public_locations_other_than_public_librarya_moderate_extent,field_public_locations_other_than_public_librarya_large_extent,field_commercial_locations_not_at_all,field_commercial_locations_small_extent,field_commercial_locations_moderate_extent,field_commercial_locations_large_extent,field_homes_of_relatives_friends_or_neighbors_not_at_all,field_homes_of_relatives_friends_or_neighbors_small_extent,field_homes_of_relatives_friends_or_neighbors_moderate_extent,field_homes_of_relatives_friends_or_neighbors_large_extent,field_student_s_own_home_not_at_all,field_student_s_own_home_small_extent,field_student_s_own_home_moderate_extent,field_student_s_own_home_large_extent
4131,r001,<b>All teachers </b>,<b>All teachers </b>,,,1,32,56,10,2,47,46,7,1,50,40,9,1,6,41,43,11,1,12,27,60
4131,r002,<b>All teachers </b> -> Instructional level<sup>b</sup> ,<b>All teachers </b>,Instructional level<sup>b</sup> ,,2,,,,,,,,,,,,,,,,,,,,
4131,r003,<b>All teachers </b> -> Instructional level<sup>b</sup>  -> Primary school ,<b>All teachers </b>,Instructional level<sup>b</sup> ,Primary school ,3,40,51,7,2,61,34,4,1,68,29,3,s,9,47,36,8,2,17,32,49
4131,r004,<b>All teachers </b> -> Instructional level<sup>b</sup>  -> Middle school ,<b>All teachers </b>,Instructional level<sup>b</sup> ,Middle school ,3,27,59,13,2,44,48,8,1,51,41,6,1,4,41,43,12,1,11,24,65
4131,r005,<b>All teachers </b> -> Instructional level<sup>b</sup>  -> High school ,<b>All teachers </b>,Instructional level<sup>b</sup> ,High school ,3,28,60,10,2,33,57,10,s,28,51,19,2,3,34,50,13,1,7,24,68
4131,r006,<b>All teachers </b> -> Instructional level<sup>b</sup>  -> Other school ,<b>All teachers </b>,Instructional level<sup>b</sup> ,Other school ,3,33,53,12,s,42,47,9,s,45,47,8,s,s,41,41,14,s,10,29,60
4131,r007,<b>All teachers </b> -> Enrollment size ,<b>All teachers </b>,Enrollment size ,,2,,,,,,,,,,,,,,,,,,,,
4131,r008,<b>All teachers </b> -> Enrollment size  -> Less than 300 ,<b>All teachers </b>,Enrollment size ,Less than 300 ,3,32,55,12,s,52,42,7,#,64,30,6,#,5,41,40,14,1,17,32,50
4131,r009,<b>All teachers </b> -> Enrollment size  -> 300&#8211;499 ,<b>All teachers </b>,Enrollment size ,300&#8211;499 ,3,39,50,9,2,56,38,5,s,63,32,4,s,8,44,38,10,3,17,33,48
4131,r010,<b>All teachers </b> -> Enrollment size  -> 500&#8211;999 ,<b>All teachers </b>,Enrollment size ,500&#8211;999 ,3,32,56,10,2,48,44,6,1,53,39,6,1,6,41,43,10,1,13,27,59
4131,r011,"<b>All teachers </b> -> Enrollment size  -> 1,000 or more ",<b>All teachers </b>,Enrollment size ,"1,000 or more ",3,28,61,9,1,36,55,10,s,31,50,18,2,3,39,46,13,s,6,21,73
4131,r012,<b>All teachers </b> -> Community type ,<b>All teachers </b>,Community type ,,2,,,,,,,,,,,,,,,,,,,,
4131,r013,<b>All teachers </b> -> Community type  -> City ,<b>All teachers </b>,Community type ,City ,3,33,54,11,2,43,47,9,1,48,40,11,1,5,36,46,13,1,15,31,53
