table_id,row_id,_b_characteristic_b_full_path,_b_characteristic_b_level_1,_b_characteristic_b_level_2,_b_characteristic_b_level_3,_b_characteristic_b_level_4,_b_characteristic_b_hierarchy_depth,field_all_other_non_science_and_engineering_fields,field_communications_and_journalism,field_multidisciplinary_interdisciplinary_studies,field_public_administration_and_social_services,field_non_science_and_engineering_other
7632,r001,All doctorate recipients (number)<sup>a</sup>,All doctorate recipients (number)<sup>a</sup>,,,,1,1996,520,331,490,655
7632,r002,All doctorate recipients (number)<sup>a</sup> -> Sex (%),All doctorate recipients (number)<sup>a</sup>,Sex (%),,,2,,,,,
7632,r003,All doctorate recipients (number)<sup>a</sup> -> Sex (%) -> Male,All doctorate recipients (number)<sup>a</sup>,Sex (%),Male,,3,42.0,42.5,45.6,32.4,47.0
7632,r004,All doctorate recipients (number)<sup>a</sup> -> Sex (%) -> Female,All doctorate recipients (number)<sup>a</sup>,Sex (%),Female,,3,58.0,57.5,54.4,67.6,53.0
7632,r005,All doctorate recipients (number)<sup>a</sup> -> Sex (%) -> Unknown,All doctorate recipients (number)<sup>a</sup>,Sex (%),Unknown,,3,0.0,0.0,0.0,0.0,0.0
7632,r006,All doctorate recipients (number)<sup>a</sup> -> Citizenship status (%),All doctorate recipients (number)<sup>a</sup>,Citizenship status (%),,,2,,,,,
7632,r007,All doctorate recipients (number)<sup>a</sup> -> Citizenship status (%) -> U.S. citizen or permanent resident,All doctorate recipients (number)<sup>a</sup>,Citizenship status (%),U.S. citizen or permanent resident,,3,65.4,68.8,70.4,72.9,54.7
7632,r008,All doctorate recipients (number)<sup>a</sup> -> Citizenship status (%) -> Temporary visa holder,All doctorate recipients (number)<sup>a</sup>,Citizenship status (%),Temporary visa holder,,3,27.3,26.5,17.2,20.0,38.5
7632,r009,All doctorate recipients (number)<sup>a</sup> -> Citizenship status (%) -> Unknown,All doctorate recipients (number)<sup>a</sup>,Citizenship status (%),Unknown,,3,7.3,4.6,12.4,7.1,6.9
7632,r010,All doctorate recipients (number)<sup>a</sup> -> Marital status (%),All doctorate recipients (number)<sup>a</sup>,Marital status (%),,,2,,,,,
7632,r011,All doctorate recipients (number)<sup>a</sup> -> Marital status (%) -> Never married,All doctorate recipients (number)<sup>a</sup>,Marital status (%),Never married,,3,24.9,28.8,23.6,20.2,26.0
7632,r012,All doctorate recipients (number)<sup>a</sup> -> Marital status (%) -> Married,All doctorate recipients (number)<sup>a</sup>,Marital status (%),Married,,3,44.7,40.4,37.2,52.9,46.0
7632,r013,All doctorate recipients (number)<sup>a</sup> -> Marital status (%) -> Marriage-like relationship,All doctorate recipients (number)<sup>a</sup>,Marital status (%),Marriage-like relationship,,3,8.3,10.4,13.0,4.5,7.2
7632,r014,"All doctorate recipients (number)<sup>a</sup> -> Marital status (%) -> Separated, divorced, widowed",All doctorate recipients (number)<sup>a</sup>,Marital status (%),"Separated, divorced, widowed",,3,6.1,5.4,5.7,7.8,5.5
7632,r015,All doctorate recipients (number)<sup>a</sup> -> Marital status (%) -> Unknown,All doctorate recipients (number)<sup>a</sup>,Marital status (%),Unknown,,3,16.0,15.0,20.5,14.7,15.4
7632,r016,All doctorate recipients (number)<sup>a</sup> -> Has dependent age 18 or younger (%),All doctorate recipients (number)<sup>a</sup>,Has dependent age 18 or younger (%),,,2,32.4,26.0,24.4,44.0,32.6
7632,r017,All doctorate recipients (number)<sup>a</sup> -> Has one or more functional limitations (%),All doctorate recipients (number)<sup>a</sup>,Has one or more functional limitations (%),,,2,14.6,18.3,16.9,13.5,11.3
7632,r018,All doctorate recipients (number)<sup>a</sup> -> Age at doctorate (median years),All doctorate recipients (number)<sup>a</sup>,Age at doctorate (median years),,,2,35.3,33.4,34.4,38.2,35.1
7632,r019,All doctorate recipients (number)<sup>a</sup> -> Bachelor's in same field as doctorate (%)<sup>b</sup>,All doctorate recipients (number)<sup>a</sup>,Bachelor's in same field as doctorate (%)<sup>b</sup>,,,2,35.9,50.4,30.5,26.5,34.2
