table_id,row_id,items_full_path,items_level_1,items_level_2,items_hierarchy_depth,field_response
6794,r001,Job importance,Job importance,,1,"['Very important', 'Somewhat important', 'Somewhat unimportant', 'Not important at all']"
6794,r002,Job importance -> Salary,Job importance,Salary,2,"['52.4', '43.3', '3.0', '1.3']"
6794,r003,Job importance -> Benefits,Job importance,Benefits,2,"['56.5', '36.0', '4.3', '3.1']"
6794,r004,Job importance -> Job security,Job importance,Job security,2,"['55.5', '34.9', '6.3', '3.4']"
6794,r005,Job importance -> Job location,Job importance,Job location,2,"['56.9', '37.4', '4.5', '1.2']"
6794,r006,Job importance -> Opportunities for advancement,Job importance,Opportunities for advancement,2,"['42.3', '42.6', '10.1', '5.0']"
6794,r007,Job importance -> Intellectual challenge,Job importance,Intellectual challenge,2,"['74.4', '23.5', '1.6', '0.5']"
6794,r008,Job importance -> Level of responsibility,Job importance,Level of responsibility,2,"['45.6', '45.7', '7.2', '1.5']"
6794,r009,Job importance -> Degree of independence,Job importance,Degree of independence,2,"['68.8', '28.3', '2.3', '0.6']"
6794,r010,Job importance -> Contribution to society,Job importance,Contribution to society,2,"['58.6', '35.5', '4.7', '1.2']"
6794,r011,Job satisfaction,Job satisfaction,,1,"['Very satisfied', 'Somewhat satisfied', 'Somewhat dissatisfied', 'Very dissatisfied']"
6794,r012,Job satisfaction -> Salary,Job satisfaction,Salary,2,"['32.7', '47.8', '14.1', '5.4']"
6794,r013,Job satisfaction -> Benefits,Job satisfaction,Benefits,2,"['42.7', '41.3', '10.5', '5.5']"
6794,r014,Job satisfaction -> Job security,Job satisfaction,Job security,2,"['48.9', '34.8', '10.9', '5.4']"
6794,r015,Job satisfaction -> Job location,Job satisfaction,Job location,2,"['55.7', '32.1', '9.6', '2.6']"
6794,r016,Job satisfaction -> Opportunities for advancement,Job satisfaction,Opportunities for advancement,2,"['27.3', '44.2', '20.6', '7.9']"
6794,r017,Job satisfaction -> Intellectual challenge,Job satisfaction,Intellectual challenge,2,"['53.3', '34.8', '9.2', '2.6']"
6794,r018,Job satisfaction -> Level of responsibility,Job satisfaction,Level of responsibility,2,"['51.7', '38.7', '7.9', '1.7']"
6794,r019,Job satisfaction -> Degree of independence,Job satisfaction,Degree of independence,2,"['64.2', '28.4', '5.7', '1.7']"
6794,r020,Job satisfaction -> Contribution to society,Job satisfaction,Contribution to society,2,"['55.0', '36.5', '6.8', '1.7']"
