table_id,row_id,_b_state_and_department_or_agency_b_full_path,_b_state_and_department_or_agency_b_level_1,_b_state_and_department_or_agency_b_level_2,_b_state_and_department_or_agency_b_level_3,_b_state_and_department_or_agency_b_hierarchy_depth,field_r_d_personnel_headcount_total_,field_r_d_personnel_headcount_researchersa,field_r_d_personnel_headcount_technicians,field_r_d_personnel_headcount_support_staff,field_r_d_personnel_full_time_equivalents_total_,field_r_d_personnel_full_time_equivalents_researchersa,field_r_d_personnel_full_time_equivalents_technicians,field_r_d_personnel_full_time_equivalents_support_staff
7802,r001,United States<sup>b</sup>,United States<sup>b</sup>,,,1,9132,4854,2981,1297,6387.5,3532.8,1949.0,905.7
7802,r002,United States<sup>b</sup> -> Alabama,United States<sup>b</sup>,Alabama,,2,154,105,33,16,85.0,62.3,12.3,10.4
7802,r003,"United States<sup>b</sup> -> Alabama -> Conservation and Natural Resources, Department of; Wildlife and Freshwater Fisheries Division",United States<sup>b</sup>,Alabama,"Conservation and Natural Resources, Department of; Wildlife and Freshwater Fisheries Division",3,11,6,4,1,5.5,3.0,2.0,0.5
7802,r004,"United States<sup>b</sup> -> Alabama -> Education, Department of",United States<sup>b</sup>,Alabama,"Education, Department of",3,62,62,0,0,25.0,25.0,0.0,0.0
7802,r005,"United States<sup>b</sup> -> Alabama -> Forensic Sciences, Department of",United States<sup>b</sup>,Alabama,"Forensic Sciences, Department of",3,2,2,0,0,2.0,2.0,0.0,0.0
7802,r006,United States<sup>b</sup> -> Alabama -> Geological Survey,United States<sup>b</sup>,Alabama,Geological Survey,3,37,30,4,3,34.5,29.3,3.3,1.9
7802,r007,"United States<sup>b</sup> -> Alabama -> Marine Environmental Science Consortium, Dauphin Island Sea Lab",United States<sup>b</sup>,Alabama,"Marine Environmental Science Consortium, Dauphin Island Sea Lab",3,42,5,25,12,18.0,3.0,7.0,8.0
7802,r008,United States<sup>b</sup> -> Alaska,United States<sup>b</sup>,Alaska,,2,74,50,13,11,58.0,41.5,10.0,6.5
7802,r009,"United States<sup>b</sup> -> Alaska -> Environmental Conservation, Department of ",United States<sup>b</sup>,Alaska,"Environmental Conservation, Department of ",3,5,1,0,4,0.7,0.5,0.0,0.2
7802,r010,"United States<sup>b</sup> -> Alaska -> Natural Resources, Department of; Division of Geological and Geophysical Surveys",United States<sup>b</sup>,Alaska,"Natural Resources, Department of; Division of Geological and Geophysical Surveys",3,48,35,8,5,48.0,35.0,8.0,5.0
7802,r011,United States<sup>b</sup> -> Alaska -> Railroad Corporation,United States<sup>b</sup>,Alaska,Railroad Corporation,3,16,10,5,1,8.0,5.0,2.0,1.0
7802,r012,"United States<sup>b</sup> -> Alaska -> Transportation and Public Facilities, Department of",United States<sup>b</sup>,Alaska,"Transportation and Public Facilities, Department of",3,5,4,0,1,1.3,1.0,0.0,0.3
7802,r013,United States<sup>b</sup> -> Arizona,United States<sup>b</sup>,Arizona,,2,45,24,14,7,39.4,20.5,12.0,6.9
7802,r014,United States<sup>b</sup> -> Arizona -> Game and Fish Department,United States<sup>b</sup>,Arizona,Game and Fish Department,3,26,16,8,2,20.4,12.5,6.0,1.9
7802,r015,"United States<sup>b</sup> -> Arizona -> Juvenile Corrections, Department of ",United States<sup>b</sup>,Arizona,"Juvenile Corrections, Department of ",3,7,4,2,1,7.0,4.0,2.0,1.0
7802,r016,"United States<sup>b</sup> -> Arizona -> Transportation, Department of",United States<sup>b</sup>,Arizona,"Transportation, Department of",3,12,4,4,4,12.0,4.0,4.0,4.0
7802,r017,United States<sup>b</sup> -> Arkansas,United States<sup>b</sup>,Arkansas,,2,11,7,2,2,3.0,2.6,0.2,0.2
7802,r018,United States<sup>b</sup> -> Arkansas -> Natural Heritage Commission,United States<sup>b</sup>,Arkansas,Natural Heritage Commission,3,2,2,0,0,2.0,2.0,0.0,0.0
7802,r019,"United States<sup>b</sup> -> Arkansas -> Transportation, Department of",United States<sup>b</sup>,Arkansas,"Transportation, Department of",3,9,5,2,2,1.0,0.6,0.2,0.2
7802,r020,United States<sup>b</sup> -> California,United States<sup>b</sup>,California,,2,571,446,13,112,464.6,377.7,6.3,80.6
7802,r021,United States<sup>b</sup> -> California -> Air Resources Board,United States<sup>b</sup>,California,Air Resources Board,3,64,49,5,10,62.4,49.0,3.6,9.8
7802,r022,"United States<sup>b</sup> -> California -> Conservation, Department of",United States<sup>b</sup>,California,"Conservation, Department of",3,10,8,1,1,2.8,2.7,0.1,0.0
7802,r023,United States<sup>b</sup> -> California -> Energy Commission,United States<sup>b</sup>,California,Energy Commission,3,99,90,0,9,99.0,90.0,0.0,9.0
7802,r024,"United States<sup>b</sup> -> California -> Environmental Health Hazard Assessment, Office of",United States<sup>b</sup>,California,"Environmental Health Hazard Assessment, Office of",3,123,88,0,35,121.0,87.4,0.0,33.6
7802,r025,"United States<sup>b</sup> -> California -> Motor Vehicles, Department of",United States<sup>b</sup>,California,"Motor Vehicles, Department of",3,17,14,0,3,15.1,12.1,0.0,3.0
7802,r026,"United States<sup>b</sup> -> California -> Pesticide Regulation, Department of ",United States<sup>b</sup>,California,"Pesticide Regulation, Department of ",3,95,85,0,10,60.2,55.7,0.0,4.5
7802,r027,"United States<sup>b</sup> -> California -> Public Health, Department of",United States<sup>b</sup>,California,"Public Health, Department of",3,10,6,0,4,5.7,2.3,0.0,3.4
7802,r028,"United States<sup>b</sup> -> California -> Rehabilitation, Department of ",United States<sup>b</sup>,California,"Rehabilitation, Department of ",3,3,0,0,3,2.3,0.0,0.0,2.3
7802,r029,"United States<sup>b</sup> -> California -> Social Services, Department of ",United States<sup>b</sup>,California,"Social Services, Department of ",3,5,5,0,0,4.3,4.3,0.0,0.0
