table_id,row_id,race_and_ethnicity_of_owners_full_path,race_and_ethnicity_of_owners_level_1,race_and_ethnicity_of_owners_level_2,race_and_ethnicity_of_owners_level_3,race_and_ethnicity_of_owners_level_4,race_and_ethnicity_of_owners_hierarchy_depth,field_companies_number_,field_business_process_innovation_number_yes,field_business_process_innovation_number_no,field_business_process_innovation_percent_yes,field_business_process_innovation_percent_no
5643,r001,All companies (race and ethnicity),All companies (race and ethnicity),,,,1,"['    4,805,151 ', '&nbsp;']","['    929,754 ', '&nbsp;']","['    3,875,397 ', '&nbsp;']","['    19.3 ', '&nbsp;']","['    80.7 ', '&nbsp;']"
5643,r002,All companies (race and ethnicity) -> Race,All companies (race and ethnicity),Race,,,2,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
5643,r003,All companies (race and ethnicity) -> Race -> White,All companies (race and ethnicity),Race,White,,3,"['    4,170,180 ', '&nbsp;']","['    776,165 ', '&nbsp;']","['    3,394,015 ', '&nbsp;']","['    18.6 ', '&nbsp;']","['    81.4 ', '&nbsp;']"
5643,r004,All companies (race and ethnicity) -> Race -> Asian,All companies (race and ethnicity),Race,Asian,,3,"['    473,828 ', '&nbsp;']","['    116,019 ', '&nbsp;']","['    357,809 ', '&nbsp;']","['    24.5 ', '&nbsp;']","['    75.5 ', '&nbsp;']"
5643,r005,All companies (race and ethnicity) -> Race -> Black or African American,All companies (race and ethnicity),Race,Black or African American,,3,"['    94,492 ', '&nbsp;']","['    22,331 ', '&nbsp;']","['    72,161 ', '&nbsp;']","['    23.6 ', '&nbsp;']","['    76.4 ', '&nbsp;']"
5643,r006,All companies (race and ethnicity) -> Race -> American Indian or Alaska Native,All companies (race and ethnicity),Race,American Indian or Alaska Native,,3,"['    21,567 ', '&nbsp;']","['    4,978 ', '&nbsp;']","['    16,589 ', '&nbsp;']","['    23.1 ', '&nbsp;']","['    76.9 ', '&nbsp;']"
5643,r007,All companies (race and ethnicity) -> Race -> Native Hawaiian or Other Pacific Islander,All companies (race and ethnicity),Race,Native Hawaiian or Other Pacific Islander,,3,"['    5,446 ', '&nbsp;']","['    891 ', '&nbsp;']","['    4,555 ', '&nbsp;']","['    16.4 ', '&nbsp;']","['    83.6 ', '&nbsp;']"
5643,r008,All companies (race and ethnicity) -> Ethnicity,All companies (race and ethnicity),Ethnicity,,,2,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
5643,r009,All companies (race and ethnicity) -> Ethnicity -> Hispanic or Latino,All companies (race and ethnicity),Ethnicity,Hispanic or Latino,,3,"['    271,545 ', '&nbsp;']","['    69,613 ', '&nbsp;']","['    201,932 ', '&nbsp;']","['    25.6 ', '&nbsp;']","['    74.4 ', '&nbsp;']"
5643,r010,All companies (race and ethnicity) -> Ethnicity -> Equally Hispanic and not Hispanic,All companies (race and ethnicity),Ethnicity,Equally Hispanic and not Hispanic,,3,"['    41,138 ', '&nbsp;']","['    8,961 ', '&nbsp;']","['    32,177 ', '&nbsp;']","['    21.8 ', '&nbsp;']","['    78.2 ', '&nbsp;']"
5643,r011,All companies (race and ethnicity) -> Ethnicity -> Not Hispanic,All companies (race and ethnicity),Ethnicity,Not Hispanic,,3,"['    4,449,259 ', '&nbsp;']","['    840,777 ', '&nbsp;']","['    3,608,482 ', '&nbsp;']","['    18.9 ', '&nbsp;']","['    81.1 ', '&nbsp;']"
5643,r012,All companies (race and ethnicity) -> Minority status,All companies (race and ethnicity),Minority status,,,2,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
5643,r013,All companies (race and ethnicity) -> Minority status -> Minority,All companies (race and ethnicity),Minority status,Minority,,3,"['    853,539 ', '&nbsp;']","['    209,605 ', '&nbsp;']","['    643,934 ', '&nbsp;']","['    24.6 ', '&nbsp;']","['    75.4 ', '&nbsp;']"
5643,r014,"All companies (race and ethnicity) -> Minority status -> Minority -> Black or African American, American Indian or Alaska Native, or Hispanic or Latino",All companies (race and ethnicity),Minority status,Minority,"Black or African American, American Indian or Alaska Native, or Hispanic or Latino",4,"['    376,112 ', '&nbsp;']","['    93,243 ', '&nbsp;']","['    282,869 ', '&nbsp;']","['    24.8 ', '&nbsp;']","['    75.2 ', '&nbsp;']"
5643,r015,All companies (race and ethnicity) -> Minority status -> Equally minority and nonminority,All companies (race and ethnicity),Minority status,Equally minority and nonminority,,3,"['    71,956 ', '&nbsp;']","['    16,021 ', '&nbsp;']","['    55,935 ', '&nbsp;']","['    22.3 ', '&nbsp;']","['    77.7 ', '&nbsp;']"
5643,r016,All companies (race and ethnicity) -> Minority status -> Nonminority,All companies (race and ethnicity),Minority status,Nonminority,,3,"['    3,836,446 ', '&nbsp;']","['    693,722 ', '&nbsp;']","['    3,142,724 ', '&nbsp;']","['    18.1 ', '&nbsp;']","['    81.9 ', '&nbsp;']"
5643,r017,All companies (race and ethnicity) -> Unclassifiable,All companies (race and ethnicity),Unclassifiable,,,2,"['    43,211 ', '&nbsp;']","['    10,407 ', '&nbsp;']","['    32,804 ', '&nbsp;']","['    24.1 ', '&nbsp;']","['    75.9 ', '&nbsp;']"
