table_id,row_id,_b_institution_b_full_path,_b_institution_b_level_1,_b_institution_b_level_2,_b_institution_b_hierarchy_depth,field_rank,field_2019,field_2020,field_2021,field_2022_all_life_sciences,field_2022_agricultural_sciences,field_2022_biological_and_biomedical_sciences,field_2022_health_sciences,field_2022_natural_resources_and_conservation,field_2022_life_sciences_nec
10134,r001,All institutions,All institutions,,1,-,"['48,226,684', '']","['49,614,879', '']","['52,349,524', '']","['56,498,207', '']","['3,935,731', '']","['18,161,442', '']","['31,869,957', '']","['1,012,919', '']","['1,518,158', '']"
10134,r002,"All institutions -> U. California, San Francisco",All institutions,"U. California, San Francisco",2,1,"['1,529,156', '']","['1,581,411', '']","['1,639,862', '']","['1,734,339', '']","['0', '']","['2,517', '']","['1,731,822', '']","['0', '']","['0', '']"
10134,r003,All institutions -> U. Pennsylvania,All institutions,U. Pennsylvania,2,2,"['1,125,634', '']","['1,185,719', '']","['1,243,966', '']","['1,364,745', '']","['1,000', '']","['936,939', '']","['352,904', '']","['0', '']","['73,902', '']"
10134,r004,All institutions -> Johns Hopkins U.<sup>a</sup>,All institutions,Johns Hopkins U.<sup>a</sup>,2,3,"['1,053,401', 'i']","['1,047,668', 'i']","['1,069,865', 'i']","['1,179,546', 'i']","['0', 'i']","['358,980', 'i']","['820,566', 'i']","['0', 'i']","['0', 'i']"
10134,r005,All institutions -> Duke U.,All institutions,Duke U.,2,4,"['1,018,199', '']","['990,897', '']","['1,040,786', '']","['1,174,640', '']","['0', '']","['289,829', '']","['857,681', '']","['10,004', '']","['17,126', '']"
10134,r006,"All institutions -> U. California, Los Angeles",All institutions,"U. California, Los Angeles",2,5,"['925,447', '']","['989,602', '']","['1,053,540', '']","['1,110,788', '']","['0', '']","['37,544', '']","['1,073,244', '']","['0', '']","['0', '']"
10134,r007,All institutions -> U. Texas M. D. Anderson Cancer Center,All institutions,U. Texas M. D. Anderson Cancer Center,2,6,"['902,580', '']","['981,164', '']","['1,056,727', '']","['1,104,846', '']","['22,773', '']","['326,187', '']","['755,886', '']","['0', '']","['0', '']"
10134,r008,"All institutions -> U. Pittsburgh, Pittsburgh",All institutions,"U. Pittsburgh, Pittsburgh",2,7,"['935,756', '']","['954,315', '']","['983,251', '']","['1,082,521', '']","['456', '']","['353,030', '']","['728,994', '']","['0', '']","['41', '']"
10134,r009,"All institutions -> U. Washington, Seattle",All institutions,"U. Washington, Seattle",2,8,"['954,062', '']","['963,264', '']","['1,013,261', '']","['1,045,014', '']","['76', '']","['322,882', '']","['679,546', '']","['25,597', '']","['16,913', '']"
10134,r010,All institutions -> Yale U.,All institutions,Yale U.,2,9,"['912,802', '']","['944,439', '']","['1,012,626', '']","['1,044,120', '']","['0', '']","['226,285', '']","['809,589', '']","['7,514', '']","['732', '']"
10134,r011,"All institutions -> U. North Carolina, Chapel Hill",All institutions,"U. North Carolina, Chapel Hill",2,10,"['846,630', '']","['868,276', '']","['925,380', '']","['1,020,666', '']","['0', '']","['222,099', '']","['798,512', '']","['55', '']","['0', '']"
10134,r012,"All institutions -> U. Michigan, Ann Arbor",All institutions,"U. Michigan, Ann Arbor",2,11,"['955,653', '']","['967,660', '']","['931,174', '']","['1,018,062', '']","['2,541', '']","['266,722', '']","['680,357', '']","['21,095', '']","['47,347', '']"
10134,r013,All institutions -> Stanford U.,All institutions,Stanford U.,2,12,"['837,068', '']","['836,401', '']","['905,150', '']","['999,214', '']","['0', '']","['265,253', '']","['695,772', '']","['1,699', '']","['36,490', '']"
10134,r014,All institutions -> U. Wisconsin-Madison,All institutions,U. Wisconsin-Madison,2,13,"['814,119', '']","['839,302', '']","['861,558', '']","['952,068', '']","['128,234', '']","['318,077', '']","['500,026', '']","['1,058', '']","['4,673', '']"
10134,r015,"All institutions -> Washington U., Saint Louis",All institutions,"Washington U., Saint Louis",2,14,"['796,337', '']","['824,978', '']","['887,653', '']","['938,655', '']","['0', '']","['389,199', '']","['549,454', '']","['2', '']","['0', '']"
10134,r016,All institutions -> Cornell U.,All institutions,Cornell U.,2,15,"['789,230', '']","['822,419', '']","['833,824', '']","['929,175', '']","['114,152', '']","['356,105', '']","['429,280', '']","['21,287', '']","['8,351', '']"
10134,r017,"All institutions -> U. California, San Diego",All institutions,"U. California, San Diego",2,16,"['819,167', '']","['828,401', '']","['827,370', '']","['915,619', '']","['303', '']","['59,696', '']","['854,614', '']","['674', '']","['332', '']"
10134,r018,All institutions -> New York U.,All institutions,New York U.,2,17,"['630,246', '']","['643,638', '']","['771,663', '']","['909,144', '']","['0', '']","['321,462', '']","['584,887', '']","['0', '']","['2,795', '']"
10134,r019,All institutions -> Ohio State U.,All institutions,Ohio State U.,2,18,"['550,461', '']","['590,076', '']","['876,239', '']","['897,954', '']","['81,771', '']","['128,503', '']","['666,812', '']","['14,700', '']","['6,168', '']"
10134,r020,All institutions -> Icahn School of Medicine at Mount Sinai,All institutions,Icahn School of Medicine at Mount Sinai,2,19,"['722,241', '']","['747,014', '']","['820,260', '']","['893,968', '']","['0', '']","['411,941', '']","['482,027', '']","['0', '']","['0', '']"
10134,r021,All institutions -> Columbia U. in the City of New York,All institutions,Columbia U. in the City of New York,2,20,"['727,779', '']","['744,239', '']","['797,089', '']","['893,199', '']","['0', '']","['249,393', '']","['637,456', '']","['5,324', '']","['1,026', '']"
10134,r022,All institutions -> Emory U.,All institutions,Emory U.,2,21,"['727,296', '']","['732,893', '']","['789,831', '']","['874,729', '']","['0', '']","['228,756', '']","['628,633', '']","['0', '']","['17,340', '']"
10134,r023,"All institutions -> U. Minnesota, Twin Cities",All institutions,"U. Minnesota, Twin Cities",2,22,"['684,938', '']","['722,074', '']","['760,975', '']","['864,018', '']","['78,028', '']","['126,554', '']","['602,141', '']","['51,426', '']","['5,869', '']"
10134,r024,All institutions -> Vanderbilt U. and Vanderbilt U. Medical Center,All institutions,Vanderbilt U. and Vanderbilt U. Medical Center,2,23,"['581,939', '']","['625,549', '']","['806,323', '']","['846,605', '']","['0', '']","['194,205', '']","['651,870', '']","['0', '']","['530', '']"
10134,r025,All institutions -> Baylor C. of Medicine,All institutions,Baylor C. of Medicine,2,24,"['651,920', '']","['685,641', '']","['716,976', '']","['827,005', '']","['0', '']","['400,058', '']","['426,947', '']","['0', '']","['0', '']"
10134,r026,All institutions -> U. Florida,All institutions,U. Florida,2,25,"['689,605', '']","['688,091', '']","['706,987', '']","['797,710', '']","['228,726', '']","['148,797', '']","['400,250', '']","['19,937', '']","['0', '']"
10134,r027,All institutions -> Harvard U.,All institutions,Harvard U.,2,26,"['704,460', '']","['684,127', '']","['714,069', '']","['741,297', '']","['0', '']","['561,958', '']","['131,479', '']","['7,218', '']","['40,642', '']"
10134,r028,All institutions -> Northwestern U.,All institutions,Northwestern U.,2,27,"['604,875', '']","['619,270', '']","['659,195', '']","['721,230', '']","['0', '']","['189,086', '']","['514,642', '']","['0', '']","['17,502', '']"
10134,r029,All institutions -> U. Texas Southwestern Medical Center,All institutions,U. Texas Southwestern Medical Center,2,28,"['496,697', '']","['595,939', '']","['632,134', '']","['719,002', '']","['0', '']","['223,987', '']","['479,181', '']","['469', '']","['15,365', '']"
10134,r030,All institutions -> U. Southern California,All institutions,U. Southern California,2,29,"['568,194', '']","['580,982', '']","['598,925', '']","['680,873', '']","['0', '']","['398,478', '']","['262,080', '']","['0', '']","['20,315', '']"
10134,r031,All institutions -> U. Maryland<sup>b</sup>,All institutions,U. Maryland<sup>b</sup>,2,30,"['601,632', '']","['594,114', '']","['633,517', '']","['655,867', '']","['56,383', '']","['193,170', '']","['400,555', '']","['1,889', '']","['3,870', '']"
10134,r032,"All institutions -> U. Alabama, Birmingham",All institutions,"U. Alabama, Birmingham",2,31,"['533,536', '']","['542,308', '']","['571,525', '']","['653,373', '']","['0', '']","['167,234', '']","['486,139', '']","['0', '']","['0', '']"
10134,r033,"All institutions -> U. California, Davis",All institutions,"U. California, Davis",2,32,"['593,628', '']","['597,962', '']","['590,027', '']","['626,320', '']","['152,571', '']","['211,134', '']","['262,615', '']","['0', '']","['0', '']"
10134,r034,All institutions -> U. Colorado Anschutz Medical Campus<sup>c</sup>,All institutions,U. Colorado Anschutz Medical Campus<sup>c</sup>,2,33,"['na', '']","['na', '']","['559,348', '']","['606,860', '']","['800', '']","['14,636', '']","['591,424', '']","['0', '']","['0', '']"
10134,r035,"All institutions -> Indiana U., Bloomington",All institutions,"Indiana U., Bloomington",2,34,"['470,583', '']","['502,210', '']","['501,125', '']","['550,148', '']","['0', '']","['137,850', '']","['402,704', '']","['0', '']","['9,594', '']"
10134,r036,"All institutions -> Rutgers, State U. New Jersey, New Brunswick",All institutions,"Rutgers, State U. New Jersey, New Brunswick",2,35,"['447,552', '']","['518,906', '']","['483,265', '']","['521,311', '']","['69,581', '']","['214,943', '']","['228,112', '']","['56', '']","['8,619', '']"
10134,r037,All institutions -> U. Cincinnati,All institutions,U. Cincinnati,2,36,"['437,494', '']","['440,721', '']","['456,847', '']","['508,639', '']","['0', '']","['63,666', '']","['428,068', '']","['0', '']","['16,905', '']"
10134,r038,All institutions -> Scripps Research Institute,All institutions,Scripps Research Institute,2,37,"['427,734', '']","['444,964', '']","['485,435', '']","['492,639', '']","['0', '']","['492,639', '']","['0', '']","['0', '']","['0', '']"
10134,r039,All institutions -> Boston U.,All institutions,Boston U.,2,38,"['338,089', '']","['373,079', '']","['445,535', '']","['485,379', '']","['0', '']","['189,654', '']","['295,414', '']","['0', '']","['311', '']"
10134,r040,All institutions -> U. Arizona,All institutions,U. Arizona,2,39,"['426,393', '']","['437,147', '']","['447,584', '']","['471,046', '']","['55,219', '']","['218,490', '']","['183,399', '']","['13,933', '']","['5', '']"
10134,r041,All institutions -> Oregon Health and Science U.,All institutions,Oregon Health and Science U.,2,40,"['403,495', '']","['433,917', '']","['439,212', '']","['463,631', '']","['0', '']","['24,166', '']","['300,193', '']","['802', '']","['138,470', '']"
10134,r042,"All institutions -> Texas A&M U., College Station and Health Science Center",All institutions,"Texas A&M U., College Station and Health Science Center",2,41,"['351,403', '']","['502,372', '']","['487,219', '']","['435,563', '']","['210,583', '']","['99,831', '']","['103,670', '']","['17,297', '']","['4,182', '']"
10134,r043,"All institutions -> U. Virginia, Charlottesville",All institutions,"U. Virginia, Charlottesville",2,42,"['385,793', '']","['420,679', '']","['402,376', '']","['432,700', '']","['0', '']","['249,817', '']","['182,321', '']","['562', '']","['0', '']"
10134,r044,All institutions -> U. Iowa,All institutions,U. Iowa,2,43,"['385,909', '']","['414,459', '']","['415,734', '']","['431,761', '']","['0', '']","['132,705', '']","['295,198', '']","['0', '']","['3,858', '']"
10134,r045,All institutions -> Case Western Reserve U.,All institutions,Case Western Reserve U.,2,44,"['377,671', '']","['384,857', '']","['360,294', '']","['406,880', '']","['0', '']","['91,552', '']","['292,264', '']","['0', '']","['23,064', '']"
10134,r046,All institutions -> U. Chicago,All institutions,U. Chicago,2,45,"['299,549', '']","['302,820', '']","['336,114', '']","['384,527', '']","['0', '']","['91,684', '']","['292,843', '']","['0', '']","['0', '']"
10134,r047,All institutions -> U. Utah,All institutions,U. Utah,2,46,"['343,744', 'i']","['402,001', 'i']","['420,965', 'i']","['379,462', '']","['0', '']","['27,988', '']","['351,390', '']","['84', '']","['0', '']"
10134,r048,"All institutions -> U. Massachusetts, Medical School",All institutions,"U. Massachusetts, Medical School",2,47,"['281,507', '']","['279,096', '']","['347,337', '']","['358,204', '']","['0', '']","['153,954', '']","['132,752', '']","['0', '']","['71,498', '']"
10134,r049,All institutions -> U. Kentucky,All institutions,U. Kentucky,2,48,"['314,547', '']","['322,077', '']","['323,030', '']","['352,400', '']","['61,281', '']","['204,821', '']","['86,296', '']","['0', '']","['2', '']"
