table_id,row_id,time_period,type_of_control_level_1,type_of_control_level_2,type_of_control_hierarchy_depth,value
3795,r001_1,Number of responses,Type of control,Public,2,343
3795,r001_2,Number of responses,Type of control,"Private, nonprofit",2,224
3795,r001_3,Number of responses,HBCU,Yes,2,28
3795,r001_4,Number of responses,HBCU,No,2,539
3795,r001_5,Number of responses,Land-grant institution,Yes,2,76
3795,r001_6,Number of responses,Land-grant institution,No,2,491
3795,r002_1,Requires a PhD or an equivalent doctoral degree? ,Type of control,Public,2,88.9
3795,r002_2,Requires a PhD or an equivalent doctoral degree? ,Type of control,"Private, nonprofit",2,90.2
3795,r002_3,Requires a PhD or an equivalent doctoral degree? ,HBCU,Yes,2,89.3
3795,r002_4,Requires a PhD or an equivalent doctoral degree? ,HBCU,No,2,89.4
3795,r002_5,Requires a PhD or an equivalent doctoral degree? ,Land-grant institution,Yes,2,93.4
3795,r002_6,Requires a PhD or an equivalent doctoral degree? ,Land-grant institution,No,2,88.8
3795,r003_1,Requires that the doctorate was recently awarded? ,Type of control,Public,2,49.0
3795,r003_2,Requires that the doctorate was recently awarded? ,Type of control,"Private, nonprofit",2,51.8
3795,r003_3,Requires that the doctorate was recently awarded? ,HBCU,Yes,2,64.3
3795,r003_4,Requires that the doctorate was recently awarded? ,HBCU,No,2,49.4
3795,r003_5,Requires that the doctorate was recently awarded? ,Land-grant institution,Yes,2,55.3
3795,r003_6,Requires that the doctorate was recently awarded? ,Land-grant institution,No,2,49.3
3795,r004_1,Is a temporary position? ,Type of control,Public,2,83.1
3795,r004_2,Is a temporary position? ,Type of control,"Private, nonprofit",2,78.6
3795,r004_3,Is a temporary position? ,HBCU,Yes,2,82.1
3795,r004_4,Is a temporary position? ,HBCU,No,2,81.3
3795,r004_5,Is a temporary position? ,Land-grant institution,Yes,2,88.2
3795,r004_6,Is a temporary position? ,Land-grant institution,No,2,80.2
3795,r005_1,Is intended to provide training in research? ,Type of control,Public,2,88.9
3795,r005_2,Is intended to provide training in research? ,Type of control,"Private, nonprofit",2,87.5
3795,r005_3,Is intended to provide training in research? ,HBCU,Yes,2,92.9
3795,r005_4,Is intended to provide training in research? ,HBCU,No,2,88.1
3795,r005_5,Is intended to provide training in research? ,Land-grant institution,Yes,2,96.1
3795,r005_6,Is intended to provide training in research? ,Land-grant institution,No,2,87.2
3795,r006_1,Is intended to advance professional skills? ,Type of control,Public,2,88.0
3795,r006_2,Is intended to advance professional skills? ,Type of control,"Private, nonprofit",2,87.9
3795,r006_3,Is intended to advance professional skills? ,HBCU,Yes,2,92.9
3795,r006_4,Is intended to advance professional skills? ,HBCU,No,2,87.8
3795,r006_5,Is intended to advance professional skills? ,Land-grant institution,Yes,2,90.8
