table_id,row_id,_b_state_institutional_control_and_institution_b_full_path,_b_state_institutional_control_and_institution_b_level_1,_b_state_institutional_control_and_institution_b_level_2,_b_state_institutional_control_and_institution_b_level_3,_b_state_institutional_control_and_institution_b_hierarchy_depth,field_2016,field_2017,field_2018,field_2019
3198,r001,Alabama,Alabama,,,1,"['', '']","['', '']","['', '']","['', '']"
3198,r002,Alabama -> Public,Alabama,Public,,2,"['', '']","['', '']","['', '']","['', '']"
3198,r003,"Alabama -> Public -> Auburn U., Montgomery",Alabama,Public,"Auburn U., Montgomery",3,"['369', '']","['430', '']","['227', '']","['325', '']"
3198,r004,Alabama -> Public -> Troy U.,Alabama,Public,Troy U.,3,"['358', '']","['272', '']","['495', '']","['1,507', '']"
3198,r005,Alabama -> Public -> U. West Alabama,Alabama,Public,U. West Alabama,3,"['257', '']","['596', '']","['467', '']","['462', '']"
3198,r006,Alabama -> Private,Alabama,Private,,2,"['', '']","['', '']","['', '']","['', '']"
3198,r007,"Alabama -> Private -> Alabama C., Osteopathic Medicine",Alabama,Private,"Alabama C., Osteopathic Medicine",3,"['ne', '']","['ne', '']","['ne', '']","['370', '']"
3198,r008,Alabama -> Private -> Oakwood U.,Alabama,Private,Oakwood U.,3,"['966', '']","['866', 'i']","['766', 'i']","['666', '']"
3198,r009,Arkansas,Arkansas,,,1,"['', '']","['', '']","['', '']","['', '']"
3198,r010,Arkansas -> Public,Arkansas,Public,,2,"['', '']","['', '']","['', '']","['', '']"
3198,r011,Arkansas -> Public -> Arkansas Tech U.,Arkansas,Public,Arkansas Tech U.,3,"['503', '']","['503', '']","['1,022', '']","['961', '']"
3198,r012,Arkansas -> Public -> Southern Arkansas U.,Arkansas,Public,Southern Arkansas U.,3,"['409', '']","['520', '']","['359', '']","['329', '']"
3198,r013,Arkansas -> Private,Arkansas,Private,,2,"['', '']","['', '']","['', '']","['', '']"
3198,r014,Arkansas -> Private -> Hendrix C.,Arkansas,Private,Hendrix C.,3,"['616', '']","['480', '']","['840', '']","['902', '']"
3198,r015,Arkansas -> Private -> Ouachita Baptist U.,Arkansas,Private,Ouachita Baptist U.,3,"['ne', '']","['ne', '']","['368', '']","['363', 'i']"
3198,r016,Arkansas -> Private -> Philander Smith C.,Arkansas,Private,Philander Smith C.,3,"['383', '']","['378', '']","['426', '']","['219', '']"
3198,r017,California,California,,,1,"['', '']","['', '']","['', '']","['', '']"
3198,r018,California -> Public,California,Public,,2,"['', '']","['', '']","['', '']","['', '']"
3198,r019,"California -> Public -> California State U., East Bay",California,Public,"California State U., East Bay",3,"['837', '']","['466', '']","['491', '']","['8,640', '']"
3198,r020,California -> Public -> Sonoma State U.,California,Public,Sonoma State U.,3,"['693', '']","['765', '']","['949', '']","['1,656', '']"
3198,r021,"California -> Public -> U. California, Hastings C. of Law",California,Public,"U. California, Hastings C. of Law",3,"['780', '']","['1,019', '']","['966', 'i']","['1,034', 'i']"
3198,r022,California -> Private,California,Private,,2,"['', '']","['', '']","['', '']","['', '']"
3198,r023,California -> Private -> Claremont School of Theology,California,Private,Claremont School of Theology,3,"['ne', '']","['248', '']","['390', '']","['431', '']"
