table_id,row_id,_b_field_and_demographic_characteristic_b_full_path,_b_field_and_demographic_characteristic_b_level_1,_b_field_and_demographic_characteristic_b_level_2,_b_field_and_demographic_characteristic_b_level_3,_b_field_and_demographic_characteristic_b_level_4,_b_field_and_demographic_characteristic_b_hierarchy_depth,field_median_age_at_doctorate_years_a,field_all_ages,field_25_and_under,field_26_30,field_31_35,field_36_40,field_41_45,field_over_45
4664,r001,All fields,All fields,,,,1,31.5,100.0,0.6,44.1,31.1,12.0,5.3,6.9
4664,r002,All fields -> Life sciences<sup>b</sup>,All fields,Life sciences<sup>b</sup>,,,2,31.1,100.0,0.5,48.3,32.2,9.8,4.1,5.2
4664,r003,All fields -> Physical sciences and earth sciences,All fields,Physical sciences and earth sciences,,,2,29.6,100.0,,67.1,24.1,5.3,,1.2
4664,r004,All fields -> Mathematics and computer sciences,All fields,Mathematics and computer sciences,,,2,30.4,100.0,1.2,54.9,29.5,8.3,3.2,2.9
4664,r005,All fields -> Psychology and social sciences,All fields,Psychology and social sciences,,,2,32.3,100.0,0.4,36.1,35.8,14.1,5.8,7.8
4664,r006,All fields -> Engineering,All fields,Engineering,,,2,30.2,100.0,1.3,58.2,28.9,7.4,2.3,1.9
4664,r007,All fields -> Education,All fields,Education,,,2,38.5,100.0,,11.8,25.6,23.4,,24.1
4664,r008,All fields -> Humanities and arts,All fields,Humanities and arts,,,2,34.2,100.0,0.1,22.0,39.2,20.5,8.5,9.7
4664,r009,All fields -> Other<sup>c</sup>,All fields,Other<sup>c</sup>,,,2,34.8,100.0,0.3,23.1,33.0,18.7,10.0,14.9
4664,r010,All fields -> Sex,All fields,Sex,,,2,,,,,,,,
4664,r011,All fields -> Sex -> Male,All fields,Sex,Male,,3,31.3,100.0,0.7,46.0,32.0,11.4,4.8,5.1
4664,r012,All fields -> Sex -> Female,All fields,Sex,Female,,3,31.8,100.0,0.6,41.9,30.0,12.6,5.9,9.0
4664,r013,All fields -> Citizenship status,All fields,Citizenship status,,,2,,,,,,,,
4664,r014,All fields -> Citizenship status -> U.S. citizen or permanent resident,All fields,Citizenship status,U.S. citizen or permanent resident,,3,31.8,100.0,0.6,42.5,28.3,12.7,6.4,9.5
4664,r015,All fields -> Citizenship status -> Temporary visa holder,All fields,Citizenship status,Temporary visa holder,,3,31.1,100.0,0.6,47.5,36.4,10.5,3.2,1.8
4664,r016,All fields -> Ethnicity and race (U.S. citizens and permanent residents),All fields,Ethnicity and race (U.S. citizens and permanent residents),,,2,,,,,,,,
4664,r017,All fields -> Ethnicity and race (U.S. citizens and permanent residents) -> Hispanic or Latino,All fields,Ethnicity and race (U.S. citizens and permanent residents),Hispanic or Latino,,3,32.3,100.0,0.3,40.2,29.1,13.9,7.3,9.2
4664,r018,All fields -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino,All fields,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,,3,,,,,,,,
4664,r019,All fields -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> American Indian or Alaska Native,All fields,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,American Indian or Alaska Native,4,36.5,100.0,0.0,22.9,26.0,15.6,11.5,24.0
4664,r020,All fields -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> Asian,All fields,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,Asian,4,31.1,100.0,1.0,47.6,29.8,10.7,5.2,5.7
4664,r021,All fields -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> Black or African American,All fields,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,Black or African American,4,36.2,100.0,0.3,24.0,25.0,16.1,10.7,24.0
4664,r022,All fields -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> White,All fields,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,White,4,31.6,100.0,0.6,44.0,28.3,12.4,6.0,8.7
4664,r023,All fields -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> More than one race,All fields,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,More than one race,4,30.8,100.0,1.2,49.5,26.2,11.6,5.2,6.2
4664,r024,All fields -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> Other race or race not reported,All fields,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,Other race or race not reported,4,32.5,100.0,0.0,39.6,29.2,17.2,5.8,8.1
4664,r025,All fields -> Ethnicity and race (U.S. citizens and permanent residents) -> Ethnicity not reported,All fields,Ethnicity and race (U.S. citizens and permanent residents),Ethnicity not reported,,3,33.3,100.0,1.0,29.6,31.6,17.2,9.8,10.8
