table_id,row_id,country,tried_to_get_information_about_science_in_the_past_30_days,tried_to_get_information_about_medicine_disease_or_health_in_the_past_30_days,would_like_to_know_more_about_science,would_like_to_know_more_about_medicine_disease_or_health
6678,r001,"Weighted percentage among all top 16 R&D countries (n = 18,688)",0.7,0.7,0.7,0.6
6678,r002,"Norway (n = 1,000)",1.9,1.9,1.7,1.7
6678,r003,"Sweden (n = 1,000)",1.9,1.8,1.7,1.7
6678,r004,"United States (n = 1,006)",2.0,1.9,2.0,1.7
6678,r005,"Germany (n = 1,000)",1.9,1.8,1.9,1.9
6678,r006,"Finland (n = 1,000)",1.9,1.9,1.8,1.7
6678,r007,"Denmark (n = 1,000)",1.7,1.6,1.7,1.6
6678,r008,"Switzerland (n = 1,000)",2.0,1.9,2.0,1.9
6678,r009,"Belgium (n = 1,004)",1.8,1.8,1.8,1.7
6678,r010,"France (n = 1,000)",1.9,1.9,1.9,1.9
6678,r011,"Austria (n = 1,000)",1.8,1.7,1.8,1.8
6678,r012,"Netherlands (n = 1,001)",1.9,1.8,1.9,1.8
6678,r013,"Israel (n = 1,010)",1.8,1.8,1.7,1.6
6678,r014,"Taiwan (n = 1,000)",1.8,1.9,1.9,1.7
6678,r015,"South Korea (n = 1,014)",1.7,1.7,1.7,1.3
6678,r016,"China (n = 3,649)",0.9,1.0,0.9,0.8
6678,r017,"Japan (n = 1,004)",1.7,1.9,2.0,1.6
