table_id,row_id,_b_country_or_economy_b_full_path,_b_country_or_economy_b_level_1,_b_country_or_economy_b_level_2,_b_country_or_economy_b_level_3,_b_country_or_economy_b_hierarchy_depth,field_rank,field_doctorate_recipients
7576,r001,All temporary visa holders (166 countries or economies)<sup>a</sup>,All temporary visa holders (166 countries or economies)<sup>a</sup>,,,1,-,17285
7576,r002,All temporary visa holders (166 countries or economies)<sup>a</sup> -> Top 40 countries or economies of origin,All temporary visa holders (166 countries or economies)<sup>a</sup>,Top 40 countries or economies of origin,,2,-,16107
7576,r003,All temporary visa holders (166 countries or economies)<sup>a</sup> -> Top 40 countries or economies of origin -> China<sup>b</sup>,All temporary visa holders (166 countries or economies)<sup>a</sup>,Top 40 countries or economies of origin,China<sup>b</sup>,3,1,6148
7576,r004,All temporary visa holders (166 countries or economies)<sup>a</sup> -> Top 40 countries or economies of origin -> India ,All temporary visa holders (166 countries or economies)<sup>a</sup>,Top 40 countries or economies of origin,India ,3,2,2291
7576,r005,All temporary visa holders (166 countries or economies)<sup>a</sup> -> Top 40 countries or economies of origin -> South Korea ,All temporary visa holders (166 countries or economies)<sup>a</sup>,Top 40 countries or economies of origin,South Korea ,3,3,1026
7576,r006,All temporary visa holders (166 countries or economies)<sup>a</sup> -> Top 40 countries or economies of origin -> Iran ,All temporary visa holders (166 countries or economies)<sup>a</sup>,Top 40 countries or economies of origin,Iran ,3,4,809
7576,r007,All temporary visa holders (166 countries or economies)<sup>a</sup> -> Top 40 countries or economies of origin -> Saudi Arabia ,All temporary visa holders (166 countries or economies)<sup>a</sup>,Top 40 countries or economies of origin,Saudi Arabia ,3,5,477
7576,r008,All temporary visa holders (166 countries or economies)<sup>a</sup> -> Top 40 countries or economies of origin -> Taiwan ,All temporary visa holders (166 countries or economies)<sup>a</sup>,Top 40 countries or economies of origin,Taiwan ,3,6,409
7576,r009,All temporary visa holders (166 countries or economies)<sup>a</sup> -> Top 40 countries or economies of origin -> Bangladesh ,All temporary visa holders (166 countries or economies)<sup>a</sup>,Top 40 countries or economies of origin,Bangladesh ,3,7,397
7576,r010,All temporary visa holders (166 countries or economies)<sup>a</sup> -> Top 40 countries or economies of origin -> Canada ,All temporary visa holders (166 countries or economies)<sup>a</sup>,Top 40 countries or economies of origin,Canada ,3,8,367
7576,r011,All temporary visa holders (166 countries or economies)<sup>a</sup> -> Top 40 countries or economies of origin -> Turkey ,All temporary visa holders (166 countries or economies)<sup>a</sup>,Top 40 countries or economies of origin,Turkey ,3,9,330
7576,r012,All temporary visa holders (166 countries or economies)<sup>a</sup> -> Top 40 countries or economies of origin -> Brazil,All temporary visa holders (166 countries or economies)<sup>a</sup>,Top 40 countries or economies of origin,Brazil,3,10,273
7576,r013,All temporary visa holders (166 countries or economies)<sup>a</sup> -> Top 40 countries or economies of origin -> Nepal ,All temporary visa holders (166 countries or economies)<sup>a</sup>,Top 40 countries or economies of origin,Nepal ,3,11,251
