table_id,row_id,_b_state_or_territory_control_and_institution_b_full_path,_b_state_or_territory_control_and_institution_b_level_1,_b_state_or_territory_control_and_institution_b_level_2,_b_state_or_territory_control_and_institution_b_level_3,_b_state_or_territory_control_and_institution_b_hierarchy_depth,field_started_in_fy_2006_or_fy_2007,field_started_in_fy_2008_or_fy_2009,field_started_in_fy_2010_or_fy_2011,field_started_in_fy_2012_or_fy_2013,field_started_in_fy_2014_or_fy_2015,field_started_in_fy_2016_or_fy_2017,field_started_in_fy_2018_or_fy_2019,field_started_in_fy_2020_or_fy_2021,field_planned_to_start_in_fy_2022_or_fy_2023,field_deferred_projects_included_in_institutional_plan,field_deferred_projects_not_included_in_institutional_plan
7862,r001,Alabama,Alabama,,,1,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
7862,r002,Alabama -> Public,Alabama,Public,,2,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
7862,r003,Alabama -> Public -> Alabama A&M U.,Alabama,Public,Alabama A&M U.,3,"['0', '']","['NA', '']","['0', '']","['0', '']","['1,919', '']","['0', '']","['382', '']","['4,804', '']","['0', '']","['3,500', '']","['0', '']"
7862,r004,Alabama -> Public -> Alabama State U.,Alabama,Public,Alabama State U.,3,"['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['4,800', '']","['275', '']","['300', '']","['3,000', '']","['0', '']"
7862,r005,"Alabama -> Public -> Auburn U., Auburn",Alabama,Public,"Auburn U., Auburn",3,"['na', '']","['na', '']","['0', '']","['6,041', '']","['1,714', '']","['22,388', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
7862,r006,Alabama -> Public -> Troy U.,Alabama,Public,Troy U.,3,"['ne', '']","['ne', '']","['ne', '']","['ne', '']","['ne', '']","['ne', '']","['ne', '']","['0', '']","['0', '']","['0', '']","['0', '']"
7862,r007,"Alabama -> Public -> U. Alabama, Birmingham",Alabama,Public,"U. Alabama, Birmingham",3,"['2,945', '']","['5,087', '']","['8,118', '']","['441', '']","['294', '']","['2,264', '']","['0', '']","['7,704', '']","['14,507', '']","['10,795', '']","['0', '']"
7862,r008,"Alabama -> Public -> U. Alabama, Huntsville",Alabama,Public,"U. Alabama, Huntsville",3,"['0', '']","['0', '']","['0', '']","['975', '']","['0', '']","['320', '']","['0', '']","['677', '']","['0', '']","['0', '']","['0', '']"
7862,r009,"Alabama -> Public -> U. Alabama, Tuscaloosa",Alabama,Public,"U. Alabama, Tuscaloosa",3,"['0', '']","['707', '']","['2,642', '']","['400', '']","['8,568', '']","['14,951', '']","['13,952', '']","['2,206', '']","['1,969', '']","['0', '']","['0', '']"
7862,r010,Alabama -> Public -> U. South Alabama,Alabama,Public,U. South Alabama,3,"['0', '']","['0', '']","['0', '']","['0', '']","['1,376', '']","['1,750', '']","['2,411', '']","['0', '']","['0', '']","['0', '']","['0', '']"
7862,r011,Alabama -> Private,Alabama,Private,,2,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
7862,r012,Alabama -> Private -> Tuskegee U.,Alabama,Private,Tuskegee U.,3,"['11,529', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
7862,r013,Alaska,Alaska,,,1,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
7862,r014,Alaska -> Public,Alaska,Public,,2,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
7862,r015,"Alaska -> Public -> U. Alaska, Anchorage",Alaska,Public,"U. Alaska, Anchorage",3,"['0', '']","['NA', '']","['NA', '']","['27,900', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
7862,r016,"Alaska -> Public -> U. Alaska, Fairbanks",Alaska,Public,"U. Alaska, Fairbanks",3,"['NA', '']","['9,000', '']","['2,942', '']","['13,427', '']","['18,288', '']","['6,498', '']","['6,487', '']","['6,853', '']","['4,414', '']","['190,500', '']","['0', '']"
7862,r017,"Alaska -> Public -> U. Alaska, Southeast",Alaska,Public,"U. Alaska, Southeast",3,"['ne', '']","['NA', '']","['3,450', '']","['0', '']","['0', '']","['0', '']","['0', '']","['1,125', '']","['1,125', '']","['2,500', '']","['0', '']"
7862,r018,Alaska -> Private,Alaska,Private,,2,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
7862,r019,Alaska -> Private -> Alaska Pacific U.,Alaska,Private,Alaska Pacific U.,3,"['ne', '']","['ne', '']","['ne', '']","['ne', '']","['ne', '']","['0', '']","['0', '']","['500', '']","['0', '']","['0', '']","['0', '']"
7862,r020,Arizona,Arizona,,,1,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
7862,r021,Arizona -> Public,Arizona,Public,,2,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
7862,r022,Arizona -> Public -> Arizona State U.,Arizona,Public,Arizona State U.,3,"['2,366', '']","['7,449', '']","['21,375', '']","['34,247', '']","['26,180', '']","['29,478', '']","['33,748', '']","['53,198', '']","['9,757', '']","['0', '']","['0', '']"
7862,r023,Arizona -> Public -> Northern Arizona U.,Arizona,Public,Northern Arizona U.,3,"['750', '']","['500', '']","['5,000', '']","['1,889', '']","['3,641', '']","['4,474', '']","['498', '']","['0', '']","['2,455', '']","['0', '']","['0', '']"
7862,r024,Arizona -> Public -> U. Arizona,Arizona,Public,U. Arizona,3,"['11,685', '']","['2,918', '']","['5,725', '']","['53,029', '']","['8,607', '']","['21,000', '']","['24,320', '']","['23,859', '']","['14,853', '']","['0', '']","['39,517', '']"
7862,r025,Arkansas,Arkansas,,,1,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
7862,r026,Arkansas -> Public,Arkansas,Public,,2,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
7862,r027,"Arkansas -> Public -> Arkansas State U., Jonesboro",Arkansas,Public,"Arkansas State U., Jonesboro",3,"['403', '']","['0', '']","['2,000', '']","['1,800', '']","['1,800', '']","['0', '']","['0', '']","['350', '']","['0', '']","['0', '']","['0', '']"
7862,r028,Arkansas -> Public -> U. Arkansas for Medical Sciences,Arkansas,Public,U. Arkansas for Medical Sciences,3,"['0', '']","['2,267', '']","['10,974', '']","['430', '']","['0', '']","['2,879', '']","['3,511', '']","['20,221', '']","['0', '']","['0', '']","['0', '']"
7862,r029,"Arkansas -> Public -> U. Arkansas, Fayetteville",Arkansas,Public,"U. Arkansas, Fayetteville",3,"['6,165', '']","['0', '']","['0', '']","['463', '']","['2,571', '']","['2,920', '']","['1,805', '']","['4,470', '']","['625', '']","['32,000', '']","['0', '']"
7862,r030,"Arkansas -> Public -> U. Arkansas, Little Rock",Arkansas,Public,"U. Arkansas, Little Rock",3,"['3,000', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['2,600', '']","['0', '']","['0', '']","['0', '']","['0', '']"
7862,r031,"Arkansas -> Public -> U. Arkansas, Pine Bluff",Arkansas,Public,"U. Arkansas, Pine Bluff",3,"['0', '']","['0', '']","['0', '']","['1,200', '']","['0', '']","['0', '']","['0', '']","['14,529', '']","['0', '']","['0', '']","['0', '']"
7862,r032,Arkansas -> Public -> U. Central Arkansas,Arkansas,Public,U. Central Arkansas,3,"['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['260', '']","['530', '']","['0', '']","['0', '']","['0', '']","['0', '']"
7862,r033,California,California,,,1,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
7862,r034,California -> Public,California,Public,,2,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
7862,r035,"California -> Public -> California Polytechnic State U., San Luis Obispo",California,Public,"California Polytechnic State U., San Luis Obispo",3,"['1,650', '']","['0', '']","['250', '']","['0', '']","['0', '']","['1,044', '']","['922', '']","['600', '']","['1,750', '']","['0', '']","['9,000', '']"
7862,r036,"California -> Public -> California State Polytechnic U., Pomona",California,Public,"California State Polytechnic U., Pomona",3,"['0', '']","['463', '']","['1,592', '']","['15,014', '']","['250', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['5,500', '']"
7862,r037,"California -> Public -> California State U., Bakersfield",California,Public,"California State U., Bakersfield",3,"['0', '']","['1,025', '']","['675', '']","['0', '']","['0', '']","['0', '']","['643', '']","['0', '']","['0', '']","['0', '']","['0', '']"
7862,r038,"California -> Public -> California State U., Channel Islands",California,Public,"California State U., Channel Islands",3,"['ne', '']","['ne', '']","['ne', '']","['ne', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
7862,r039,"California -> Public -> California State U., Chico",California,Public,"California State U., Chico",3,"['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['500', '']","['0', '']","['0', '']","['0', '']","['0', '']"
7862,r040,"California -> Public -> California State U., Dominguez Hills",California,Public,"California State U., Dominguez Hills",3,"['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
7862,r041,"California -> Public -> California State U., East Bay",California,Public,"California State U., East Bay",3,"['0', '']","['0', '']","['0', '']","['0', '']","['ne', '']","['ne', '']","['ne', '']","['0', '']","['0', '']","['0', '']","['0', '']"
7862,r042,"California -> Public -> California State U., Fresno",California,Public,"California State U., Fresno",3,"['0', '']","['667', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
7862,r043,"California -> Public -> California State U., Fullerton",California,Public,"California State U., Fullerton",3,"['800', '']","['900', '']","['3,440', '']","['0', '']","['3,000', '']","['0', '']","['0', '']","['0', '']","['27,000', '']","['0', '']","['0', '']"
