table_id,row_id,region_full_path,region_level_1,region_level_2,region_hierarchy_depth,field_2010,field_2011,field_2012,field_2013,field_2014,field_2015,field_2016,field_2017,field_2018,field_2019,field_2020
6210,r001,Midwest,Midwest,,1,122.85,122.15,151.21,136.72,220.77,362.47,218.33,398.76,555.32,630.32,541.48
6210,r002,Midwest -> Illinois,Midwest,Illinois,2,NA,54.39,9.98,16.23,25.75,143.87,67.9,119.25,10.42,220.85,12.39
6210,r003,Midwest -> Indiana,Midwest,Indiana,2,28.1,1.03,0.31,5.98,4.01,4.93,12.49,20.22,23.98,58.0,79.38
6210,r004,Midwest -> Iowa,Midwest,Iowa,2,2.49,0.45,2.59,NA,25.47,0.16,1.23,0.01,0.64,2.3,0.88
6210,r005,Midwest -> Kansas,Midwest,Kansas,2,3.36,5.39,6.68,NA,0.73,4.02,NA,9.57,15.96,0.01,0.05
6210,r006,Midwest -> Michigan,Midwest,Michigan,2,20.56,7.68,60.4,24.99,37.64,91.25,52.71,31.93,85.57,48.61,99.15
6210,r007,Midwest -> Minnesota,Midwest,Minnesota,2,2.1,18.35,12.31,0.04,11.53,7.35,11.98,78.35,68.21,56.63,42.54
6210,r008,Midwest -> Missouri,Midwest,Missouri,2,0.83,0.82,9.13,23.94,34.49,15.03,16.32,62.01,14.2,84.2,129.75
6210,r009,Midwest -> Nebraska,Midwest,Nebraska,2,NA,NA,NA,NA,6.65,4.32,0.01,3.54,5.49,4.6,21.47
6210,r010,Midwest -> North Dakota,Midwest,North Dakota,2,NA,NA,NA,0.15,NA,NA,NA,NA,1.63,NA,NA
6210,r011,Midwest -> Ohio,Midwest,Ohio,2,12.07,2.3,37.36,58.6,46.33,25.19,31.69,48.63,226.11,95.56,102.41
6210,r012,Midwest -> South Dakota,Midwest,South Dakota,2,NA,NA,NA,NA,6.62,NA,4.18,NA,22.0,NA,14.0
