table_id,row_id,time_period,_b_total_in_survey_b_level_1,_b_total_in_survey_b_level_2,_b_total_in_survey_b_hierarchy_depth,value
6019,r001,"Fall 2020, all surveyed fields<sup>a</sup>",Total in survey,Postdoctoral appointees,2,65681
6019,r002,"Fall 2020, all surveyed fields<sup>a</sup>",Total in survey,Doctorate nonfaculty researchers,2,29661
6019,r003,"Fall 2020, all surveyed fields<sup>a</sup>",Number imputed,Postdoctoral appointees,2,2927
6019,r004,"Fall 2020, all surveyed fields<sup>a</sup>",Number imputed,Doctorate nonfaculty researchers,2,1935
6019,r005,"Fall 2020, all surveyed fields<sup>a</sup>",Imputation rate (%),Postdoctoral appointees,2,4.5
6019,r006,"Fall 2020, all surveyed fields<sup>a</sup>",Imputation rate (%),Doctorate nonfaculty researchers,2,6.5
6019,r007,"Fall 2020, all surveyed fields<sup>a</sup> -> Science",Total in survey,Postdoctoral appointees,2,38741
6019,r008,"Fall 2020, all surveyed fields<sup>a</sup> -> Science",Total in survey,Doctorate nonfaculty researchers,2,18212
6019,r009,"Fall 2020, all surveyed fields<sup>a</sup> -> Science",Number imputed,Postdoctoral appointees,2,2162
6019,r010,"Fall 2020, all surveyed fields<sup>a</sup> -> Science",Number imputed,Doctorate nonfaculty researchers,2,1304
6019,r011,"Fall 2020, all surveyed fields<sup>a</sup> -> Science",Imputation rate (%),Postdoctoral appointees,2,5.6
6019,r012,"Fall 2020, all surveyed fields<sup>a</sup> -> Science",Imputation rate (%),Doctorate nonfaculty researchers,2,7.2
6019,r013,"Fall 2020, all surveyed fields<sup>a</sup> -> Science -> Agricultural and veterinary sciences",Total in survey,Postdoctoral appointees,2,1678
6019,r014,"Fall 2020, all surveyed fields<sup>a</sup> -> Science -> Agricultural and veterinary sciences",Total in survey,Doctorate nonfaculty researchers,2,964
6019,r015,"Fall 2020, all surveyed fields<sup>a</sup> -> Science -> Agricultural and veterinary sciences",Number imputed,Postdoctoral appointees,2,81
6019,r016,"Fall 2020, all surveyed fields<sup>a</sup> -> Science -> Agricultural and veterinary sciences",Number imputed,Doctorate nonfaculty researchers,2,62
