table_id,row_id,_b_institution_b_full_path,_b_institution_b_level_1,_b_institution_b_level_2,_b_institution_b_hierarchy_depth,field_rank,field_all_r_d_expenditures,field_source_of_funds_federal_government,field_source_of_funds_state_and_local_government,field_source_of_funds_institution_funds,field_source_of_funds_business,field_source_of_funds_nonprofit_organizations,field_source_of_funds_all_other_sources
10126,r001,All HHE institutions,All HHE institutions,,1,-,"['8,485,548', '']","['4,276,201', '']","['700,887', '']","['2,479,484', '']","['340,163', '']","['421,237', '']","['267,576', '']"
10126,r002,"All HHE institutions -> Texas A&M U., College Station and Health Science Center",All HHE institutions,"Texas A&M U., College Station and Health Science Center",2,1,"['1,152,666', '']","['505,355', '']","['218,735', '']","['315,112', '']","['35,535', '']","['47,156', '']","['30,773', '']"
10126,r003,"All HHE institutions -> U. Texas, Austin",All HHE institutions,"U. Texas, Austin",2,2,"['845,896', '']","['536,296', '']","['31,721', '']","['151,594', '']","['76,512', '']","['45,893', '']","['3,880', '']"
10126,r004,All HHE institutions -> U. Arizona,All HHE institutions,U. Arizona,2,3,"['824,340', '']","['374,936', '']","['30,993', '']","['254,878', '']","['27,911', '']","['28,814', '']","['106,808', '']"
10126,r005,"All HHE institutions -> U. California, Irvine",All HHE institutions,"U. California, Irvine",2,4,"['534,947', '']","['291,393', '']","['15,008', '']","['115,832', '']","['42,941', '']","['33,110', '']","['36,663', '']"
10126,r006,"All HHE institutions -> U. Illinois, Chicago",All HHE institutions,"U. Illinois, Chicago",2,5,"['440,573', '']","['251,328', '']","['6,914', '']","['131,574', '']","['11,917', '']","['30,691', '']","['8,149', '']"
10126,r007,All HHE institutions -> U. New Mexico,All HHE institutions,U. New Mexico,2,6,"['331,164', '']","['232,774', '']","['6,491', '']","['67,949', '']","['4,625', '']","['17,427', '']","['1,898', '']"
10126,r008,All HHE institutions -> Florida International U.,All HHE institutions,Florida International U.,2,7,"['281,665', '']","['129,683', '']","['20,013', '']","['120,737', '']","['2,800', '']","['7,184', '']","['1,248', '']"
10126,r009,"All HHE institutions -> U. California, Santa Barbara",All HHE institutions,"U. California, Santa Barbara",2,8,"['278,897', '']","['161,241', '']","['6,212', '']","['57,814', '']","['16,324', '']","['27,839', '']","['9,467', '']"
10126,r010,All HHE institutions -> U. Houston,All HHE institutions,U. Houston,2,9,"['240,126', '']","['84,295', '']","['28,999', '']","['107,699', '']","['9,709', '']","['6,502', '']","['2,922', '']"
10126,r011,"All HHE institutions -> U. Texas Health Science Center, San Antonio",All HHE institutions,"U. Texas Health Science Center, San Antonio",2,10,"['238,510', '']","['119,071', '']","['27,587', '']","['57,408', '']","['9,276', '']","['24,858', '']","['310', '']"
10126,r012,All HHE institutions -> Texas Tech U.,All HHE institutions,Texas Tech U.,2,11,"['226,729', '']","['45,136', '']","['29,861', '']","['121,050', '']","['13,367', '']","['16,426', '']","['889', '']"
10126,r013,All HHE institutions -> U. Central Florida,All HHE institutions,U. Central Florida,2,12,"['221,488', '']","['110,131', '']","['8,500', '']","['82,434', '']","['11,278', '']","['5,068', '']","['4,077', '']"
10126,r014,All HHE institutions -> U. Texas Medical Branch,All HHE institutions,U. Texas Medical Branch,2,13,"['204,518', '']","['123,467', '']","['8,481', '']","['53,371', '']","['7,267', '']","['11,932', '']","['0', '']"
10126,r015,"All HHE institutions -> U. California, Riverside",All HHE institutions,"U. California, Riverside",2,14,"['199,135', '']","['114,257', '']","['8,566', '']","['51,532', '']","['6,267', '']","['8,538', '']","['9,975', '']"
