table_id,row_id,_b_sex_and_financial_resource_b_full_path,_b_sex_and_financial_resource_b_level_1,_b_sex_and_financial_resource_b_level_2,_b_sex_and_financial_resource_b_level_3,_b_sex_and_financial_resource_b_level_4,_b_sex_and_financial_resource_b_hierarchy_depth,field_all_fields,field_science_and_engineering_total,field_science_and_engineering_agricultural_sciences_and_natural_resources,field_science_and_engineering_biological_and_biomedical_sciences,field_science_and_engineering_computer_and_information_sciences,field_science_and_engineering_engineering,field_science_and_engineering_geosciences_atmospheric_and_ocean_sciences,field_science_and_engineering_health_sciences,field_science_and_engineering_mathematics_and_statistics,field_science_and_engineering_multidisciplinary_interdisciplinary_sciences,field_science_and_engineering_physical_sciences,field_science_and_engineering_psychology,field_science_and_engineering_social_sciences,field_non_science_and_engineering_total,field_non_science_and_engineering_business,field_non_science_and_engineering_education,field_non_science_and_engineering_humanities,field_non_science_and_engineering_visual_and_performing_arts,field_non_science_and_engineering_other_non_science_and_engineering
11684,r001,All doctorate recipients reporting source of support (number),All doctorate recipients reporting source of support (number),,,,1,51181,40949,1118,8849,1998,9484,1108,2367,1850,1527,4901,3194,4553,10232,1290,3428,2893,720,1901
11684,r002,All doctorate recipients reporting source of support (number) -> Fellowship or scholarship,All doctorate recipients reporting source of support (number),Fellowship or scholarship,,,2,67.0,66.6,67.3,72.1,54.8,61.8,74.6,59.8,63.8,64.9,62.6,62.7,80.8,68.9,72.6,51.1,83.7,88.8,68.5
11684,r003,All doctorate recipients reporting source of support (number) -> Dissertation grant,All doctorate recipients reporting source of support (number),Dissertation grant,,,2,18.3,16.1,18.2,15.0,6.8,8.9,17.5,21.0,7.4,13.8,8.5,23.6,41.2,27.2,17.2,14.8,40.8,41.9,30.1
11684,r004,All doctorate recipients reporting source of support (number) -> Assistantship,All doctorate recipients reporting source of support (number),Assistantship,,,2,,,,,,,,,,,,,,,,,,,
11684,r005,All doctorate recipients reporting source of support (number) -> Assistantship -> Teaching,All doctorate recipients reporting source of support (number),Assistantship,Teaching,,3,68.5,69.3,53.0,56.2,76.3,65.4,78.0,46.3,92.6,70.7,88.4,70.0,82.8,65.5,70.8,38.3,86.2,89.6,70.1
11684,r006,All doctorate recipients reporting source of support (number) -> Assistantship -> Research,All doctorate recipients reporting source of support (number),Assistantship,Research,,3,68.4,74.2,81.2,66.6,84.2,85.0,86.6,52.3,64.4,78.0,88.7,61.7,64.8,45.1,65.0,37.1,39.3,35.3,58.4
11684,r007,All doctorate recipients reporting source of support (number) -> Assistantship -> Other,All doctorate recipients reporting source of support (number),Assistantship,Other,,3,8.3,7.0,7.5,4.1,4.7,5.0,8.0,7.2,5.7,6.3,4.1,20.5,11.6,13.6,8.2,14.4,14.8,14.9,13.4
11684,r008,All doctorate recipients reporting source of support (number) -> Traineeship,All doctorate recipients reporting source of support (number),Traineeship,,,2,4.0,4.8,2.0,11.5,1.5,2.6,1.5,6.5,1.6,2.5,2.0,6.7,2.3,0.8,0.5,0.6,1.0,1.0,1.2
11684,r009,All doctorate recipients reporting source of support (number) -> Internship or clinical residency,All doctorate recipients reporting source of support (number),Internship or clinical residency,,,2,12.2,14.3,5.6,4.6,40.8,18.3,10.7,6.0,19.8,24.6,6.5,39.6,5.5,3.8,3.9,2.7,3.9,6.3,4.5
11684,r010,All doctorate recipients reporting source of support (number) -> Loan (any source),All doctorate recipients reporting source of support (number),Loan (any source),,,2,20.4,16.9,17.5,14.6,8.8,9.8,11.7,36.2,7.3,13.3,9.3,45.1,24.7,34.4,18.2,45.0,29.5,32.1,34.7
11684,r011,All doctorate recipients reporting source of support (number) -> Personal sources,All doctorate recipients reporting source of support (number),Personal sources,,,2,,,,,,,,,,,,,,,,,,,
11684,r012,All doctorate recipients reporting source of support (number) -> Personal sources -> Savings,All doctorate recipients reporting source of support (number),Personal sources,Savings,,3,53.5,51.0,54.0,52.6,46.6,44.0,49.5,61.7,44.5,51.2,40.6,67.7,60.4,63.7,62.8,67.0,60.1,64.6,63.6
11684,r013,All doctorate recipients reporting source of support (number) -> Personal sources -> Other earnings during graduate school,All doctorate recipients reporting source of support (number),Personal sources,Other earnings during graduate school,,3,29.9,25.0,29.6,23.0,17.6,15.8,24.0,45.7,19.7,23.2,14.3,46.5,39.2,49.5,24.6,59.1,50.0,57.1,45.5
11684,r014,"All doctorate recipients reporting source of support (number) -> Spouse's, partner's, or family's earnings or savings",All doctorate recipients reporting source of support (number),"Spouse's, partner's, or family's earnings or savings",,,2,40.5,38.7,34.7,41.0,32.4,33.3,36.7,45.8,33.0,36.2,30.9,57.7,44.4,47.8,48.2,46.2,49.3,50.7,47.0
11684,r015,All doctorate recipients reporting source of support (number) -> Employer reimbursement or assistance,All doctorate recipients reporting source of support (number),Employer reimbursement or assistance,,,2,10.2,8.6,10.5,7.6,10.4,7.3,9.9,21.5,7.3,9.2,5.8,8.4,8.5,16.7,12.2,27.7,9.9,6.0,14.3
11684,r016,All doctorate recipients reporting source of support (number) -> Foreign (non-U.S.) support,All doctorate recipients reporting source of support (number),Foreign (non-U.S.) support,,,2,4.5,4.3,6.4,3.2,5.5,5.5,5.4,5.2,4.1,5.1,3.0,1.2,5.9,5.0,5.7,3.9,4.8,6.9,6.1
11684,r017,All doctorate recipients reporting source of support (number) -> Other ,All doctorate recipients reporting source of support (number),Other ,,,2,1.1,1.0,1.2,0.9,1.2,0.5,1.1,2.0,0.6,1.2,0.6,1.8,1.2,1.5,1.6,1.7,1.3,1.8,1.6
11684,r018,All doctorate recipients reporting source of support (number) -> Male doctorate recipients reporting source of support (number),All doctorate recipients reporting source of support (number),Male doctorate recipients reporting source of support (number),,,2,26872,22714,498,4011,1502,6976,610,678,1325,951,3227,734,2202,4158,711,920,1470,312,745
11684,r019,All doctorate recipients reporting source of support (number) -> Male doctorate recipients reporting source of support (number) -> Fellowship or scholarship,All doctorate recipients reporting source of support (number),Male doctorate recipients reporting source of support (number),Fellowship or scholarship,,3,64.5,63.3,65.1,69.5,52.6,59.1,71.6,57.8,63.8,59.2,59.4,59.4,80.2,71.4,74.0,48.6,82.4,85.6,69.3
11684,r020,All doctorate recipients reporting source of support (number) -> Male doctorate recipients reporting source of support (number) -> Dissertation grant,All doctorate recipients reporting source of support (number),Male doctorate recipients reporting source of support (number),Dissertation grant,,3,14.6,12.4,15.9,13.2,6.0,8.1,14.8,11.7,7.1,11.1,7.7,17.3,36.7,26.3,14.5,12.2,38.0,31.4,29.9
11684,r021,All doctorate recipients reporting source of support (number) -> Male doctorate recipients reporting source of support (number) -> Assistantship,All doctorate recipients reporting source of support (number),Male doctorate recipients reporting source of support (number),Assistantship,,3,,,,,,,,,,,,,,,,,,,
11684,r022,All doctorate recipients reporting source of support (number) -> Male doctorate recipients reporting source of support (number) -> Assistantship -> Teaching,All doctorate recipients reporting source of support (number),Male doctorate recipients reporting source of support (number),Assistantship,Teaching,4,70.7,71.0,48.8,56.8,75.7,65.0,76.1,53.2,92.5,69.9,88.6,71.5,83.2,69.5,70.0,36.0,85.4,88.1,71.0
11684,r023,All doctorate recipients reporting source of support (number) -> Male doctorate recipients reporting source of support (number) -> Assistantship -> Research,All doctorate recipients reporting source of support (number),Male doctorate recipients reporting source of support (number),Assistantship,Research,4,72.0,77.0,85.3,66.9,84.7,84.9,85.6,56.2,62.9,79.9,89.0,57.5,63.7,44.3,66.1,33.7,37.7,27.6,56.9
11684,r024,All doctorate recipients reporting source of support (number) -> Male doctorate recipients reporting source of support (number) -> Assistantship -> Other,All doctorate recipients reporting source of support (number),Male doctorate recipients reporting source of support (number),Assistantship,Other,4,7.0,6.0,10.0,4.1,4.3,4.9,7.9,7.7,6.0,6.0,4.6,16.6,10.0,12.4,6.6,15.7,12.0,13.1,14.5
