table_id,row_id,_b_characteristic_b_full_path,_b_characteristic_b_level_1,_b_characteristic_b_level_2,_b_characteristic_b_level_3,_b_characteristic_b_level_4,_b_characteristic_b_hierarchy_depth,field_all_biological_and_biomedical_sciences_fields,field_biochemistry_biophysics_and_molecular_biology,field_bioinformatics_biostatistics_and_computational_biology,field_cell_cellular_biology_and_anatomy,field_ecology_evolutionary_biology_and_epidemiology,field_genetics_and_genomics,field_microbiology_and_immunology,field_neurobiology_and_neurosciences,field_pharmacology_and_toxicology,field_physiology_oncology_and_cancer_biology,field_biological_and_biomedical_sciences_other
7627,r001,All doctorate recipients (number)<sup>a</sup>,All doctorate recipients (number)<sup>a</sup>,,,,1,8259,1348,563,657,984,398,974,1014,311,713,1297
7627,r002,All doctorate recipients (number)<sup>a</sup> -> Sex (%),All doctorate recipients (number)<sup>a</sup>,Sex (%),,,2,,,,,,,,,,,
7627,r003,All doctorate recipients (number)<sup>a</sup> -> Sex (%) -> Male,All doctorate recipients (number)<sup>a</sup>,Sex (%),Male,,3,47.8,53.3,58.4,47.3,40.1,47.5,43.6,45.2,47.3,52.2,46.4
7627,r004,All doctorate recipients (number)<sup>a</sup> -> Sex (%) -> Female,All doctorate recipients (number)<sup>a</sup>,Sex (%),Female,,3,52.2,46.7,41.6,52.7,59.9,52.5,56.4,54.8,52.7,47.8,53.5
7627,r005,All doctorate recipients (number)<sup>a</sup> -> Sex (%) -> Unknown,All doctorate recipients (number)<sup>a</sup>,Sex (%),Unknown,,3,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
7627,r006,All doctorate recipients (number)<sup>a</sup> -> Citizenship status (%),All doctorate recipients (number)<sup>a</sup>,Citizenship status (%),,,2,,,,,,,,,,,
7627,r007,All doctorate recipients (number)<sup>a</sup> -> Citizenship status (%) -> U.S. citizen or permanent resident,All doctorate recipients (number)<sup>a</sup>,Citizenship status (%),U.S. citizen or permanent resident,,3,71.1,65.4,52.6,69.3,80.6,73.1,78.6,78.4,71.4,72.5,66.2
7627,r008,All doctorate recipients (number)<sup>a</sup> -> Citizenship status (%) -> Temporary visa holder,All doctorate recipients (number)<sup>a</sup>,Citizenship status (%),Temporary visa holder,,3,25.0,31.6,44.8,26.3,16.9,23.4,18.4,17.8,23.2,23.1,27.8
7627,r009,All doctorate recipients (number)<sup>a</sup> -> Citizenship status (%) -> Unknown,All doctorate recipients (number)<sup>a</sup>,Citizenship status (%),Unknown,,3,3.8,3.0,2.7,4.4,2.5,3.5,3.0,3.8,5.5,4.3,5.9
7627,r010,All doctorate recipients (number)<sup>a</sup> -> Marital status (%),All doctorate recipients (number)<sup>a</sup>,Marital status (%),,,2,,,,,,,,,,,
7627,r011,All doctorate recipients (number)<sup>a</sup> -> Marital status (%) -> Never married,All doctorate recipients (number)<sup>a</sup>,Marital status (%),Never married,,3,39.1,42.2,43.5,41.2,34.6,39.2,37.1,39.6,37.3,41.0,36.9
7627,r012,All doctorate recipients (number)<sup>a</sup> -> Marital status (%) -> Married,All doctorate recipients (number)<sup>a</sup>,Marital status (%),Married,,3,36.5,36.2,36.4,36.2,40.2,33.7,38.0,34.1,34.1,37.0,35.8
7627,r013,All doctorate recipients (number)<sup>a</sup> -> Marital status (%) -> Marriage-like relationship,All doctorate recipients (number)<sup>a</sup>,Marital status (%),Marriage-like relationship,,3,13.5,12.9,9.9,13.5,15.8,15.1,15.7,16.6,13.5,10.9,11.0
7627,r014,"All doctorate recipients (number)<sup>a</sup> -> Marital status (%) -> Separated, divorced, widowed",All doctorate recipients (number)<sup>a</sup>,Marital status (%),"Separated, divorced, widowed",,3,1.9,1.6,1.8,1.2,2.5,1.5,2.7,0.7,1.6,2.0,2.5
7627,r015,All doctorate recipients (number)<sup>a</sup> -> Marital status (%) -> Unknown,All doctorate recipients (number)<sup>a</sup>,Marital status (%),Unknown,,3,9.0,7.0,8.3,7.8,6.9,10.6,6.6,9.0,13.5,9.1,13.8
7627,r016,All doctorate recipients (number)<sup>a</sup> -> Has dependent age 18 or younger (%),All doctorate recipients (number)<sup>a</sup>,Has dependent age 18 or younger (%),,,2,15.6,14.7,17.1,15.6,21.3,15.7,13.5,10.8,15.6,15.6,17.1
7627,r017,All doctorate recipients (number)<sup>a</sup> -> Has one or more functional limitations (%),All doctorate recipients (number)<sup>a</sup>,Has one or more functional limitations (%),,,2,11.9,12.7,9.5,9.3,14.1,12.6,12.4,12.9,13.5,7.9,12.0
