table_id,row_id,_b_field_of_doctorate_b_full_path,_b_field_of_doctorate_b_level_1,_b_field_of_doctorate_b_level_2,_b_field_of_doctorate_b_level_3,_b_field_of_doctorate_b_level_4,_b_field_of_doctorate_b_hierarchy_depth,field_male_doctorate_recipients,field_doctorate_recipients_with_definite_commitments,field_location_of_definite_commitments_united_states_total,field_location_of_definite_commitments_united_states_postdoctoral_study,field_location_of_definite_commitments_united_states_academic_employment,field_location_of_definite_commitments_united_states_industry_employmenta,field_location_of_definite_commitments_united_states_otherb,field_location_of_definite_commitments_abroad,field_location_of_definite_commitments_unknown
9609,r001,Male doctorate recipients reporting postgraduation commitments,Male doctorate recipients reporting postgraduation commitments,,,,1,30522,20437,18343,6948,3001,6551,1843,2066,28
9609,r002,Male doctorate recipients reporting postgraduation commitments -> Science and engineering,Male doctorate recipients reporting postgraduation commitments,Science and engineering,,,2,25680,17453,15731,6567,1653,6275,1236,1698,24
9609,r003,Male doctorate recipients reporting postgraduation commitments -> Science and engineering -> Agricultural sciences and natural resources,Male doctorate recipients reporting postgraduation commitments,Science and engineering,Agricultural sciences and natural resources,,3,626,425,376,204,46,97,29,48,1
9609,r004,"Male doctorate recipients reporting postgraduation commitments -> Science and engineering -> Agricultural sciences and natural resources -> Agricultural, animal, plant, and veterinary sciences",Male doctorate recipients reporting postgraduation commitments,Science and engineering,Agricultural sciences and natural resources,"Agricultural, animal, plant, and veterinary sciences",4,408,283,245,127,27,81,10,37,1
9609,r005,Male doctorate recipients reporting postgraduation commitments -> Science and engineering -> Agricultural sciences and natural resources -> Natural resources and conservation,Male doctorate recipients reporting postgraduation commitments,Science and engineering,Agricultural sciences and natural resources,Natural resources and conservation,4,218,142,131,77,19,16,19,11,0
9609,r006,Male doctorate recipients reporting postgraduation commitments -> Science and engineering -> Biological and biomedical sciences,Male doctorate recipients reporting postgraduation commitments,Science and engineering,Biological and biomedical sciences,,3,4372,2891,2721,1664,199,704,154,166,4
9609,r007,"Male doctorate recipients reporting postgraduation commitments -> Science and engineering -> Biological and biomedical sciences -> Biochemistry, biophysics, and molecular biology",Male doctorate recipients reporting postgraduation commitments,Science and engineering,Biological and biomedical sciences,"Biochemistry, biophysics, and molecular biology",4,801,532,490,323,24,126,17,39,3
9609,r008,"Male doctorate recipients reporting postgraduation commitments -> Science and engineering -> Biological and biomedical sciences -> Bioinformatics, biostatistics, and computational biology",Male doctorate recipients reporting postgraduation commitments,Science and engineering,Biological and biomedical sciences,"Bioinformatics, biostatistics, and computational biology",4,400,285,274,94,27,135,18,10,1
9609,r009,Male doctorate recipients reporting postgraduation commitments -> Science and engineering -> Biological and biomedical sciences -> Cell/ cellular biology and anatomy,Male doctorate recipients reporting postgraduation commitments,Science and engineering,Biological and biomedical sciences,Cell/ cellular biology and anatomy,4,312,191,,111,,58,6,,0
9609,r010,"Male doctorate recipients reporting postgraduation commitments -> Science and engineering -> Biological and biomedical sciences -> Ecology, evolutionary biology, and epidemiology",Male doctorate recipients reporting postgraduation commitments,Science and engineering,Biological and biomedical sciences,"Ecology, evolutionary biology, and epidemiology",4,431,302,278,180,32,19,47,24,0
9609,r011,Male doctorate recipients reporting postgraduation commitments -> Science and engineering -> Biological and biomedical sciences -> Genetics and genomics,Male doctorate recipients reporting postgraduation commitments,Science and engineering,Biological and biomedical sciences,Genetics and genomics,4,197,132,,73,,33,9,,0
9609,r012,Male doctorate recipients reporting postgraduation commitments -> Science and engineering -> Biological and biomedical sciences -> Microbiology and immunology,Male doctorate recipients reporting postgraduation commitments,Science and engineering,Biological and biomedical sciences,Microbiology and immunology,4,475,310,296,196,13,78,9,14,0
9609,r013,Male doctorate recipients reporting postgraduation commitments -> Science and engineering -> Biological and biomedical sciences -> Neurobiology and neurosciences,Male doctorate recipients reporting postgraduation commitments,Science and engineering,Biological and biomedical sciences,Neurobiology and neurosciences,4,561,380,361,262,19,71,9,19,0
