table_id,row_id,characteristic_full_path,characteristic_level_1,characteristic_level_2,characteristic_level_3,characteristic_level_4,characteristic_level_5,characteristic_level_6,characteristic_hierarchy_depth,field_all_fields,field_life_sciencesa,field_physical_sciences_and_earth_sciences,field_mathematics_and_computer_sciences,field_psychology_and_social_sciences,field_engineering,field_education,field_humanities_and_arts,field_otherb
2853,r001,All doctorate recipients (number)<sup>c</sup>,All doctorate recipients (number)<sup>c</sup>,,,,,,1,55703,12781,6585,4240,9071,10303,4635,5054,3034
2853,r002,All doctorate recipients (number)<sup>c</sup> -> Postgraduation status (number)<sup>d</sup>,All doctorate recipients (number)<sup>c</sup>,Postgraduation status (number)<sup>d</sup>,,,,,2,,,,,,,,,
2853,r003,All doctorate recipients (number)<sup>c</sup> -> Postgraduation status (number)<sup>d</sup> -> Definite postgraduation study,All doctorate recipients (number)<sup>c</sup>,Postgraduation status (number)<sup>d</sup>,Definite postgraduation study,,,,3,13462,4605,2385,912,2385,2170,282,549,174
2853,r004,All doctorate recipients (number)<sup>c</sup> -> Postgraduation status (number)<sup>d</sup> -> Definite employment,All doctorate recipients (number)<sup>c</sup>,Postgraduation status (number)<sup>d</sup>,Definite employment,,,,3,21628,3337,1753,2061,3630,4149,2783,2093,1822
2853,r005,All doctorate recipients (number)<sup>c</sup> -> Postgraduation status (number)<sup>d</sup> -> Seeking employment or study,All doctorate recipients (number)<sup>c</sup>,Postgraduation status (number)<sup>d</sup>,Seeking employment or study,,,,3,14086,3338,1857,861,1864,2893,1025,1692,556
2853,r006,All doctorate recipients (number)<sup>c</sup> -> Postgraduation status (number)<sup>d</sup> -> Other<sup>e</sup>,All doctorate recipients (number)<sup>c</sup>,Postgraduation status (number)<sup>d</sup>,Other<sup>e</sup>,,,,3,1685,647,137,64,223,233,127,185,69
2853,r007,All doctorate recipients (number)<sup>c</sup> -> Postgraduation status (number)<sup>d</sup> -> Definite postgraduation study (%)<sup>f</sup>,All doctorate recipients (number)<sup>c</sup>,Postgraduation status (number)<sup>d</sup>,Definite postgraduation study (%)<sup>f</sup>,,,,3,,,,,,,,,
2853,r008,All doctorate recipients (number)<sup>c</sup> -> Postgraduation status (number)<sup>d</sup> -> Definite postgraduation study (%)<sup>f</sup> -> Postdoc fellowship or research associateship,All doctorate recipients (number)<sup>c</sup>,Postgraduation status (number)<sup>d</sup>,Definite postgraduation study (%)<sup>f</sup>,Postdoc fellowship or research associateship,,,4,94.1,93.6,97.5,95.9,90.6,95.3,91.8,93.6,89.7
2853,r009,All doctorate recipients (number)<sup>c</sup> -> Postgraduation status (number)<sup>d</sup> -> Definite postgraduation study (%)<sup>f</sup> -> Other or unknown<sup>g</sup>,All doctorate recipients (number)<sup>c</sup>,Postgraduation status (number)<sup>d</sup>,Definite postgraduation study (%)<sup>f</sup>,Other or unknown<sup>g</sup>,,,4,5.9,6.4,2.5,4.1,9.4,4.7,8.2,6.4,10.3
2853,r010,All doctorate recipients (number)<sup>c</sup> -> Postgraduation status (number)<sup>d</sup> -> Definite employment (%)<sup>h</sup>,All doctorate recipients (number)<sup>c</sup>,Postgraduation status (number)<sup>d</sup>,Definite employment (%)<sup>h</sup>,,,,3,,,,,,,,,
2853,r011,All doctorate recipients (number)<sup>c</sup> -> Postgraduation status (number)<sup>d</sup> -> Definite employment (%)<sup>h</sup> -> Academe,All doctorate recipients (number)<sup>c</sup>,Postgraduation status (number)<sup>d</sup>,Definite employment (%)<sup>h</sup>,Academe,,,4,43.4,38.2,18.8,30.3,53.4,16.7,57.5,73.1,76.6
2853,r012,All doctorate recipients (number)<sup>c</sup> -> Postgraduation status (number)<sup>d</sup> -> Definite employment (%)<sup>h</sup> -> Government,All doctorate recipients (number)<sup>c</sup>,Postgraduation status (number)<sup>d</sup>,Definite employment (%)<sup>h</sup>,Government,,,4,7.6,9.1,9.2,4.8,13.3,8.3,4.3,1.8,5.4
2853,r013,All doctorate recipients (number)<sup>c</sup> -> Postgraduation status (number)<sup>d</sup> -> Definite employment (%)<sup>h</sup> -> Industry or business<sup>i</sup>,All doctorate recipients (number)<sup>c</sup>,Postgraduation status (number)<sup>d</sup>,Definite employment (%)<sup>h</sup>,Industry or business<sup>i</sup>,,,4,36.5,40.0,67.1,60.5,19.9,69.6,5.7,7.4,12.0
2853,r014,All doctorate recipients (number)<sup>c</sup> -> Postgraduation status (number)<sup>d</sup> -> Definite employment (%)<sup>h</sup> -> Nonprofit organization,All doctorate recipients (number)<sup>c</sup>,Postgraduation status (number)<sup>d</sup>,Definite employment (%)<sup>h</sup>,Nonprofit organization,,,4,6.1,9.6,2.4,2.4,8.5,3.2,7.1,9.7,3.9
2853,r015,All doctorate recipients (number)<sup>c</sup> -> Postgraduation status (number)<sup>d</sup> -> Definite employment (%)<sup>h</sup> -> Other or unknown<sup>j</sup>,All doctorate recipients (number)<sup>c</sup>,Postgraduation status (number)<sup>d</sup>,Definite employment (%)<sup>h</sup>,Other or unknown<sup>j</sup>,,,4,6.4,3.0,2.6,2.0,5.0,2.3,25.4,8.0,2.2
2853,r016,All doctorate recipients (number)<sup>c</sup> -> Postgraduation status (number)<sup>d</sup> -> Definite employment (%)<sup>h</sup> -> Primary activity<sup>k</sup>,All doctorate recipients (number)<sup>c</sup>,Postgraduation status (number)<sup>d</sup>,Definite employment (%)<sup>h</sup>,Primary activity<sup>k</sup>,,,4,,,,,,,,,
2853,r017,All doctorate recipients (number)<sup>c</sup> -> Postgraduation status (number)<sup>d</sup> -> Definite employment (%)<sup>h</sup> -> Primary activity<sup>k</sup> -> R&D,All doctorate recipients (number)<sup>c</sup>,Postgraduation status (number)<sup>d</sup>,Definite employment (%)<sup>h</sup>,Primary activity<sup>k</sup>,R&D,,5,44.9,47.4,65.8,68.4,35.8,71.4,13.1,8.8,40.7
2853,r018,All doctorate recipients (number)<sup>c</sup> -> Postgraduation status (number)<sup>d</sup> -> Definite employment (%)<sup>h</sup> -> Primary activity<sup>k</sup> -> Teaching,All doctorate recipients (number)<sup>c</sup>,Postgraduation status (number)<sup>d</sup>,Definite employment (%)<sup>h</sup>,Primary activity<sup>k</sup>,Teaching,,5,30.3,24.0,14.6,21.1,34.4,10.0,42.6,71.1,40.7
2853,r019,All doctorate recipients (number)<sup>c</sup> -> Postgraduation status (number)<sup>d</sup> -> Definite employment (%)<sup>h</sup> -> Primary activity<sup>k</sup> -> Management or administration,All doctorate recipients (number)<sup>c</sup>,Postgraduation status (number)<sup>d</sup>,Definite employment (%)<sup>h</sup>,Primary activity<sup>k</sup>,Management or administration,,5,10.4,9.5,4.0,1.8,10.0,3.9,32.5,9.1,11.0
2853,r020,All doctorate recipients (number)<sup>c</sup> -> Postgraduation status (number)<sup>d</sup> -> Definite employment (%)<sup>h</sup> -> Primary activity<sup>k</sup> -> Professional services,All doctorate recipients (number)<sup>c</sup>,Postgraduation status (number)<sup>d</sup>,Definite employment (%)<sup>h</sup>,Primary activity<sup>k</sup>,Professional services,,5,13.6,17.8,14.5,7.9,19.2,13.7,11.3,10.1,7.5
2853,r021,All doctorate recipients (number)<sup>c</sup> -> Postgraduation status (number)<sup>d</sup> -> Definite employment (%)<sup>h</sup> -> Primary activity<sup>k</sup> -> Other,All doctorate recipients (number)<sup>c</sup>,Postgraduation status (number)<sup>d</sup>,Definite employment (%)<sup>h</sup>,Primary activity<sup>k</sup>,Other,,5,0.8,1.2,1.1,0.9,0.6,0.9,0.4,0.9,0.1
2853,r022,All doctorate recipients (number)<sup>c</sup> -> Postgraduation status (number)<sup>d</sup> -> Definite employment (%)<sup>h</sup> -> Secondary activity<sup>l</sup>,All doctorate recipients (number)<sup>c</sup>,Postgraduation status (number)<sup>d</sup>,Definite employment (%)<sup>h</sup>,Secondary activity<sup>l</sup>,,,4,,,,,,,,,
