table_id,row_id,selected_school_characteristic_full_path,selected_school_characteristic_level_1,selected_school_characteristic_level_2,selected_school_characteristic_level_3,selected_school_characteristic_hierarchy_depth,field_mathematics_teachers,field_science_teachers,field_other_teachersa
4109,r001,All public middle and high school teachers,All public middle and high school teachers,,,1,24,30,22
4109,r002,All public middle and high school teachers -> Minority enrollment (percent),All public middle and high school teachers,Minority enrollment (percent),,2,,,
4109,r003,All public middle and high school teachers -> Minority enrollment (percent) -> 0&#8211;24,All public middle and high school teachers,Minority enrollment (percent),0&#8211;24,3,14,23,15
4109,r004,All public middle and high school teachers -> Minority enrollment (percent) -> 25&#8211;49,All public middle and high school teachers,Minority enrollment (percent),25&#8211;49,3,22,28,21
4109,r005,All public middle and high school teachers -> Minority enrollment (percent) -> 50&#8211;74,All public middle and high school teachers,Minority enrollment (percent),50&#8211;74,3,22,34,24
4109,r006,All public middle and high school teachers -> Minority enrollment (percent) -> 75 or more,All public middle and high school teachers,Minority enrollment (percent),75 or more,3,37,41,31
4109,r007,All public middle and high school teachers -> School poverty level (percent)<sup>b</sup>,All public middle and high school teachers,School poverty level (percent)<sup>b</sup>,,2,,,
4109,r008,All public middle and high school teachers -> School poverty level (percent)<sup>b</sup> -> 0&#8211;34,All public middle and high school teachers,School poverty level (percent)<sup>b</sup>,0&#8211;34,3,20,23,18
4109,r009,All public middle and high school teachers -> School poverty level (percent)<sup>b</sup> -> 35&#8211;49,All public middle and high school teachers,School poverty level (percent)<sup>b</sup>,35&#8211;49,3,20,30,20
4109,r010,All public middle and high school teachers -> School poverty level (percent)<sup>b</sup> -> 50&#8211;74,All public middle and high school teachers,School poverty level (percent)<sup>b</sup>,50&#8211;74,3,24,36,25
4109,r011,All public middle and high school teachers -> School poverty level (percent)<sup>b</sup> -> 75 or more,All public middle and high school teachers,School poverty level (percent)<sup>b</sup>,75 or more,3,31,36,28
4109,r012,All public middle and high school teachers -> Community type ,All public middle and high school teachers,Community type ,,2,,,
4109,r013,All public middle and high school teachers -> Community type  -> City,All public middle and high school teachers,Community type ,City,3,27,35,26
4109,r014,All public middle and high school teachers -> Community type  -> Suburban,All public middle and high school teachers,Community type ,Suburban,3,24,27,20
4109,r015,All public middle and high school teachers -> Community type  -> Town,All public middle and high school teachers,Community type ,Town,3,17,25,19
4109,r016,All public middle and high school teachers -> Community type  -> Rural,All public middle and high school teachers,Community type ,Rural,3,22,34,25
4109,r017,All public middle and high school teachers -> Region,All public middle and high school teachers,Region,,2,,,
4109,r018,All public middle and high school teachers -> Region -> Northeast,All public middle and high school teachers,Region,Northeast,3,23,31,16
4109,r019,All public middle and high school teachers -> Region -> Midwest,All public middle and high school teachers,Region,Midwest,3,11,15,11
4109,r020,All public middle and high school teachers -> Region -> South,All public middle and high school teachers,Region,South,3,33,41,34
4109,r021,All public middle and high school teachers -> Region -> West,All public middle and high school teachers,Region,West,3,17,24,17
