table_id,row_id,budget_function_and_agency_full_path,budget_function_and_agency_level_1,budget_function_and_agency_level_2,budget_function_and_agency_level_3,budget_function_and_agency_level_4,budget_function_and_agency_level_5,budget_function_and_agency_hierarchy_depth,field_2022_actual,field_2023_preliminary,field_2024_proposed,field_2022_23_change_,field_2023_24_change_
10445,r001,R&D and R&D plant,R&D and R&D plant,,,,,1,90,90,100,0.0,11.1
10445,r002,R&D and R&D plant -> Other income security (609),R&D and R&D plant,Other income security (609),,,,2,90,90,100,0.0,125.0
10445,r003,R&D and R&D plant -> Other income security (609) -> Department of Health and Human Services,R&D and R&D plant,Other income security (609),Department of Health and Human Services,,,3,4,4,9,0.0,125.0
10445,r004,R&D and R&D plant -> Other income security (609) -> Department of Health and Human Services -> Administration for Children and Families,R&D and R&D plant,Other income security (609),Department of Health and Human Services,Administration for Children and Families,,4,4,4,9,0.0,125.0
10445,r005,R&D and R&D plant -> Other income security (609) -> Social Security Administration,R&D and R&D plant,Other income security (609),Social Security Administration,,,3,86,86,91,0.0,5.8
10445,r006,R&D and R&D plant -> R&D,R&D and R&D plant,R&D,,,,2,90,90,100,0.0,11.1
10445,r007,R&D and R&D plant -> R&D -> Other income security (609),R&D and R&D plant,R&D,Other income security (609),,,3,90,90,100,0.0,125.0
10445,r008,R&D and R&D plant -> R&D -> Other income security (609) -> Department of Health and Human Services,R&D and R&D plant,R&D,Other income security (609),Department of Health and Human Services,,4,4,4,9,0.0,125.0
10445,r009,R&D and R&D plant -> R&D -> Other income security (609) -> Department of Health and Human Services -> Administration for Children and Families,R&D and R&D plant,R&D,Other income security (609),Department of Health and Human Services,Administration for Children and Families,5,4,4,9,0.0,125.0
10445,r010,R&D and R&D plant -> R&D -> Other income security (609) -> Social Security Administration,R&D and R&D plant,R&D,Other income security (609),Social Security Administration,,4,86,86,91,0.0,5.8
