table_id,row_id,_b_institution_b_full_path,_b_institution_b_level_1,_b_institution_b_level_2,_b_institution_b_hierarchy_depth,field_rank,field_dod_r_d_expenditures,field_computer_and_information_sciences,field_geosciences_atmospheric_sciences_and_ocean_sciences,field_life_sciences,field_mathematics_and_statistics,field_physical_sciences,field_psychology,field_social_sciences,field_sciences_nec,field_engineering,field_all_non_s_e_fields
12707,r001,All institutions,All institutions,,1,-,"['9,047,729', '']","['1,089,161', '']","['321,866', '']","['1,632,039', '']","['185,496', '']","['739,426', '']","['80,354', '']","['101,687', '']","['110,168', '']","['4,687,204', '']","['100,328', '']"
12707,r002,All institutions -> Johns Hopkins U.<sup>a</sup>,All institutions,Johns Hopkins U.<sup>a</sup>,2,1,"['1,628,821', '']","['228,975', '']","['16,325', '']","['63,808', '']","['113,989', '']","['219,781', '']","['218', '']","['6,108', '']","['57,297', '']","['922,320', '']","['0', '']"
12707,r003,All institutions -> Georgia Institute of Technology,All institutions,Georgia Institute of Technology,2,2,"['811,759', '']","['131,705', '']","['697', '']","['3,254', '']","['181', '']","['2,825', '']","['939', '']","['429', '']","['0', '']","['662,212', '']","['9,517', '']"
12707,r004,All institutions -> Uniformed Services U. of the Health Sciences,All institutions,Uniformed Services U. of the Health Sciences,2,3,"['396,092', '']","['0', '']","['0', '']","['356,715', '']","['0', '']","['0', '']","['39,377', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12707,r005,"All institutions -> Pennsylvania State U., University Park and Hershey Medical Center",All institutions,"Pennsylvania State U., University Park and Hershey Medical Center",2,4,"['343,365', '']","['57,476', '']","['5,889', '']","['5,782', '']","['13,812', '']","['18,228', '']","['542', '']","['1,107', '']","['0', '']","['236,862', '']","['3,667', '']"
12707,r006,"All institutions -> U. Texas, Austin",All institutions,"U. Texas, Austin",2,5,"['252,267', '']","['46,718', '']","['153', '']","['3,468', '']","['1,217', '']","['44,525', '']","['450', '']","['211', '']","['6', '']","['153,701', '']","['1,818', '']"
12707,r007,All institutions -> U. Dayton,All institutions,U. Dayton,2,6,"['204,029', '']","['22,876', '']","['91', '']","['256', '']","['0', '']","['207', '']","['0', '']","['0', '']","['0', '']","['179,859', '']","['740', '']"
12707,r008,All institutions -> Utah State U.,All institutions,Utah State U.,2,7,"['170,044', '']","['0', '']","['0', '']","['1,248', '']","['0', '']","['361', '']","['0', '']","['3', '']","['0', '']","['167,769', '']","['663', '']"
12707,r009,All institutions -> U. Maryland<sup>b</sup>,All institutions,U. Maryland<sup>b</sup>,2,8,"['146,036', '']","['22,727', '']","['835', '']","['25,314', '']","['1,230', '']","['18,080', '']","['363', '']","['21,730', '']","['16,459', '']","['39,298', '']","['0', '']"
12707,r010,All institutions -> U. Southern California,All institutions,U. Southern California,2,9,"['132,806', '']","['89,224', '']","['0', '']","['9,103', '']","['267', '']","['3,318', '']","['309', '']","['731', '']","['0', '']","['29,822', '']","['32', '']"
12707,r011,All institutions -> Massachusetts Institute of Technology,All institutions,Massachusetts Institute of Technology,2,10,"['130,434', '']","['34,288', '']","['1,055', '']","['5,818', '']","['1,699', '']","['16,713', '']","['0', '']","['196', '']","['738', '']","['68,975', '']","['952', '']"
12707,r012,"All institutions -> U. California, San Diego",All institutions,"U. California, San Diego",2,11,"['126,228', '']","['0', '']","['66,087', '']","['18,640', '']","['9', '']","['9,408', '']","['1,697', '']","['748', '']","['0', '']","['28,000', '']","['1,639', '']"
12707,r013,"All institutions -> U. Washington, Seattle",All institutions,"U. Washington, Seattle",2,12,"['126,010', '']","['5,671', '']","['41,115', '']","['35,176', '']","['711', '']","['4,312', '']","['592', '']","['1,795', '']","['0', '']","['36,292', '']","['346', '']"
12707,r014,All institutions -> Carnegie Mellon U.,All institutions,Carnegie Mellon U.,2,13,"['121,019', '']","['73,856', '']","['0', '']","['201', '']","['1,924', '']","['821', '']","['1,704', '']","['726', '']","['0', '']","['41,787', '']","['0', '']"
12707,r015,All institutions -> Wichita State U.,All institutions,Wichita State U.,2,14,"['112,906', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['111,317', '']","['1,589', '']"
12707,r016,"All institutions -> Colorado State U., Fort Collins",All institutions,"Colorado State U., Fort Collins",2,15,"['106,769', '']","['1,081', '']","['2,543', '']","['90,037', '']","['705', '']","['1,346', '']","['188', '']","['4,976', '']","['762', '']","['5,131', '']","['0', '']"
